code,branch_code,supplier_code,purchase_code,chart_account_code,payment_method_code,issue_date,due_date,settlement_date,original_amount,paid_amount,discount_amount,interest_amount,remaining_amount,status
0000001-001,1,0000021,,2.02.01,,2021-05-03,2021-05-03,,34.450000,34.450000,0.000000,0.000000,0.000000,paid
0000002-001,1,0000274,,2.02.01,,2021-05-03,2021-05-03,,80.000000,80.000000,0.000000,0.000000,0.000000,paid
0000003-001,1,0000021,,2.02.01,,2021-05-03,2021-05-03,,14.000000,14.000000,0.000000,0.000000,0.000000,paid
0000004-001,1,0000023,,2.02.01,,2021-05-03,2021-05-03,,67.500000,67.500000,0.000000,0.000000,0.000000,paid
0000005-001,1,0000074,,2.09.02,,2021-05-03,2021-05-03,,380.000000,380.000000,0.000000,0.000000,0.000000,paid
0000006-001,1,0000074,,2.09.02,,2021-05-03,2021-05-03,,475.000000,475.000000,0.000000,0.000000,0.000000,paid
0000007-001,1,0000023,,2.17.01,,2021-05-03,2021-05-03,,1056.740000,1056.740000,0.000000,0.000000,0.000000,paid
0000008-001,1,0000120,,2.02.01,,2021-05-03,2021-05-03,,190.000000,190.000000,0.000000,0.000000,0.000000,paid
0000009-001,1,0000095,,2.02.01,,2021-05-03,2021-05-03,,40.000000,40.000000,0.000000,0.000000,0.000000,paid
0000010-001,1,0000088,,2.03.13,,2021-05-03,2021-05-10,,435.000000,435.000000,0.000000,0.000000,0.000000,paid
0000011-001,1,0000080,,2.01.08,,2021-05-03,2021-05-07,,300.550000,300.550000,0.000000,0.000000,0.000000,paid
0000012-001,1,0000080,,2.01.09,,2021-05-03,2021-05-20,,358.330000,358.330000,0.000000,0.000000,0.000000,paid
0000013-001,1,0000057,,2.02.04,,2021-05-03,2021-05-21,,376.320000,376.320000,0.000000,0.000000,0.000000,paid
0000014-001,1,0000201,,2.02.01,,2021-05-03,2021-05-13,,123.000000,123.000000,0.000000,0.000000,0.000000,paid
0000015-001,1,0000066,,2.03.04,,2021-05-03,2021-05-05,,153.280000,153.280000,0.000000,0.000000,0.000000,paid
0000016-001,1,0000220,,2.03.12,,2021-05-03,2021-05-07,,65.760000,65.760000,0.000000,0.000000,0.000000,paid
0000017-001,1,0000068,,2.07.05,,2021-05-03,2021-05-12,,150.000000,150.000000,0.000000,0.000000,0.000000,paid
0000018-001,1,0000052,,2.02.02,,2021-05-03,2021-05-31,,350.180000,350.180000,0.000000,0.000000,0.000000,paid
0000019-001,1,0000080,,2.05.05,,2021-05-03,2021-05-10,,84.420000,84.420000,0.000000,0.000000,0.000000,paid
0000019-002,1,0000080,,2.05.05,,2021-05-03,2021-06-10,,84.420000,84.420000,0.000000,0.000000,0.000000,paid
0000019-003,1,0000080,,2.05.05,,2021-05-03,2021-07-10,,84.420000,84.420000,0.000000,0.000000,0.000000,paid
0000019-004,1,0000080,,2.05.05,,2021-05-03,2021-08-10,,84.420000,84.420000,0.000000,0.000000,0.000000,paid
0000019-005,1,0000080,,2.05.05,,2021-05-03,2021-09-10,,84.420000,84.420000,0.000000,0.000000,0.000000,paid
0000019-006,1,0000080,,2.05.05,,2021-05-03,2021-10-11,,84.420000,84.420000,0.000000,0.000000,0.000000,paid
0000019-007,1,0000080,,2.05.05,,2021-05-03,2021-11-10,,84.420000,84.420000,0.000000,0.000000,0.000000,paid
0000020-001,1,0000052,,2.02.02,,2021-05-03,2021-06-28,,263.400000,263.400000,0.000000,0.000000,0.000000,paid
0000021-001,1,0000080,,2.05.06,,2021-05-03,2021-07-20,,788.480000,788.480000,0.000000,0.000000,0.000000,paid
0000022-001,1,0000052,,2.02.02,,2021-05-03,2021-07-28,,263.400000,263.400000,0.000000,0.000000,0.000000,paid
0000023-001,1,0000074,,2.09.02,,2021-05-03,2021-05-03,,271.200000,271.200000,0.000000,0.000000,0.000000,paid
0000024-001,1,0000257,,2.07.01,,2021-05-03,2021-05-03,,298.900000,298.900000,0.000000,0.000000,0.000000,paid
0000025-001,1,0000282,,2.06.02,,2021-05-03,2021-05-03,,105.680000,105.680000,0.000000,0.000000,0.000000,paid
0000026-001,1,0000092,,2.04.03,,2021-05-03,2021-05-03,,7.570000,7.570000,0.000000,0.000000,0.000000,paid
0000027-001,1,0000021,,2.02.01,,2021-05-03,2021-05-03,,58.290000,58.290000,0.000000,0.000000,0.000000,paid
0000028-001,1,0000120,,2.02.01,,2021-05-03,2021-05-03,,45.000000,45.000000,0.000000,0.000000,0.000000,paid
0000029-001,1,0000218,,2.02.01,,2021-05-04,2021-05-04,,15.750000,15.750000,0.000000,0.000000,0.000000,paid
0000030-001,1,0000021,,2.02.01,,2021-05-04,2021-05-04,,43.300000,43.300000,0.000000,0.000000,0.000000,paid
0000031-001,1,0000228,,2.11.01,,2021-05-04,2021-05-04,,13.000000,13.000000,0.000000,0.000000,0.000000,paid
0000032-001,1,0000258,,2.02.01,,2021-05-04,2021-05-04,,35.000000,35.000000,0.000000,0.000000,0.000000,paid
0000033-001,1,0000017,,2.02.01,,2021-05-04,2021-05-04,,20.000000,20.000000,0.000000,0.000000,0.000000,paid
0000034-001,1,0000264,,2.02.01,,2021-05-04,2021-05-04,,20.000000,20.000000,0.000000,0.000000,0.000000,paid
0000035-001,1,0000023,,2.13.02,,2021-05-04,2021-05-04,,19.100000,19.100000,0.000000,0.000000,0.000000,paid
0000036-001,1,0000063,,2.04.02,,2021-05-05,2021-05-05,,3.260000,3.260000,0.000000,0.000000,0.000000,paid
0000037-001,1,0000301,,2.02.01,,2021-05-05,2021-05-05,,164.630000,164.630000,0.000000,0.000000,0.000000,paid
0000038-001,1,0000021,,2.02.01,,2021-05-05,2021-05-05,,29.900000,29.900000,0.000000,0.000000,0.000000,paid
0000039-001,1,0000274,,2.02.01,,2021-05-05,2021-05-05,,40.000000,40.000000,0.000000,0.000000,0.000000,paid
0000040-001,1,0000083,,2.02.01,,2021-05-05,2021-05-05,,150.000000,150.000000,0.000000,0.000000,0.000000,paid
0000041-001,1,0000021,,2.02.01,,2021-05-05,2021-05-05,,29.950000,29.950000,0.000000,0.000000,0.000000,paid
0000042-001,1,0000258,,2.02.01,,2021-05-05,2021-05-05,,35.000000,35.000000,0.000000,0.000000,0.000000,paid
0000043-001,1,0000120,,2.02.01,,2021-05-05,2021-05-05,,90.000000,90.000000,0.000000,0.000000,0.000000,paid
0000044-001,1,0000148,,2.02.01,,2021-05-05,2021-05-05,,398.430000,398.430000,0.000000,0.000000,0.000000,paid
0000045-001,1,0000063,,2.04.02,,2021-05-06,2021-05-06,,5.590000,5.590000,0.000000,0.000000,0.000000,paid
0000046-001,1,0000021,,2.02.01,,2021-05-06,2021-05-06,,61.700000,61.700000,0.000000,0.000000,0.000000,paid
0000047-001,1,0000274,,2.02.01,,2021-05-06,2021-05-06,,80.000000,80.000000,0.000000,0.000000,0.000000,paid
0000048-001,1,0000007,,2.02.01,,2021-05-07,2021-05-07,,4.200000,4.200000,0.000000,0.000000,0.000000,paid
0000049-001,1,0000228,,2.11.01,,2021-05-07,2021-05-07,,15.000000,15.000000,0.000000,0.000000,0.000000,paid
0000050-001,1,0000218,,2.02.01,,2021-05-07,2021-05-07,,20.630000,20.630000,0.000000,0.000000,0.000000,paid
0000051-001,1,0000103,,2.03.12,,2021-05-07,2021-05-07,,20.000000,20.000000,0.000000,0.000000,0.000000,paid
0000052-001,1,0000140,,2.02.01,,2021-05-07,2021-05-07,,107.700000,107.700000,0.000000,0.000000,0.000000,paid
0000053-001,1,0000065,,2.03.03,,2021-05-07,2021-05-17,,192.520000,192.520000,0.000000,0.000000,0.000000,paid
0000054-001,1,0000063,,2.04.02,,2021-05-07,2021-05-07,,1.790000,1.790000,0.000000,0.000000,0.000000,paid
0000055-001,1,0000016,,2.02.01,,2021-05-07,2021-05-07,,180.000000,180.000000,0.000000,0.000000,0.000000,paid
0000056-001,1,0000046,,2.02.01,,2021-05-07,2021-05-07,,150.000000,150.000000,0.000000,0.000000,0.000000,paid
0000057-001,1,0000021,,2.02.01,,2021-05-07,2021-05-07,,14.000000,14.000000,0.000000,0.000000,0.000000,paid
0000058-001,1,0000021,,2.02.01,,2021-05-07,2021-05-07,,37.110000,37.110000,0.000000,0.000000,0.000000,paid
0000059-001,1,0000258,,2.02.01,,2021-05-07,2021-05-07,,25.000000,25.000000,0.000000,0.000000,0.000000,paid
0000060-001,1,0000254,,2.01.01,,2021-05-07,2021-05-07,,1100.310000,1100.310000,0.000000,0.000000,0.000000,paid
0000061-001,1,0000155,,2.01.01,,2021-05-07,2021-05-07,,1049.040000,1049.040000,0.000000,0.000000,0.000000,paid
0000062-001,1,0000295,,2.01.01,,2021-05-07,2021-05-07,,1049.040000,1049.040000,0.000000,0.000000,0.000000,paid
0000063-001,1,0000295,,2.12.02,,2021-05-07,2021-05-07,,100.000000,100.000000,0.000000,0.000000,0.000000,paid
0000064-001,1,0000201,,2.02.01,,2021-05-07,2021-05-20,,246.000000,246.000000,0.000000,0.000000,0.000000,paid
0000065-001,1,0000202,,2.02.01,,2021-05-07,2021-05-10,,195.570000,196.470000,0.000000,0.900000,0.000000,paid
0000066-001,1,0000173,,2.01.01,,2021-05-08,2021-05-08,,160.000000,160.000000,0.000000,0.000000,0.000000,paid
0000067-001,1,0000017,,2.02.01,,2021-05-09,2021-05-10,,21.400000,21.400000,0.000000,0.000000,0.000000,paid
0000068-001,1,0000274,,2.02.01,,2021-05-09,2021-05-10,,80.000000,80.000000,0.000000,0.000000,0.000000,paid
0000069-001,1,0000063,,2.04.02,,2021-05-10,2021-05-10,,29.520000,29.520000,0.000000,0.000000,0.000000,paid
0000070-001,1,0000063,,2.04.02,,2021-05-10,2021-05-10,,1.380000,1.380000,0.000000,0.000000,0.000000,paid
0000071-001,1,0000021,,2.02.01,,2021-05-10,2021-05-10,,21.300000,21.300000,0.000000,0.000000,0.000000,paid
0000072-001,1,0000258,,2.02.01,,2021-05-10,2021-05-10,,40.000000,40.000000,0.000000,0.000000,0.000000,paid
0000073-001,1,0000228,,2.11.01,,2021-05-10,2021-05-10,,10.000000,10.000000,0.000000,0.000000,0.000000,paid
0000074-001,1,0000095,,2.02.01,,2021-05-10,2021-05-10,,130.000000,130.000000,0.000000,0.000000,0.000000,paid
0000075-001,1,0000021,,2.02.01,,2021-05-10,2021-05-10,,47.000000,47.000000,0.000000,0.000000,0.000000,paid
0000076-001,1,0000146,,2.02.02,,2021-05-10,2021-05-10,,129.000000,129.000000,0.000000,0.000000,0.000000,paid
0000077-001,1,0000070,,2.03.02,,2021-05-10,2021-05-29,,227.640000,227.640000,0.000000,0.000000,0.000000,paid
0000078-001,1,0000068,,2.03.07,,2021-05-10,2021-05-31,,418.000000,418.000000,0.000000,0.000000,0.000000,paid
0000079-001,1,0000074,,2.09.02,,2021-05-10,2021-05-10,,42.000000,42.000000,0.000000,0.000000,0.000000,paid
0000080-001,1,0000013,,2.02.01,,2021-05-10,2021-05-10,,330.000000,330.000000,0.000000,0.000000,0.000000,paid
0000081-001,1,0000120,,2.02.01,,2021-05-10,2021-05-10,,40.000000,40.000000,0.000000,0.000000,0.000000,paid
0000082-001,1,0000090,,2.07.07,,2021-05-10,2021-05-10,,200.000000,200.000000,0.000000,0.000000,0.000000,paid
0000083-001,1,0000074,,2.09.02,,2021-05-10,2021-05-10,,200.000000,200.000000,0.000000,0.000000,0.000000,paid
0000084-001,1,0000074,,2.09.02,,2021-05-10,2021-05-10,,460.000000,460.000000,0.000000,0.000000,0.000000,paid
0000085-001,1,0000076,,2.09.01,,2021-05-10,2021-05-10,,200.000000,200.000000,0.000000,0.000000,0.000000,paid
0000086-001,1,0000063,,2.04.02,,2021-05-11,2021-05-11,,5.530000,5.530000,0.000000,0.000000,0.000000,paid
0000087-001,1,0000021,,2.02.01,,2021-05-11,2021-05-11,,33.600000,33.600000,0.000000,0.000000,0.000000,paid
0000088-001,1,0000274,,2.02.01,,2021-05-11,2021-05-11,,40.000000,40.000000,0.000000,0.000000,0.000000,paid
0000089-001,1,0000021,,2.02.01,,2021-05-11,2021-05-11,,14.000000,14.000000,0.000000,0.000000,0.000000,paid
0000090-001,1,0000003,,2.02.01,,2021-05-11,2021-05-11,,166.400000,166.400000,0.000000,0.000000,0.000000,paid
0000091-001,1,0000301,,2.02.01,,2021-05-12,2021-05-12,,75.900000,75.900000,0.000000,0.000000,0.000000,paid
0000092-001,1,0000063,,2.04.02,,2021-05-12,2021-05-12,,22.180000,22.180000,0.000000,0.000000,0.000000,paid
0000093-001,1,0000274,,2.02.01,,2021-05-12,2021-05-12,,40.000000,40.000000,0.000000,0.000000,0.000000,paid
0000094-001,1,0000228,,2.11.01,,2021-05-12,2021-05-12,,15.000000,15.000000,0.000000,0.000000,0.000000,paid
0000095-001,1,0000023,,2.13.02,,2021-05-12,2021-05-12,,175.510000,175.510000,0.000000,0.000000,0.000000,paid
0000096-001,1,0000074,,2.09.02,,2021-05-12,2021-05-12,,52.500000,52.500000,0.000000,0.000000,0.000000,paid
0000097-001,1,0000095,,2.02.01,,2021-05-12,2021-05-12,,45.000000,45.000000,0.000000,0.000000,0.000000,paid
0000098-001,1,0000021,,2.02.01,,2021-05-12,2021-05-12,,23.400000,23.400000,0.000000,0.000000,0.000000,paid
0000099-001,1,0000021,,2.02.01,,2021-05-12,2021-05-12,,4.800000,4.800000,0.000000,0.000000,0.000000,paid
0000100-001,1,0000202,,2.02.01,,2021-05-12,2021-05-18,,182.250000,182.250000,0.000000,0.000000,0.000000,paid
0000101-001,1,0000254,,2.01.02,,2021-05-12,2021-05-12,,10.000000,10.000000,0.000000,0.000000,0.000000,paid
0000102-001,1,0000295,,2.01.02,,2021-05-12,2021-05-12,,10.000000,10.000000,0.000000,0.000000,0.000000,paid
0000103-001,1,0000155,,2.01.02,,2021-05-12,2021-05-12,,10.000000,10.000000,0.000000,0.000000,0.000000,paid
