code,section_code,group_code,subgroup_code,brand_code,name,unit,cost_price,sale_price,is_active
0000001,CAFETERIA,047,047-001,,CAFE COM LEITE GRANDE 170ML,N,1.510000,12.000000,True
0000002,CAFETERIA,,-,,CAFE COM LEITE PEQUENO 170ML,UN,0.000000,2.500000,False
0000003,CAFETERIA,047,047-001,,CAFE EXPRESSO COM GAS 70ML,UN,1.200000,10.000000,True
0000004,CAFETERIA,047,047-001,,CAFE EXPRESSO SIMPLES 70ML,UN,1.000000,6.500000,True
0000005,CAFETERIA,047,047-001,,CAFE TRICOLOR 130ML,UN,1.980000,14.000000,True
0000006,CAFETERIA,047,047-001,,CAFE VIENENSE 130ML,UN,1.940000,14.000000,True
0000007,CAFETERIA,047,047-001,,CAPUCCINO GRANDE 230 ML,UN,2.780000,14.000000,True
0000008,CAFETERIA,047,047-001,,CAPUCCINO PEQUENO 130 ML,UN,1.720000,10.000000,True
0000009,CAFETERIA,047,047-001,,CAPUCCINO AMARULA GRANDE 230ML,UN,2.500000,17.000000,True
0000010,CAFETERIA,047,047-001,,CAPUCCINO AMARULA PEQUENO 130ML,UN,1.730000,12.000000,True
0000011,CAFETERIA,047,047-001,,CAPUCCINO BOMBOM PEQUENO 130ML,UN,1.420000,12.000000,True
0000012,CAFETERIA,,-,,CAFE,UN,1.050000,3.000000,False
0000013,CAFETERIA,047,047-001,,CHOCOLATE QUENTE CREMOSO 180ML,UN,2.700000,14.000000,True
0000014,CAFETERIA,047,047-001,,ACHOCOLATADO GRANDE 300ML,UN,0.900000,10.000000,True
0000015,CAFETERIA,047,047-001,,ACHOCOLATADO PEQUENO 150ML,UN,1.500000,7.000000,True
0000016,CAFETERIA,047,047-001,,PINGADO 70ML,UN,1.100000,9.000000,True
0000017,CAFETERIA,047,047-002,,AGUA MINERAL COM GAS 500ML,UN,1.840000,4.500000,True
0000018,CAFETERIA,047,047-002,,AGUA MINERAL SEM GAS 500ML,UN,1.493000,3.500000,True
0000019,CAFETERIA,047,047-002,,CAFE GELADO 250ML,UN,2.800000,20.000000,True
0000020,CAFETERIA,047,047-002,,CAPUCCINO GELADO GRANDE 250ML,UN,2.920000,20.000000,True
0000021,CAFETERIA,047,047-002,,CAPUCCINO GELADO PEQUENO 180ML,UN,1.590000,12.000000,True
0000022,CAFETERIA,047,047-002,,REFRIGERANTE 200ML VIDRO,UN,1.513100,3.000000,True
0000023,CAFETERIA,047,047-002,,REFRIGERANTE 600 ML,UN,4.235400,8.000000,True
0000024,CAFETERIA,047,047-002,,REFRIGERANTE 1L,UN,31.200000,10.000000,True
0000025,CAFETERIA,047,047-002,,REFRIGERANTE 2L,UN,9.306700,15.000000,True
0000026,CAFETERIA,047,047-002,,REFRIGERANTE MINI LATA 220ML,UN,11.435000,4.000000,True
0000027,CAFETERIA,047,047-002,,REFRIGERANTE LATA 310ML,UN,1.532800,6.000000,True
0000028,CAFETERIA,047,047-002,,SUCO DEL VALE CAIXINHA,UN,1.747200,4.000000,True
0000029,CAFETERIA,047,047-002,,SUCO DEL VALE LATA 290ML,UN,3.230000,6.500000,True
0000030,CAFETERIA,047,047-006,,SUCO DETOX 500ML,UN,1.500000,17.000000,True
0000031,CAFETERIA,047,047-006,,SUCO DE ACAI 500ML,UN,2.820000,14.000000,True
0000032,CAFETERIA,047,047-006,,SUCO DE LARANJA 500ML,UN,1.540000,9.000000,True
0000033,CAFETERIA,047,047-006,,SUCO MIX 500ML,UN,2.730000,12.000000,True
0000034,CAFETERIA,047,047-003,,FRAPE DE ACAI 500ML,UN,7.250000,22.000000,True
0000035,CAFETERIA,047,047-003,,FRAPE 500ML,UN,5.782000,20.000000,False
0000036,CAFETERIA,047,047-005,,VITAMINA DE FRUTAS 500ML,UN,2.000000,14.000000,True
0000037,CAFETERIA,047,047-005,,VITAMINA DE FRUTAS COM PACOCA 500ML,UN,2.200000,17.000000,True
0000038,CAFETERIA,047,047-002,,FROZEN DE CHOCOLATE PEQUENO 180ML,UN,1.650000,12.000000,True
0000039,CAFETERIA,047,047-002,,FROZEN DE CHOCOLATE GRANDE 250ML,UN,3.050000,20.000000,True
0000040,CAFETERIA,047,047-004,,MILK SHAKE DE CHOCOLATE 300ML,UN,5.090000,14.000000,True
0000041,CAFETERIA,046,046-004,,ACAI NA TIGELINHA - 200G,UN,3.600000,18.000000,True
0000042,CAFETERIA,046,046-004,,ACAI NA TIGELA - 350G,UN,8.000000,25.000000,True
0000043,CAFETERIA,046,046-004,,ACAI NO COPINHO - 130G,UN,2.320000,12.000000,True
0000044,CAFETERIA,,-,,BOLO GELADO,UN,0.000000,6.000000,False
