code,branch_code,purchase_code,product_code,issue_date,quantity,unit_price,discount,fees,total_amount
0000000002-001,1,0000000002,0000069,2021-05-05,120.000000,1.025000,0.000000,0,123.000000
0000000002-002,1,0000000002,0000070,2021-05-05,400.000000,0.307500,0.000000,0,123.000000
0000000003-001,1,0000000003,0000025,2021-05-03,6.000000,5.710000,0.000000,0,39.130000
0000000003-002,1,0000000003,0000022,2021-05-03,24.000000,0.655800,0.000000,0,17.980000
0000000003-003,1,0000000003,0000018,2021-05-03,36.000000,0.965800,0.000000,0,39.710000
0000000003-004,1,0000000003,0000017,2021-05-03,24.000000,1.116700,0.000000,0,30.610000
0000000003-005,1,0000000003,0000027,2021-05-03,18.000000,1.504400,0.000000,0,30.930000
0000000003-006,1,0000000003,0000027,2021-05-03,12.000000,1.495000,0.000000,0,20.490000
0000000003-007,1,0000000003,0000027,2021-05-03,6.000000,1.403300,0.000000,0,9.620000
0000000003-008,1,0000000003,0012610,2021-05-03,6.000000,1.040000,0.000000,0,7.130000
0000000004-001,1,0000000004,0000027,2021-05-11,6.000000,1.388300,0.000000,0,9.260000
0000000004-002,1,0000000004,0000026,2021-05-11,18.000000,1.083900,0.000000,0,21.690000
0000000004-003,1,0000000004,0000027,2021-05-11,18.000000,1.505000,0.000000,0,30.120000
0000000004-004,1,0000000004,0000029,2021-05-11,6.000000,2.191700,0.000000,0,14.620000
0000000004-005,1,0000000004,0000017,2021-05-11,24.000000,1.116700,0.000000,0,29.800000
0000000004-006,1,0000000004,0000018,2021-05-11,36.000000,0.965800,0.000000,0,38.660000
0000000004-007,1,0000000004,0000025,2021-05-11,6.000000,5.711700,0.000000,0,38.100000
0000000005-001,1,0000000005,0011926,2021-05-10,90.000000,3.250000,0.000000,0,292.500000
0000000006-001,1,0000000006,0008869,2021-05-12,50.000000,1.700000,0.000000,0,95.450000
0000000007-001,1,0000000007,0000070,2021-05-12,400.000000,0.307500,0.000000,0,123.000000
