code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
0000000002,1,0000201,2021-05-05,0,0.000000,0,246.000000
0000000003,1,0000202,2021-05-03,0,0.000000,0,195.570000
0000000004,1,0000202,2021-05-11,0,0.000000,0,182.250000
0000000005,1,0000279,2021-05-10,0,0.000000,0,292.500000
0000000006,1,0000288,2021-05-12,0,0.000000,0,95.450000
0000000007,1,0000201,2021-05-12,0,0.000000,0,123.000000
0000000008,1,0000202,2021-05-18,0,0.000000,0,159.400000
0000000009,1,0000201,2021-05-19,0,0.000000,0,123.000000
0000000010,1,0000025,2021-05-07,0,0.000000,0,290.190000
0000000011,1,0000288,2021-05-18,0,0.000000,0,131.750000
0000000012,1,0000009,2021-05-20,0,642.250000,0,1200.550000
0000000013,1,0000009,2021-05-21,0,41.920000,0,77.880000
0000000014,1,0000009,2021-05-27,0,645.600000,0,1214.900000
0000000015,1,0000029,2021-05-27,0,319.900000,0,593.800000
0000000016,1,0000224,2021-05-28,0,0.000000,0,124.900000
0000000017,1,0000202,2021-05-27,0,0.000000,0,228.620000
0000000018,1,0000201,2021-05-26,0,0.000000,0,123.000000
0000000019,1,0000033,2021-05-21,0,0.000000,0,126.820000
0000000020,1,0000303,2021-06-01,0,0.000000,0,325.150000
0000000021,1,0000201,2021-06-02,0,0.000000,0,123.000000
0000000022,1,0000279,2021-06-01,0,0.000000,0,175.500000
0000000023,1,0000108,2021-06-04,0,0.000000,0,278.820000
0000000024,1,0000303,2021-06-08,0,0.000000,0,521.840000
0000000025,1,0000202,2021-06-08,0,0.000000,0,290.770000
0000000026,1,0000279,2021-05-31,0,0.000000,0,164.200000
0000000027,1,0000288,2021-06-09,0,0.000000,0,104.440000
0000000028,1,0000201,2021-06-09,0,0.000000,0,123.000000
0000000029,1,0000009,2021-06-10,0,166.940000,0,318.160000
0000000030,1,0000297,2021-05-19,0,0.000000,0,948.700000
0000000031,1,0000005,2021-06-01,0,0.000000,0,2703.280000
0000000032,1,0000009,2021-06-09,0,531.950000,0,997.150000
0000000033,1,0000009,2021-06-09,0,477.270000,0,929.730000
0000000034,1,0000009,2021-06-09,0,1681.800000,0,3360.400000
0000000035,1,0000148,2021-06-18,0,0.000000,0,787.920000
0000000036,1,0000201,2021-06-16,0,0.000000,0,123.000000
0000000037,1,0000202,2021-06-15,0,0.000000,0,107.460000
0000000038,1,0000025,2021-06-10,0,0.000000,0,464.150000
0000000039,1,0000279,2021-06-11,0,0.000000,0,117.000000
0000000040,1,0000025,2021-06-11,0,0.000000,0,387.210000
0000000041,1,0000052,2021-06-22,0,0.000000,0,256.200000
0000000042,1,0000202,2021-06-22,0,0.000000,0,133.100000
0000000043,1,0000005,2021-06-15,0,0.000000,0,3219.990000
0000000044,1,0000287,2021-05-13,0,0.000000,0,65.350000
0000000045,1,0000201,2021-06-23,0,0.000000,0,246.000000
0000000046,1,0000009,2021-06-25,0,519.320000,0,972.580000
0000000047,1,0000201,2021-06-30,0,0.000000,0,123.000000
0000000048,1,0000224,2021-07-02,0,0.000000,0,124.900000
0000000049,1,0000202,2021-07-02,0,0.000000,0,130.690000
0000000050,1,0000024,2021-06-18,0,0.000000,0,388.770000
0000000051,1,0000009,2021-07-07,0,6.960000,0,12.940000
0000000053,1,0000009,2021-07-07,0,438.970000,0,823.030000
0000000054,1,0000009,2021-07-12,0,357.600000,0,664.300000
0000000055,1,0000201,2021-07-07,0,0.000000,0,128.000000
0000000056,1,0000202,2021-07-06,0,0.000000,0,303.090000
0000000057,1,0000025,2021-07-01,0,0.000000,0,690.510000
0000000058,1,0000052,2021-07-13,0,0.000000,0,317.190000
0000000059,1,0000279,2021-07-12,0,0.000000,0,396.100000
0000000060,1,0000009,2021-07-12,0,78.910000,0,146.590000
0000000061,1,0000201,2021-07-14,0,0.000000,0,128.000000
0000000062,1,0000288,2021-07-14,0,0.000000,0,233.730000
0000000063,1,0000029,2021-07-22,0,213.790000,0,396.910000
0000000064,1,0000202,2021-07-13,0,0.000000,0,289.130000
0000000065,1,0000224,2021-07-23,0,0.000000,0,124.900000
0000000066,1,0000202,2021-07-20,0,0.000000,0,91.180000
0000000067,1,0000108,2021-07-23,0,0.000000,0,244.920000
0000000068,1,0000057,2021-07-20,0,126.090000,0,340.910000
0000000069,1,0000009,2021-07-28,0,21.620000,0,40.180000
0000000070,1,0000009,2021-07-28,0,344.830000,0,666.370000
0000000071,1,0000174,2021-07-26,0,0.000000,0,246.040000
0000000072,1,0000202,2021-07-27,0,0.000000,0,272.180000
0000000073,1,0000297,2021-07-28,0,0.000000,0,488.550000
0000000074,1,0000034,2021-07-27,0,38.460000,0,71.440000
0000000075,1,0000034,2021-07-27,0,259.760000,0,526.040000
0000000076,1,0000034,2021-07-27,0,599.950000,0,1114.650000
0000000077,1,0000201,2021-07-28,0,0.000000,0,256.000000
0000000078,1,0000034,2021-07-27,0,3302.030000,0,6133.890000
0000000079,1,0000288,2021-08-03,0,0.000000,0,99.950000
0000000080,1,0000201,2021-08-04,0,0.000000,0,128.000000
0000000081,1,0000202,2021-08-05,0,0.000000,0,127.050000
0000000082,1,0000034,2021-08-06,0,242.050000,0,478.840000
0000000083,1,0000025,2021-08-05,0,0.000000,0,615.480000
0000000084,1,0000033,2021-07-30,0,0.000000,0,194.400000
0000000085,1,0000201,2021-08-11,0,0.000000,0,128.000000
0000000086,1,0000202,2021-08-10,0,0.000000,0,239.550000
0000000087,1,0000063,2021-07-27,0,0.000000,0,627.000000
0000000088,1,0000224,2021-08-13,0,0.000000,0,124.900000
0000000089,1,0000063,2021-07-30,0,0.000000,0,650.000000
0000000090,1,0000221,2021-08-16,0,31.200000,0,72.800000
0000000091,1,0000034,2021-08-16,0,171.130000,0,342.880000
0000000092,1,0000288,2021-08-19,0,0.000000,0,99.950000
0000000093,1,0000202,2021-08-17,0,0.000000,0,234.120000
0000000094,1,0000201,2021-08-18,0,0.000000,0,128.000000
0000000095,1,0000303,2021-08-24,0,0.000000,0,976.640000
0000000096,1,0000202,2021-08-24,0,0.000000,0,81.410000
0000000097,1,0000279,2021-08-30,0,0.000000,0,107.100000
0000000098,1,0000201,2021-08-25,0,0.000000,0,128.000000
0000000099,1,0000202,2021-09-01,0,0.000000,0,211.160000
0000000100,1,0000201,2021-09-01,0,0.000000,0,256.000000
0000000101,1,0000224,2021-09-03,0,0.000000,0,124.900000
0000000103,1,0000034,2021-09-03,0,178.420000,0,360.670000
0000000104,1,0000025,2021-09-02,0,0.000000,0,246.560000
0000000105,1,0000288,2021-09-08,0,0.000000,0,234.860000
0000000106,1,0000201,2021-09-08,0,0.000000,0,128.000000
0000000107,1,0000108,2021-09-03,0,0.000000,0,296.220000
