branch_code,date,total_cost,total_amount,total_profit,count_sales
1,2023-06-03,497.060000,1360.090000,863.030000,36
1,2023-07-08,374.540000,1056.400000,681.860000,27
1,2023-07-10,1200.230000,3512.790000,2312.560000,125
1,2023-07-24,851.310000,2571.600000,1720.290000,93
1,2023-08-10,1065.170000,3611.200000,2546.030000,111
1,2023-08-26,558.900000,1688.700000,1129.800000,35
1,2023-08-28,1528.530000,3286.990000,1758.460000,134
1,2023-09-13,1795.290000,3577.380000,1782.090000,111
1,2023-09-29,1635.010000,4294.990000,2659.980000,118
1,2023-11-01,1317.500000,3358.400000,2040.900000,117
1,2023-12-04,2749.710000,6457.000000,3707.290000,150
1,2023-12-22,2112.260000,4571.370000,2459.110000,100
1,2024-01-25,1675.430000,4132.600000,2457.170000,99
1,2024-02-10,381.730000,929.800000,548.070000,18
1,2024-02-27,1763.380000,3555.800000,1792.420000,96
1,2024-02-29,3107.750000,6193.700000,3085.950000,111
1,2024-03-15,1873.820000,4191.480000,2317.660000,127
1,2024-03-16,1562.200000,3284.150000,1721.950000,70
1,2024-03-30,585.050000,1460.900000,875.850000,25
1,2024-04-17,1148.710000,3875.220000,2726.510000,112
1,2024-05-20,1349.140000,3531.200000,2182.060000,107
1,2024-05-21,2485.570000,5149.400000,2663.830000,106
1,2024-06-22,606.680000,1644.600000,1037.920000,31
1,2024-07-09,1509.030000,4211.820000,2702.790000,119
1,2024-07-27,397.950000,1288.800000,890.850000,23
1,2024-08-28,1452.730000,3625.000000,2172.270000,93
1,2024-09-13,937.960000,3300.700000,2362.740000,101
1,2024-09-14,683.510000,1804.600000,1121.090000,33
1,2024-11-04,2279.730000,7480.730000,5201.000000,155
1,2024-11-05,1464.790000,4337.550000,2872.760000,153
1,2024-11-20,302.540000,863.900000,561.360000,13
1,2024-12-07,463.080000,1920.600000,1457.520000,46
1,2024-12-09,1669.470000,4443.000000,2773.530000,139
1,2025-01-09,1994.270000,4786.250000,2791.980000,94
1,2025-01-10,2986.010000,6347.200000,3361.190000,86
1,2025-02-11,3279.820000,7035.950000,3756.130000,169
1,2025-02-13,2113.570000,5220.150000,3106.580000,148
1,2025-02-14,1883.840000,5559.070000,3675.230000,179
1,2025-02-28,1381.550000,4465.840000,3084.290000,117
1,2025-03-16,417.270000,672.060000,254.790000,7
1,2025-03-17,1391.400000,4312.950000,2921.550000,175
1,2025-03-18,1474.570000,4933.350000,3458.780000,179
1,2025-03-19,1364.920000,4361.500000,2996.580000,179
1,2025-04-02,2279.230000,5906.900000,3627.670000,214
1,2025-04-05,598.310000,1620.400000,1022.090000,35
1,2025-04-19,509.460000,1175.900000,666.440000,31
1,2025-05-05,1928.420000,4794.500000,2866.080000,138
1,2025-05-06,2226.150000,6732.160000,4506.010000,163
1,2025-05-07,1971.380000,5027.580000,3056.200000,183
1,2025-06-09,3021.600000,6881.000000,3859.400000,237
1,2025-06-10,1841.190000,4439.800000,2598.610000,157
1,2025-06-25,2281.640000,5540.700000,3259.060000,227
1,2025-06-27,977.450000,2827.430000,1849.980000,100
1,2025-07-14,1912.750000,4377.570000,2464.820000,105
1,2025-07-28,1313.520000,4036.180000,2722.660000,88
1,2025-08-15,2178.680000,6000.150000,3821.470000,228
1,2025-08-16,1092.790000,2502.300000,1409.510000,76
1,2025-08-17,163.150000,326.000000,162.850000,4
1,2025-09-02,2490.240000,5576.800000,3086.560000,189
1,2025-09-18,2306.820000,4992.650000,2685.830000,199
1,2025-10-04,35.760000,90.000000,54.240000,8
1,2025-10-22,1907.420000,4991.700000,3084.280000,189
1,2025-12-11,2133.820000,4831.640000,2697.820000,143
1,2025-12-26,1216.910000,3128.770000,1911.860000,58
1,2026-01-14,2115.780000,5307.900000,3192.120000,81
1,2026-01-29,3170.090000,7144.410000,3974.320000,111
1,2026-02-13,1939.200000,5325.200000,3386.000000,190
1,2026-03-02,1528.660000,4602.200000,3073.540000,197
1,2026-03-05,2312.310000,5687.100000,3374.790000,216
1,2026-04-06,2229.090000,5608.650000,3379.560000,195
1,2026-04-07,2838.910000,7172.550000,4333.640000,208
1,2026-04-22,2049.430000,6083.650000,4034.220000,186
1,2026-04-23,1818.200000,4438.750000,2620.550000,187
1,2023-06-07,1355.780000,3834.090000,2478.310000,137
1,2023-06-09,1044.210000,2701.800000,1657.590000,89
1,2023-06-16,780.640000,2240.510000,1459.870000,118
1,2023-07-06,1490.300000,4285.400000,2795.100000,151
1,2023-07-11,964.430000,2873.600000,1909.170000,112
1,2023-07-13,904.430000,3177.100000,2272.670000,108
1,2023-07-29,382.010000,945.600000,563.590000,25
1,2023-08-25,1518.620000,3526.500000,2007.880000,116
1,2023-08-30,1437.730000,3198.840000,1761.110000,114
1,2023-10-03,1245.880000,3331.700000,2085.820000,114
1,2023-10-14,127.750000,334.290000,206.540000,13
1,2023-11-08,1565.510000,3704.600000,2139.090000,122
1,2023-11-22,1345.650000,2970.200000,1624.550000,104
1,2023-12-26,2135.080000,5229.400000,3094.320000,91
1,2024-01-02,1415.350000,3298.580000,1883.230000,73
1,2024-02-14,839.870000,2233.790000,1393.920000,78
1,2024-04-04,1453.500000,3819.900000,2366.400000,117
1,2024-04-15,1640.230000,4243.800000,2603.570000,123
1,2024-04-22,1090.440000,3187.900000,2097.460000,111
