branch_code,year,month,total_cost,total_amount,total_profit,count_sales
1,2024,3,40819.750000,93538.620000,52718.870000,2573
1,2024,5,35088.230000,95809.200000,60720.970000,2542
1,2025,8,56839.410000,132607.010000,75767.600000,4621
1,2023,9,33083.040000,78774.140000,45691.100000,2450
1,2021,12,21481.550000,53491.930000,32010.380000,2159
1,2023,2,34245.220000,84248.800000,50003.580000,2602
1,2022,4,29177.840000,64110.360000,34932.520000,2169
1,2022,6,25513.650000,68879.840000,43366.190000,2595
1,2023,1,57493.270000,127028.710000,69535.440000,2660
1,2026,3,47104.080000,132486.490000,85382.410000,4530
1,2021,11,17002.960000,42411.120000,25408.160000,1852
1,2023,5,30034.410000,86364.840000,56330.430000,3076
1,2026,5,51224.250000,114248.400000,63024.150000,3431
1,2022,8,30112.440000,85900.430000,55787.990000,3160
1,2025,10,53608.230000,140188.340000,86580.110000,4133
1,2025,12,49297.430000,118808.560000,69511.130000,2988
1,2022,1,47954.000000,98657.970000,50703.970000,2095
1,2025,1,66675.280000,143727.480000,77052.200000,2171
1,2022,3,33698.360000,67108.190000,33409.830000,2439
1,2025,3,39351.740000,114812.110000,75460.370000,3721
1,2025,4,47503.960000,110018.950000,62514.990000,3706
1,2022,2,29423.620000,64963.020000,35539.400000,2150
1,2025,2,46136.090000,124669.370000,78533.280000,3763
1,2021,5,15738.810000,37884.400000,22145.590000,1452
1,2024,6,39842.530000,96074.720000,56232.190000,2480
1,2021,7,13734.150000,35715.220000,21981.070000,1549
1,2026,1,55094.770000,129991.390000,74896.620000,2140
1,2024,2,38251.990000,79415.830000,41163.840000,1846
1,2022,5,28783.730000,75238.690000,46454.960000,2795
1,2025,5,56084.850000,136029.340000,79944.490000,4299
1,2021,6,13192.340000,33083.300000,19890.960000,1408
1,2024,7,36280.060000,90938.180000,54658.120000,2240
1,2021,8,16164.020000,40604.890000,24440.870000,1774
1,2024,8,34249.580000,95341.270000,61091.690000,2555
1,2024,9,31429.520000,94818.260000,63388.740000,2403
1,2023,12,38236.440000,93233.170000,54996.730000,2351
1,2024,1,64771.220000,135796.820000,71025.600000,2415
1,2023,4,23528.180000,71772.360000,48244.180000,2613
1,2026,4,39998.060000,102873.840000,62875.780000,3776
1,2023,6,26323.750000,76466.920000,50143.170000,2826
1,2025,9,58238.710000,135018.660000,76779.950000,4718
1,2022,11,27711.710000,75807.190000,48095.480000,2796
1,2023,3,32813.150000,91873.450000,59060.300000,3135
1,2022,9,45468.850000,101804.200000,56335.350000,3400
1,2022,10,32811.420000,83041.050000,50229.630000,2955
1,2025,11,48474.010000,120394.620000,71920.610000,3834
1,2022,12,27599.150000,77099.310000,49500.160000,2563
1,2021,4,12.140000,28.700000,16.560000,1
1,2024,4,31393.130000,89924.550000,58531.420000,2639
1,2022,7,23221.330000,63346.630000,40125.300000,2320
1,2025,7,49254.760000,111139.500000,61884.740000,3016
1,2023,8,31549.230000,85228.270000,53679.040000,2816
1,2021,9,16356.860000,40931.960000,24575.100000,1880
1,2023,10,28441.420000,67150.440000,38709.020000,2213
1,2024,11,34083.540000,100451.820000,66368.280000,3057
1,2026,2,39998.060000,111570.170000,71572.110000,3772
1,2025,6,233654.770000,122005.380000,-111649.390000,4113
1,2023,7,24218.220000,71798.280000,47580.060000,2371
1,2021,10,15792.930000,40185.290000,24392.360000,1870
1,2024,10,35330.120000,109842.040000,74511.920000,2681
1,2023,11,27857.420000,66961.660000,39104.240000,2113
1,2024,12,45473.970000,120292.700000,74818.730000,2775
