branch_code,account_code,chart_account_code,supplier_code,date,is_reconciled,total_amount
1,003,2.02.01,0000384,2025-04-22,True,-250.000000
1,001,1.01.06,,2025-06-28,True,14.000000
1,004,2.04.06,0000332,2023-07-06,True,-59.000000
1,004,2.04.02,,2024-05-07,True,-0.770000
1,003,2.02.04,0000034,2026-05-22,False,-267.360000
1,001,2.02.01,0000046,2025-10-27,True,-127.000000
1,003,2.01.01,0000396,2026-02-06,True,-737.190000
1,003,2.02.07,0000303,2024-04-01,True,-311.130000
1,004,1.01.01,,2026-05-18,True,462.950000
1,001,2.02.01,0000095,2023-10-07,True,-45.000000
1,001,3.05,,2023-08-28,True,-890.000000
1,002,2.01.04,0000310,2024-08-13,True,-200.000000
1,001,2.02.01,0000017,2024-12-19,True,-48.000000
1,001,2.02.01,0000340,2025-08-12,True,-64.000000
1,001,3.05,,2024-04-12,True,-420.000000
1,001,3.05,,2024-01-20,True,-120.000000
1,002,2.02.07,0000014,2026-03-19,True,-610.000000
1,003,2.02.01,0000202,2024-01-10,True,-316.830000
1,003,2.02.01,0000140,2025-04-11,True,-452.700000
1,003,2.02.01,0000021,2024-04-08,True,-129.000000
1,003,2.04.03,0000092,2024-02-14,True,-69.000000
1,003,2.01.01,0000160,2024-05-16,True,-2022.000000
1,003,2.02.01,0000023,2023-07-18,True,-100.000000
1,004,1.01.01,,2024-12-07,True,18.000000
1,001,2.02.01,0000023,2024-05-29,True,-20.000000
1,001,2.02.01,0000046,2023-10-03,True,-101.000000
1,004,2.01.01,0000310,2024-10-09,True,-1282.000000
1,003,1.02.01,,2024-06-17,True,2.600000
1,001,1.01.06,,2025-05-21,True,-350.000000
1,001,2.01.01,0000254,2026-02-06,True,-105.730000
1,003,1.01.01,,2024-06-04,True,889.650000
1,001,2.03.13,0000088,2024-12-19,True,-467.000000
1,003,2.02.01,0000021,2025-08-22,True,-385.000000
1,003,2.02.01,0000120,2023-08-31,True,-903.680000
1,001,2.02.01,0000013,2025-01-27,True,-299.300000
1,003,2.12.02,0000177,2025-03-28,True,-486.500000
1,001,2.02.01,0000218,2026-04-10,True,-34.100000
1,001,2.02.01,0000046,2025-10-01,True,-127.000000
1,001,2.02.01,0000347,2025-04-03,True,-22.500000
1,001,2.12.04,0000190,2024-04-22,True,-10.000000
1,003,2.03.04,0000066,2023-08-10,True,-523.320000
1,001,2.02.01,0000340,2024-05-06,True,-110.000000
1,001,3.05,,2024-05-08,True,-950.000000
1,003,2.04.03,0000092,2024-09-03,True,-3.200000
1,005,1.02.01,,2023-12-26,True,2729.180000
1,001,2.02.01,0000017,2024-04-09,True,-24.000000
1,003,2.01.01,0000365,2025-04-07,True,-1104.630000
1,004,2.02.01,0000201,2024-04-04,True,-162.500000
