branch_code,account_code,chart_account_code,supplier_code,year,month,is_reconciled,total_amount
1,003,2.02.07,0000303,2024,12,True,-1535.900000
1,003,2.01.01,0000418,2026,2,True,-1720.700000
1,004,2.12.02,0000177,2024,12,True,-480.000000
1,003,2.02.01,0000317,2023,6,True,-332.000000
1,003,2.01.14,0000254,2025,6,True,-612.000000
1,003,2.11.02,0000228,2026,3,True,-338.740000
1,001,2.01.14,0000404,2025,1,True,0.000000
1,001,2.06.03,0000282,2025,1,True,-130.000000
1,001,2.02.01,0000399,2025,2,True,-70.000000
1,001,2.02.01,0000275,2024,9,True,-501.000000
1,001,2.01.01,0000180,2025,3,True,-611.000000
1,003,2.09.04,0000336,2024,12,True,-321.790000
1,003,2.01.01,0000160,2025,11,True,-1973.000000
1,003,2.14.01,0000257,2023,12,True,-2057.780000
1,003,2.02.01,0000318,2023,5,True,-1549.750000
1,001,2.13.02,0000023,2026,4,True,-89.570000
1,003,2.02.01,0000025,2023,10,True,-231.360000
1,004,2.02.02,0000037,2024,8,True,-410.460000
1,003,2.01.01,0000254,2024,7,True,-1316.200000
1,004,2.02.01,0000288,2024,8,True,-1646.510000
1,001,2.02.01,0000003,2024,2,True,-190.930000
1,004,2.02.02,0000005,2024,3,True,-3478.500000
1,001,2.02.01,0000003,2025,11,True,-82.350000
1,003,2.01.01,0000160,2024,12,True,-1733.600000
1,003,1.01.07,0000257,2024,5,True,225.090000
1,001,2.13.02,0000023,2024,3,True,-38.790000
1,001,2.02.01,0000275,2023,10,True,-285.000000
1,003,2.03.04,0000066,2024,2,True,-4015.300000
1,001,2.01.01,0000410,2024,12,True,-200.000000
1,003,2.02.01,0000301,2024,8,True,-153.460000
1,004,2.02.01,0000249,2025,7,True,-400.000000
1,004,2.02.01,0000363,2024,12,True,-197.740000
1,003,2.14.01,0000257,2024,11,True,-490.680000
1,003,2.01.09,0000080,2024,1,True,-741.110000
1,001,2.02.01,0000007,2024,5,True,-32.000000
1,003,2.14.01,0000348,2026,2,True,-31.900000
1,002,2.03.13,0000088,2023,11,True,-414.000000
1,001,2.01.06,0000370,2024,2,True,-420.000000
1,003,2.04.03,0000092,2026,5,True,-198.200000
1,001,2.02.01,0000317,2023,10,True,-164.000000
1,001,2.02.01,0000140,2025,1,True,-539.590000
1,001,1.05.02,,2025,4,True,19.370000
1,003,2.02.02,0000076,2025,2,True,-150.000000
1,003,2.01.11,0000180,2025,12,True,-280.000000
1,004,1.01.01,,2026,3,True,4365.350000
1,004,3.05,,2024,6,True,-19618.120000
1,001,2.01.01,0000353,2024,7,True,-298.100000
1,003,2.01.01,0000254,2023,8,True,-1356.990000
1,003,2.14.01,0000125,2025,4,True,-1844.800000
1,004,1.01.06,,2024,11,True,-350.000000
1,001,2.02.01,0000021,2025,6,True,-259.550000
1,003,2.02.01,0000301,2023,9,True,-300.950000
1,004,2.02.04,0000034,2024,8,True,-5673.040000
1,003,2.03.12,0000038,2024,8,True,-68.000000
1,002,2.03.13,0000088,2025,12,True,-879.000000
1,001,2.02.01,0000021,2024,7,True,-122.950000
1,001,2.01.01,0000404,2024,11,True,-13.500000
1,003,2.03.07,0000376,2025,6,True,-658.900000
1,004,2.01.01,0000357,2024,2,True,-828.000000
1,003,2.03.01,0000085,2025,9,True,-1200.000000
1,003,3.05,,2026,4,True,3921.110000
1,001,2.02.01,0000013,2024,11,True,-598.000000
1,003,2.11.02,0000228,2025,4,True,-290.000000
1,001,2.02.01,0000017,2023,5,True,-66.000000
1,004,2.02.04,0000034,2023,9,True,-1138.180000
1,003,1.04.01,,2025,8,True,105000.000000
1,001,2.01.01,0000160,2025,2,True,-65.000000
1,003,2.01.10,0000415,2025,4,True,-219.040000
1,003,2.02.01,0000335,2024,12,True,-153.330000
1,006,3.05,,2025,11,True,5000.000000
1,003,2.01.12,0000412,2025,4,True,-80.000000
1,003,2.05.02,0000080,2025,3,True,-645.860000
1,001,2.09.02,0000074,2025,10,True,-1031.800000
1,003,2.02.01,0000421,2025,5,True,-553.500000
1,001,2.02.01,0000003,2025,1,True,-348.000000
1,003,2.01.12,0000180,2025,4,True,-80.000000
1,003,2.02.01,0000364,2025,6,True,-237.920000
1,003,2.01.01,0000180,2026,1,True,-600.660000
1,001,2.06.03,0000282,2023,7,True,-109.000000
1,001,2.02.04,0000390,2024,7,True,-437.000000
1,004,2.05.06,0000080,2023,11,True,-3014.170000
1,003,2.03.04,0000066,2025,11,True,-3708.810000
1,003,2.02.01,0000335,2025,11,True,-153.330000
