code,section_code,group_code,subgroup_code,brand_code,name,unit,cost_price,sale_price,is_active
1,229,252,0,0,MAO DE OBRA,UN,0.010000,0.010000,1
2,,,0,0,PRODUTO DIVERSO,UN,200.000000,0.010000,1
3,214,237,0,104,REPARO BICO INJETOR CIVIC/FIT 2002>..,UN,38.800000,70.000000,1
4,130,146,0,68,FILTRO AR VECTRA 97..,UN,19.920000,35.000000,1
5,49,56,0,81,JG CABO VELA KOMBI 1.4 8V FLEX 06/...,UN,138.800000,215.000000,1
6,214,237,0,1,REPARO BICO INJETOR 1 BICO MAGNETI  VW/FIAT/FORD,UN,74.200000,15.000000,1
7,131,147,0,1,JG FIO VL S10/BLAZER22 96>97,UN,91.410000,160.000000,1
8,257,281,0,0,JG VELA GOL G2/G3 AP GASOLINA/POLO CLASIC,UN,26.341500,45.000000,1
9,168,187,0,123,MANGUEIRA FILTRO AR CORSA/CELTA S/FURO,UN,12.000000,22.000000,1
10,243,266,0,1,TERMINAL ARGOLA 5M,UN,0.280600,1.500000,1
12,214,237,0,44,REPARO BICO INJETOR COROLLA 1.8 GASOLINA BOSCH,UN,38.800000,70.000000,1
13,49,56,0,0,JG CABO VELA UNO/PALIO/STRADA (2 BOBINA) 97>02,UN,57.070000,97.000000,1
14,49,56,0,81,JG CABO VELA FIESTA/ECOSPORT ZETEC  S/PROLONGADOR,UN,102.460000,175.000000,1
15,226,249,0,1,SENSOR ROTACAO VECTRA 2.0/2.2 16V 97/2005,UN,37.090000,64.000000,1
16,226,249,0,26,SENSOR ROTACAO UNO/PALIO FIRE 1.0/1.3 8V (3 PINO),UN,62.290000,110.000000,1
17,214,237,0,0,REPARO BICO INJETOR BOSCH,UN,16.800000,30.000000,1
18,214,237,0,0,REPARO BICO INJETOR MAGNETI MARELLI,UN,15.900000,30.000000,1
19,168,187,0,1,mangueira filtro ar strada 1.4/PALIO 1.0,UN,65.640000,42.000000,1
20,221,244,0,67,ROLAMENTO RODA DIANTEIRA UNO/PALIO/SIENA/ELBA,UN,48.280000,85.000000,1
21,49,56,0,1,JG CABO VELA MONZA/KADETT .../1991 'CARBURADO',UN,75.000000,130.000000,1
22,168,187,0,0,MANGUEIRA FILTRO AR UNO/PALIO  FIRE 1.0/1.3 8V TDS,UN,20.300000,64.000000,1
23,257,281,0,1,JG VELA MONZA/PALIO/TEMPRA/TIPO/TOWNER,UN,2.205000,18.000000,1
24,257,281,0,1,JG VELA gol/pampa cht,UN,11.440000,20.000000,1
25,182,204,0,0,PARAFUSO DISCO GOL (6X12),UN,0.675000,1.500000,1
26,182,204,0,82,PARAFUSO HOMOCINETICA GOL (8X50 ESTRIADO) ALLEN,UN,3.846600,7.000000,1
27,257,281,0,81,JG VELA STRADA 1.8 8V FLEX/CORSA 1.8,UN,18.660000,30.000000,1
28,257,281,0,1,JG VELA GOL/FOX/POLO/GOLF 1.6 GAS,UN,22.720000,34.000000,1
29,214,237,0,44,REPARO BICO INJETOR 1 BICO GM ROCHESTER/SIST EFI,UN,0.950000,10.000000,1
