code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
2,1,507,2012-11-06,0,0,0,0.000000
3,1,21,2012-11-09,0,0,0,4303.560000
4,1,22,2012-11-13,0,0,0,449.280000
5,1,16,2012-11-13,0,0,0,946.320000
6,1,22,2012-11-13,0,0,0,112.680000
7,1,24,2012-11-13,0,0,0,336.290000
8,1,24,2012-11-13,0,0,0,936.350000
9,1,28,2012-11-22,0,0,0,1801.020000
10,1,6,2012-11-22,0,0,0,0.000000
11,1,22,2012-11-22,0,0,0,1236.410000
12,1,16,2012-11-22,0,0,0,538.480000
13,1,21,2012-11-22,0,0,0,323.030000
14,1,21,2012-11-22,0,0,0,294.790000
15,1,28,2012-11-27,0,0,0,1520.520000
16,1,23,2012-11-27,0,0,0,931.970000
17,1,17,2012-11-29,0,0,0,0.000000
18,1,16,2012-12-01,0,0,0,148.620000
20,1,24,2012-12-01,0,0,0,59.000000
21,1,28,2012-12-03,0,0,0,1638.150000
22,1,16,2012-12-12,0,0,0,195.600000
23,1,28,2012-12-15,0,0,0,1606.020000
24,1,16,2012-12-15,0,0,0,1503.810000
25,1,24,2012-12-17,0,0,0,1214.220000
27,1,22,2012-12-17,0,0,0,1719.380000
28,1,24,2012-12-18,0,0,0,0.000000
30,1,71,2012-12-18,0,0,0,1513.700000
31,1,16,2012-12-19,0,0,0,264.280000
32,1,24,2012-12-22,0,0,0,4020.660000
35,1,32,2013-01-02,0,0,0,0.000000
36,1,32,2013-01-03,0,0,0,300.080000
37,1,64,2013-01-04,0,0,0,459.500000
38,1,22,2013-01-11,0,0,0,0.000000
39,1,22,2013-01-12,0,0,0,3164.260000
40,1,21,2013-01-16,0,0,0,485.290000
41,1,28,2013-01-18,0,0,0,3671.810000
42,1,16,2013-01-21,0,0,0,1587.030000
43,1,24,2013-01-23,0,0,0,0.000000
46,1,105,2013-01-28,0,0,0,0.000000
47,1,28,2013-02-13,0,0,0,2066.560000
48,1,16,2013-02-19,0,0,0,199.150000
50,1,119,2013-02-21,0,0,0,1159.890000
51,1,22,2013-02-22,0,0,0,2076.840000
52,1,17,2013-02-22,0,0,0,9.000000
53,1,67,2013-02-23,0,0,0,120.000000
54,1,67,2013-02-23,0,0,0,0.000000
55,1,17,2013-02-23,0,0,0,83.880000
56,1,17,2013-02-23,0,0,0,90.000000
57,1,17,2013-02-23,0,0,0,148.500000
58,1,17,2013-02-23,0,0,0,90.000000
59,1,17,2013-02-25,0,0,0,17.100000
60,1,53,2013-02-25,0,0,0,0.000000
