branch_code,payment_method_code,year,month,total_issued,total_paid
1,1,2012,10,17055.170000,0.000000
1,1,2012,11,36162.830000,0.000000
1,1,2012,12,48565.550000,0.000000
1,1,2013,1,42267.860000,0.000000
1,1,2013,2,38627.230000,0.000000
1,1,2013,3,36436.080000,0.000000
1,1,2013,4,47028.210000,0.000000
1,1,2013,5,43852.300000,0.000000
1,1,2013,6,42227.740000,0.000000
1,1,2013,7,49559.640000,0.000000
1,1,2013,8,48702.110000,0.000000
1,1,2013,9,42262.360000,0.000000
1,1,2013,10,47005.450000,0.000000
1,1,2013,11,43075.700000,0.000000
1,1,2013,12,46872.810000,0.000000
1,1,2014,1,55088.210000,0.000000
1,1,2014,2,41669.240000,0.000000
1,1,2014,3,45614.480000,0.000000
1,1,2014,4,50417.680000,0.000000
1,1,2014,5,45659.390000,0.000000
1,1,2014,6,40298.470000,0.000000
1,1,2014,7,56100.140000,0.000000
1,1,2014,8,45408.040000,0.000000
1,1,2014,9,57666.980000,0.000000
1,1,2014,10,56211.870000,0.000000
1,1,2014,11,44170.590000,0.000000
1,1,2014,12,76260.220000,0.000000
1,1,2015,1,55527.970000,0.000000
1,1,2015,2,55563.570000,0.000000
1,1,2015,3,60488.700000,0.000000
1,1,2015,4,48055.060000,0.000000
1,1,2015,5,42314.060000,0.000000
1,1,2015,6,65790.380000,0.000000
1,1,2015,7,52539.790000,0.000000
1,1,2015,8,56175.880000,0.000000
1,1,2015,9,57158.510000,0.000000
1,1,2015,10,58235.840000,0.000000
1,1,2015,11,45521.680000,0.000000
1,1,2015,12,62995.660000,0.000000
1,1,2016,1,55616.950000,0.000000
1,1,2016,2,49652.750000,0.000000
1,1,2016,3,43668.130000,0.000000
1,1,2016,4,58584.540000,0.000000
1,1,2016,5,43957.470000,0.000000
1,1,2016,6,64881.970000,0.000000
1,1,2016,7,58036.050000,0.000000
1,1,2016,8,46371.040000,0.000000
1,1,2016,9,53600.080000,0.000000
1,1,2016,10,46525.220000,0.000000
1,1,2016,11,54483.890000,0.000000
1,1,2016,12,64100.850000,0.000000
1,1,2017,1,64450.340000,0.000000
1,1,2017,2,47997.320000,0.000000
1,1,2017,3,59837.650000,0.000000
1,1,2017,4,52871.600000,0.000000
1,1,2017,5,69092.370000,0.000000
1,1,2017,6,61414.000000,0.000000
1,1,2017,7,70653.360000,0.000000
1,1,2017,8,65527.960000,0.000000
1,1,2017,9,66725.010000,0.000000
1,1,2017,10,63108.890000,0.000000
1,1,2017,11,84473.480000,0.000000
1,1,2017,12,80519.250000,0.000000
1,1,2018,1,77534.600000,0.000000
1,1,2018,2,63294.220000,0.000000
1,1,2018,3,83243.860000,0.000000
1,1,2018,4,76164.630000,0.000000
1,1,2018,5,89477.700000,0.000000
1,1,2018,6,91836.170000,0.000000
1,1,2018,7,71880.720000,0.000000
1,1,2018,8,56113.950000,0.000000
