code,branch_code,customer_code,seller_code,issue_date,total_cost,total_discount,total_fees,total_amount
38088,1,4441,288,2023-05-24,0.010000,0,0,160.000000
38089,1,5534,288,2023-05-24,200.000000,0,0,250.000000
38091,1,1951,288,2023-05-24,517.470000,0,0,1520.690000
38092,1,1951,288,2023-05-24,504.640000,0,0,1349.690000
38093,1,1948,288,2023-05-24,0.000000,0,0,100.000000
38094,1,1948,968,2023-05-24,92.050000,0,0,298.000000
38095,1,766,2,2023-05-24,99.500000,0,0,100.000000
38096,1,1948,968,2023-05-24,135.390000,0,0,310.000000
38097,1,1948,288,2023-05-24,53.000000,0,0,385.000000
38099,1,5985,288,2023-05-24,295.260000,0,0,681.110000
38100,1,2625,968,2023-05-24,1186.970000,0,0,2294.000000
38101,1,2625,288,2023-05-24,15.240000,0,0,43.000000
38103,1,6148,288,2023-05-24,165.850000,0,0,460.000000
38104,1,3780,288,2023-05-24,225.370000,0,0,537.000000
38105,1,1302,288,2023-05-24,2.300000,0,0,12.000000
38106,1,6415,968,2023-05-24,0.000000,0,0,100.000000
38107,1,258,288,2023-05-24,42.380000,0,0,81.000000
38108,1,6148,288,2023-05-24,216.130000,0,0,406.870000
38110,1,6148,288,2023-05-25,113.770000,0,0,230.000000
38111,1,3309,288,2023-05-25,999.840000,0,0,2200.000000
38112,1,5964,968,2023-05-25,198.630000,0,0,480.000000
38113,1,5964,288,2023-05-25,57.620000,0,0,90.000000
38114,1,1492,849,2023-05-25,1097.450000,0,0,2890.000000
38115,1,3920,968,2023-05-25,196.010000,0,0,575.000000
38116,1,3920,288,2023-05-25,0.020000,0,0,200.000000
38117,1,6413,1,2023-05-25,200.000000,0,0,488.020000
38118,1,3920,288,2023-05-25,1484.650000,0,0,2328.000000
38119,1,3429,288,2023-05-25,0.010000,0,0,160.000000
38120,1,2625,288,2023-05-25,205.410000,0,0,497.000000
38121,1,5964,1,2023-05-25,447.510000,0,0,1389.400000
38122,1,1948,288,2023-05-25,1311.260000,0,0,2955.000000
38123,1,3980,288,2023-05-25,261.530000,0,0,621.510000
38124,1,836,288,2023-05-26,54.850000,0,0,390.000000
38125,1,3878,849,2023-05-26,0.000000,0,0,100.000000
38128,1,1948,288,2023-05-26,220.820000,0,0,635.000000
38129,1,1228,288,2023-05-26,-56.540000,0,0,-200.000000
38130,1,1228,968,2023-05-26,-58.360000,0,0,-110.000000
38131,1,1228,288,2023-05-26,-20.770000,0,0,-45.000000
38132,1,1948,288,2023-05-26,1110.190000,0,0,2436.000000
38133,1,2625,288,2023-05-26,1639.530000,0,0,2897.000000
38134,1,2625,288,2023-05-26,227.440000,0,0,638.000000
38135,1,1948,288,2023-05-26,336.530000,0,0,837.000000
38136,1,1948,288,2023-05-26,698.050000,0,0,1532.000000
38137,1,6416,288,2023-05-26,948.980000,0,0,1660.000000
38138,1,1816,288,2023-05-26,390.540000,0,0,902.800000
38139,1,5685,288,2023-05-26,127.560000,0,0,344.400000
38140,1,1948,968,2023-05-27,839.470000,0,0,1686.000000
