branch_code,date,total_cost,total_amount,total_profit,count_sales
1,2023-05-24,3751.560000,9088.360000,5336.800000,18
1,2023-05-25,6573.710000,15103.930000,8530.220000,14
1,2023-05-26,5618.820000,12017.200000,6398.380000,14
1,2023-05-27,3143.480000,6615.150000,3471.670000,6
1,2023-05-29,5386.710000,9700.000000,4313.290000,5
1,2023-05-30,13104.640000,28489.130000,15384.490000,15
1,2023-05-31,4354.940000,10333.570000,5978.630000,10
1,2023-06-01,3696.130000,8262.620000,4566.490000,11
1,2023-06-02,2623.840000,6580.000000,3956.160000,10
1,2023-06-03,2073.150000,4650.000000,2576.850000,5
1,2023-06-05,3430.220000,8391.740000,4961.520000,8
1,2023-06-06,4258.020000,9767.140000,5509.120000,9
1,2023-06-07,12907.570000,24573.700000,11666.130000,14
1,2023-06-09,8515.550000,17606.500000,9090.950000,22
1,2023-06-12,4202.680000,8918.540000,4715.860000,9
1,2023-06-13,4149.440000,9386.500000,5237.060000,10
1,2023-06-14,4158.750000,9716.290000,5557.540000,13
1,2023-06-15,3793.540000,9837.160000,6043.620000,9
1,2023-06-16,12315.050000,24967.090000,12652.040000,17
1,2023-06-17,4614.910000,10298.180000,5683.270000,8
1,2023-06-19,785.630000,2509.000000,1723.370000,7
1,2023-06-20,6448.150000,14459.180000,8011.030000,14
1,2023-06-21,8555.370000,19464.630000,10909.260000,17
1,2023-06-22,7721.920000,16311.240000,8589.320000,14
1,2023-06-23,10785.150000,22264.560000,11479.410000,13
1,2023-06-24,4807.930000,10528.800000,5720.870000,7
1,2023-06-25,45.970000,80.000000,34.030000,1
1,2023-06-26,3911.560000,9971.690000,6060.130000,19
1,2023-06-27,11000.020000,23349.570000,12349.550000,19
1,2023-06-28,4955.890000,10980.700000,6024.810000,18
1,2023-06-29,6956.170000,14738.340000,7782.170000,13
1,2023-06-30,16915.030000,30106.390000,13191.360000,16
1,2023-07-01,1194.370000,2694.770000,1500.400000,3
1,2023-07-03,1920.180000,4242.830000,2322.650000,6
1,2023-07-04,5383.770000,12182.140000,6798.370000,11
1,2023-07-05,6189.150000,13658.390000,7469.240000,14
1,2023-07-06,4069.080000,9789.440000,5720.360000,8
1,2023-07-07,8546.490000,17246.240000,8699.750000,12
1,2023-07-08,1878.520000,4344.000000,2465.480000,6
1,2023-07-10,4671.470000,10081.110000,5409.640000,8
1,2023-07-11,4461.770000,10361.990000,5900.220000,12
1,2023-07-12,4529.010000,9305.600000,4776.590000,10
1,2023-07-13,3734.490000,8716.380000,4981.890000,13
1,2023-07-14,3345.000000,7163.780000,3818.780000,7
