branch_code,year,month,total_cost,total_amount,total_profit,count_sales
1,2012,10,3.010000,21048.170000,21045.160000,128
1,2012,11,2828.330000,42540.920000,39712.590000,200
1,2012,12,8379.090000,56748.270000,48369.180000,285
1,2013,1,11125.480000,52791.180000,41665.700000,296
1,2013,2,10225.470000,46256.680000,36031.210000,244
1,2013,3,17741.620000,48626.490000,30884.870000,268
1,2013,4,21936.810000,56132.670000,34195.860000,263
1,2013,5,29253.550000,60540.110000,31286.560000,282
1,2013,6,25577.920000,59735.460000,34157.540000,266
1,2013,7,27918.910000,66379.760000,38460.850000,303
1,2013,8,28833.160000,63269.990000,34436.830000,287
1,2013,9,26112.990000,59201.870000,33088.880000,283
1,2013,10,26953.320000,60530.300000,33576.980000,278
1,2013,11,25383.090000,57260.290000,31877.200000,281
1,2013,12,32956.730000,68963.640000,36006.910000,307
1,2014,1,35962.370000,72764.420000,36802.050000,278
1,2014,2,29269.460000,53635.150000,24365.690000,245
1,2014,3,24851.910000,59042.820000,34190.910000,269
1,2014,4,33097.650000,70031.250000,36933.600000,274
1,2014,5,29859.470000,65994.150000,36134.680000,261
1,2014,6,26386.160000,58387.450000,32001.290000,222
1,2014,7,36059.110000,76437.690000,40378.580000,258
1,2014,8,27274.860000,64349.480000,37074.620000,262
1,2014,9,30740.800000,71650.030000,40909.230000,265
1,2014,10,34332.030000,78089.030000,43757.000000,287
1,2014,11,25507.760000,59262.300000,33754.540000,251
1,2014,12,42321.870000,95590.070000,53268.200000,337
1,2015,1,31047.540000,71028.420000,39980.880000,241
1,2015,2,31447.180000,72550.720000,41103.540000,218
1,2015,3,33777.210000,79014.900000,45237.690000,273
1,2015,4,27330.470000,64479.770000,37149.300000,232
1,2015,5,27531.970000,66891.800000,39359.830000,252
1,2015,6,34933.990000,78593.310000,43659.320000,240
1,2015,7,28514.580000,69318.870000,40804.290000,257
1,2015,8,28378.790000,71007.730000,42628.940000,248
1,2015,9,29062.190000,69893.910000,40831.720000,227
1,2015,10,37497.750000,86678.660000,49180.910000,241
1,2015,11,29575.330000,68602.480000,39027.150000,247
1,2015,12,40398.200000,89887.810000,49489.610000,278
1,2016,1,36752.700000,77066.000000,40313.300000,217
1,2016,2,32163.360000,67569.320000,35405.960000,192
1,2016,3,30931.530000,70918.060000,39986.530000,224
1,2016,4,35442.960000,78967.390000,43524.430000,230
1,2016,5,28813.200000,69326.640000,40513.440000,224
1,2016,6,36676.270000,82795.880000,46119.610000,229
1,2016,7,34827.970000,81673.350000,46845.380000,248
1,2016,8,29942.840000,69526.740000,39583.900000,204
1,2016,9,38450.800000,82448.360000,43997.560000,201
1,2016,10,32060.800000,73630.120000,41569.320000,223
1,2016,11,34099.840000,80307.790000,46207.950000,234
1,2016,12,47358.930000,100004.320000,52645.390000,255
1,2017,1,39220.300000,84554.340000,45334.040000,233
1,2017,2,29800.250000,60408.100000,30607.850000,180
1,2017,3,38745.630000,85835.960000,47090.330000,253
1,2017,4,35875.540000,78558.480000,42682.940000,232
1,2017,5,37750.360000,88214.920000,50464.560000,234
1,2017,6,36934.420000,81059.300000,44124.880000,259
1,2017,7,49670.860000,104589.670000,54918.810000,243
1,2017,8,43163.000000,90187.060000,47024.060000,226
1,2017,9,39501.560000,93378.180000,53876.620000,260
1,2017,10,41165.040000,91788.590000,50623.550000,269
1,2017,11,54105.210000,120418.130000,66312.920000,250
1,2017,12,51492.270000,112737.800000,61245.530000,298
1,2018,1,51990.420000,115208.900000,63218.480000,312
1,2018,2,37124.650000,83836.220000,46711.570000,225
1,2018,3,55118.680000,122270.760000,67152.080000,290
1,2018,4,45898.270000,107453.840000,61555.570000,286
1,2018,5,48274.620000,106439.500000,58164.880000,235
1,2018,6,50683.460000,115413.330000,64729.870000,285
1,2018,7,49235.960000,104685.070000,55449.110000,258
1,2018,8,56666.390000,123657.820000,66991.430000,291
1,2018,9,39455.510000,87239.900000,47784.390000,254
1,2018,10,61183.100000,127167.710000,65984.610000,282
1,2018,11,60934.370000,130544.350000,69609.980000,302
1,2018,12,61511.750000,135341.370000,73829.620000,315
1,2019,1,65882.950000,143210.310000,77327.360000,312
1,2019,2,59210.070000,123441.130000,64231.060000,250
1,2019,3,75902.730000,150080.030000,74177.300000,281
1,2019,4,63153.700000,132238.800000,69085.100000,272
1,2019,5,61051.980000,134821.840000,73769.860000,301
1,2019,6,53550.450000,115086.550000,61536.100000,282
1,2019,7,78558.520000,164941.660000,86383.140000,327
1,2019,8,80068.730000,158701.080000,78632.350000,331
1,2019,9,61946.240000,131812.450000,69866.210000,294
1,2019,10,74311.370000,152862.530000,78551.160000,267
1,2019,11,69647.770000,146863.600000,77215.830000,306
1,2019,12,86300.870000,181795.260000,95494.390000,356
1,2020,1,77721.530000,167513.220000,89791.690000,294
1,2020,2,70654.540000,157112.680000,86458.140000,283
1,2020,3,77700.610000,173986.060000,96285.450000,256
1,2020,4,84050.380000,185078.100000,101027.720000,247
1,2020,5,82671.390000,191877.290000,109205.900000,280
1,2020,6,82430.830000,185318.400000,102887.570000,249
1,2020,7,64520.620000,146787.440000,82266.820000,243
1,2020,8,101216.060000,220222.870000,119006.810000,283
1,2020,9,68566.600000,150979.890000,82413.290000,282
1,2020,10,87747.190000,195700.900000,107953.710000,304
1,2020,11,85551.590000,190423.030000,104871.440000,307
1,2020,12,84378.450000,196049.800000,111671.350000,341
1,2021,1,87806.520000,195264.420000,107457.900000,304
1,2021,2,86106.460000,186470.270000,100363.810000,273
1,2021,3,74000.730000,167809.020000,93808.290000,266
1,2021,4,83639.380000,178357.080000,94717.700000,297
1,2021,5,88794.940000,201125.190000,112330.250000,302
1,2021,6,86038.270000,191655.260000,105616.990000,271
1,2021,7,86802.780000,190760.180000,103957.400000,302
1,2021,8,88692.710000,190035.370000,101342.660000,284
1,2021,9,84704.550000,192786.280000,108081.730000,263
