branch_code,year,total_cost,total_amount,total_profit,count_sales
1,2012,11210.430000,120337.360000,109126.930000,613
1,2013,284019.050000,699688.440000,415669.390000,3358
1,2014,375663.450000,825233.840000,449570.390000,3209
1,2015,379495.200000,887948.380000,508453.180000,2954
1,2016,417521.200000,934233.970000,516712.770000,2681
1,2017,497424.440000,1091730.530000,594306.090000,2937
1,2018,618077.180000,1359258.770000,741181.590000,3335
1,2019,829585.380000,1735855.240000,906269.860000,3579
1,2020,967209.790000,2161049.680000,1193839.890000,3369
1,2021,1055701.250000,2321202.576000,1265501.326000,3401
1,2022,1442828.310000,3115055.270000,1672226.960000,3694
1,2023,1822182.220000,3957938.630000,2135756.410000,3916
1,2024,1922810.190000,4370907.560000,2448097.370000,4077
1,2025,1898383.780000,4342537.670000,2444153.890000,3820
1,2026,743569.190000,1796057.860000,1052488.670000,1485
