branch_code,account_code,chart_account_code,supplier_code,year,month,is_reconciled,total_amount
1,0,0,0,2013,4,1,0.000000
1,0,0,0,2013,5,1,0.000000
1,0,0,0,2013,6,1,0.000000
1,0,0,0,2013,8,1,0.000000
1,0,0,0,2014,1,1,0.000000
1,0,0,0,2015,7,1,0.000000
1,0,0,0,2019,10,1,0.000000
1,0,74,0,2015,6,1,0.000000
1,0,74,0,2015,7,1,0.000000
1,0,74,0,2016,9,1,0.000000
1,0,74,0,2017,7,1,2993.000000
1,0,75,0,2015,6,1,0.000000
1,0,75,0,2015,7,1,0.000000
1,0,75,0,2016,9,1,0.000000
1,0,75,0,2017,7,1,-2993.000000
1,1,0,0,2012,11,1,15.000000
1,1,0,0,2013,12,1,-4.000000
1,1,0,0,2015,2,1,50.000000
1,1,0,0,2015,7,1,-2.000000
1,1,0,0,2015,9,1,150.000000
1,1,0,0,2015,10,1,40.000000
1,1,0,0,2016,1,1,-0.500000
1,1,0,0,2016,6,1,95.920000
1,1,0,0,2018,12,1,539.920000
1,1,0,0,2019,1,1,23.000000
1,1,1,0,2012,10,1,6149.000000
1,1,1,0,2012,11,1,28992.320000
1,1,1,0,2012,12,1,38863.670000
1,1,1,0,2013,1,1,45609.140000
1,1,1,0,2013,2,1,37212.910000
1,1,1,0,2013,3,1,31173.940000
1,1,1,0,2013,4,1,49791.080000
1,1,1,0,2013,5,1,38189.440000
1,1,1,0,2013,6,1,41474.410000
1,1,1,0,2013,7,1,38316.430000
1,1,1,0,2013,8,1,57267.360000
1,1,1,0,2013,9,1,37623.130000
1,1,1,0,2013,10,1,47160.160000
1,1,1,0,2013,11,1,36851.060000
1,1,1,0,2013,12,1,47764.660000
1,1,1,0,2014,1,1,48572.480000
1,1,1,0,2014,2,1,43354.710000
1,1,1,0,2014,3,1,36927.080000
1,1,1,0,2014,4,1,41153.450000
1,1,1,0,2014,5,1,44157.300000
1,1,1,0,2014,6,1,36490.170000
1,1,1,0,2014,7,1,42009.900000
1,1,1,0,2014,8,1,41249.910000
1,1,1,0,2014,9,1,49313.770000
1,1,1,0,2014,10,1,44905.420000
