code,branch_code,receivable_code,customer_code,sale_code,chart_account_code,payment_method_code,issue_date,due_date,settlement_date,original_amount,paid_amount,discount_amount,interest_amount,remaining_amount,status
1,1,6,1,7,1,1,2023-08-22,2022-10-26,2023-08-19,890.000000,890.000000,0,0,0.000000,paid
2,1,7,1,8,1,1,2023-08-22,2022-11-29,2023-08-19,425.000000,425.000000,0,0,0.000000,paid
3,1,8,1,9,1,1,2023-08-22,2022-12-14,2023-08-19,185.000000,185.000000,0,0,0.000000,paid
4,1,39,10,40,1,1,2023-08-23,2023-08-21,2023-09-06,650.000000,650.000000,0,0,0.000000,paid
5,1,40,10,41,1,1,2023-08-23,2023-08-25,2023-09-06,639.000000,639.000000,0,0,0.000000,paid
6,1,77,28,79,1,1,2023-08-24,2023-08-30,2023-09-11,280.000000,280.000000,0,0,0.000000,paid
7,1,30,7,31,1,1,2023-08-23,2023-07-22,2023-09-14,2126.000000,2126.000000,0,0,0.000000,paid
8,1,25,7,26,1,1,2023-08-22,2023-09-01,2023-09-14,60.000000,60.000000,0,0,0.000000,paid
9,1,17,7,18,1,1,2023-08-22,2023-09-11,2023-09-14,985.000000,985.000000,0,0,0.000000,paid
10,1,16,7,17,1,1,2023-08-22,2023-09-14,2023-09-14,200.000000,200.000000,0,0,0.000000,paid
11,1,107,7,109,1,1,2023-08-24,2023-09-15,2023-09-14,3328.980000,3328.980000,0,0,0.000000,paid
12,1,108,7,110,1,1,2023-08-24,2023-09-15,2023-09-14,4199.230000,4199.230000,0,0,0.000000,paid
13,1,23,7,24,1,1,2023-08-22,2023-09-16,2023-09-14,390.000000,390.000000,0,0,0.000000,paid
14,1,24,7,25,1,1,2023-08-22,2023-09-16,2023-09-14,70.000000,70.000000,0,0,0.000000,paid
15,1,21,7,22,1,1,2023-08-22,2023-09-18,2023-09-14,1220.000000,1220.000000,0,0,0.000000,paid
16,1,26,7,27,1,1,2023-08-22,2023-09-18,2023-09-14,145.000000,145.000000,0,0,0.000000,paid
17,1,27,7,28,1,1,2023-08-22,2023-09-18,2023-09-14,889.600000,889.600000,0,0,0.000000,paid
18,1,110,7,112,1,1,2023-08-24,2023-09-19,2023-09-14,2320.000000,2320.000000,0,0,0.000000,paid
19,1,111,7,113,1,1,2023-08-24,2023-09-19,2023-09-14,2500.000000,2500.000000,0,0,0.000000,paid
20,1,20,7,21,1,1,2023-08-22,2023-09-21,2023-09-14,640.000000,491.360000,0,0,148.640000,paid
21,1,22,7,23,1,1,2023-08-22,2023-09-21,2023-09-14,704.600000,704.600000,0,0,0.000000,paid
22,1,73,24,75,1,1,2023-08-24,2023-08-07,2023-09-21,1488.000000,1488.000000,0,0,0.000000,paid
23,1,158,46,160,1,4,2023-09-21,2023-10-21,2023-09-21,310.000000,310.000000,0,0,0.000000,paid
24,1,64,20,65,1,1,2023-08-23,2023-08-27,2023-09-21,950.000000,950.000000,0,0,0.000000,paid
25,1,66,20,67,1,1,2023-08-23,2023-09-04,2023-09-21,25.000000,25.000000,0,0,0.000000,paid
26,1,65,20,66,1,1,2023-08-23,2023-09-05,2023-09-21,3252.000000,3252.000000,0,0,0.000000,paid
27,1,67,20,68,1,1,2023-08-23,2023-09-16,2023-09-21,225.000000,225.000000,0,0,0.000000,paid
28,1,129,20,131,1,1,2023-09-13,2023-10-13,2023-09-21,120.000000,120.000000,0,0,0.000000,paid
29,1,131,20,133,1,1,2023-09-13,2023-10-13,2023-09-21,150.000000,150.000000,0,0,0.000000,paid
30,1,136,20,138,1,1,2023-09-14,2023-10-14,2023-09-21,150.000000,150.000000,0,0,0.000000,paid
31,1,153,20,155,1,1,2023-09-21,2023-10-14,2023-09-21,2992.940000,2992.940000,0,0,0.000000,paid
32,1,154,20,156,1,1,2023-09-21,2023-10-21,2023-09-21,569.000000,569.000000,0,0,0.000000,paid
33,1,155,20,157,1,1,2023-09-21,2023-10-21,2023-09-21,1450.000000,1450.000000,0,0,0.000000,paid
34,1,160,20,162,1,1,2023-09-21,2023-10-21,2023-09-21,11618.060000,11618.060000,0,0,0.000000,paid
35,1,4,3,5,1,1,2023-08-22,2023-09-17,2023-09-21,150.000000,150.000000,0,0,0.000000,paid
36,1,1,3,2,1,1,2023-08-22,2023-09-19,2023-09-21,2039.000000,2039.000000,0,0,0.000000,paid
37,1,2,3,3,1,1,2023-08-22,2023-09-21,2023-09-21,240.000000,240.000000,0,0,0.000000,paid
38,1,3,3,4,1,1,2023-08-22,2023-09-21,2023-09-21,145.000000,145.000000,0,0,0.000000,paid
39,1,113,3,115,1,1,2023-08-24,2023-09-22,2023-09-21,150.000000,150.000000,0,0,0.000000,paid
40,1,114,3,116,1,1,2023-08-24,2023-09-22,2023-09-21,236.400000,236.400000,0,0,0.000000,paid
41,1,115,3,117,1,1,2023-08-24,2023-09-23,2023-09-21,110.000000,110.000000,0,0,0.000000,paid
42,1,116,3,118,1,1,2023-08-24,2023-09-23,2023-09-21,714.700000,714.700000,0,0,0.000000,paid
43,1,57,16,58,1,1,2023-08-23,2023-09-22,2023-09-04,1173.000000,1173.000000,0,0,0.000000,paid
44,1,172,3,174,1,1,2023-09-22,2023-10-18,2023-09-22,3924.400000,3924.400000,0,0,0.000000,paid
45,1,182,22,184,1,1,2023-09-25,2023-09-05,2023-09-05,2119.130000,2119.130000,0,0,0.000000,paid
46,1,183,22,185,1,1,2023-09-25,2023-09-14,2023-09-14,460.000000,460.000000,0,0,0.000000,paid
47,1,184,22,186,1,1,2023-09-25,2023-09-19,2023-09-19,1250.000000,1250.000000,0,0,0.000000,paid
48,1,18,7,19,1,1,2023-08-22,2023-09-21,2023-09-20,620.000000,620.000000,0,0,0.000000,paid
49,1,19,7,20,1,1,2023-08-22,2023-09-21,2023-09-20,509.600000,509.600000,0,0,0.000000,paid
50,1,20,7,21,1,1,2023-08-22,2023-09-21,2023-09-20,640.000000,148.640000,0,0,0.000000,paid
51,1,109,7,111,1,1,2023-08-24,2023-09-22,2023-09-20,3188.000000,3188.000000,0,0,0.000000,paid
52,1,122,7,124,1,1,2023-09-11,2023-10-11,2023-09-20,910.000000,910.000000,0,0,0.000000,paid
53,1,124,7,126,1,1,2023-09-13,2023-10-13,2023-09-20,361.000000,361.000000,0,0,0.000000,paid
54,1,128,7,130,1,1,2023-09-13,2023-10-13,2023-09-20,184.400000,184.400000,0,0,0.000000,paid
55,1,133,7,135,1,1,2023-09-13,2023-10-13,2023-09-20,1074.000000,1074.000000,0,0,0.000000,paid
56,1,137,7,139,1,1,2023-09-14,2023-10-14,2023-09-20,198.000000,198.000000,0,0,0.000000,paid
57,1,90,37,92,1,1,2023-08-24,2023-07-14,2023-09-25,500.000000,500.000000,0,0,0.000000,paid
58,1,92,37,94,1,1,2023-08-24,2023-07-19,2023-09-25,980.000000,980.000000,0,0,0.000000,paid
59,1,89,37,91,1,1,2023-08-24,2023-08-24,2023-09-25,610.000000,610.000000,0,0,0.000000,paid
60,1,93,37,95,1,1,2023-08-24,2023-08-26,2023-09-25,945.000000,945.000000,0,0,0.000000,paid
61,1,91,37,93,1,1,2023-08-24,2023-09-07,2023-09-25,140.000000,140.000000,0,0,0.000000,paid
62,1,204,54,207,1,1,2023-09-25,2023-10-25,2023-09-25,1400.000000,1400.000000,0,0,0.000000,paid
63,1,203,52,206,1,1,2023-09-25,2023-10-25,2023-09-25,1648.200000,1648.200000,0,0,0.000000,paid
64,1,164,22,166,1,1,2023-09-21,2023-10-21,2023-09-25,540.000000,540.000000,0,0,0.000000,paid
65,1,76,27,78,1,1,2023-08-24,2023-09-08,2023-09-26,1000.000000,1000.000000,0,0,0.000000,paid
66,1,106,42,108,1,1,2023-08-24,2023-09-22,2023-09-14,500.000000,500.000000,0,0,0.000000,paid
67,1,221,56,224,1,1,2023-09-27,2023-10-27,2023-09-27,968.450000,968.450000,0,0,0.000000,paid
68,1,105,41,107,1,1,2023-08-24,2023-09-22,2023-09-27,255.000000,255.000000,0,0,0.000000,paid
69,1,139,41,141,1,1,2023-09-19,2023-10-19,2023-09-27,1279.000000,1279.000000,0,0,0.000000,paid
70,1,140,41,142,1,1,2023-09-19,2023-10-19,2023-09-27,378.000000,378.000000,0,0,0.000000,paid
71,1,141,41,143,1,1,2023-09-19,2023-10-19,2023-09-27,1455.000000,1455.000000,0,0,0.000000,paid
72,1,143,41,145,1,1,2023-09-19,2023-10-19,2023-09-27,938.000000,938.000000,0,0,0.000000,paid
73,1,145,41,147,1,1,2023-09-19,2023-10-19,2023-09-27,1523.000000,1523.000000,0,0,0.000000,paid
74,1,148,41,150,1,1,2023-09-19,2023-10-19,2023-09-27,457.500000,457.500000,0,0,0.000000,paid
75,1,149,41,151,1,1,2023-09-20,2023-10-20,2023-09-27,765.600000,765.600000,0,0,0.000000,paid
76,1,223,41,226,1,1,2023-09-27,2023-10-13,2023-09-27,160.100000,160.100000,0,0,0.000000,paid
77,1,233,58,236,1,1,2023-09-27,2023-09-27,2023-09-27,365.000000,365.000000,0,0,0.000000,paid
78,1,237,59,240,1,1,2023-09-27,2023-10-27,2023-09-27,50.000000,50.000000,0,0,0.000000,paid
79,1,47,13,48,1,1,2023-08-23,2023-07-03,2023-09-27,320.000000,320.000000,0,0,0.000000,paid
80,1,52,13,53,1,1,2023-08-23,2023-08-26,2023-09-27,140.000000,140.000000,0,0,0.000000,paid
81,1,48,13,49,1,1,2023-08-23,2023-09-03,2023-09-27,200.000000,200.000000,0,0,0.000000,paid
82,1,50,13,51,1,1,2023-08-23,2023-09-14,2023-09-27,560.000000,560.000000,0,0,0.000000,paid
83,1,51,13,52,1,1,2023-08-23,2023-09-14,2023-09-27,360.000000,360.000000,0,0,0.000000,paid
84,1,49,13,50,1,1,2023-08-23,2023-09-19,2023-09-27,320.000000,320.000000,0,0,0.000000,paid
85,1,206,13,209,1,1,2023-09-26,2023-10-21,2023-09-27,70.000000,70.000000,0,0,0.000000,paid
86,1,243,63,248,1,1,2023-09-29,2023-09-29,2023-09-29,111.200000,111.200000,0,0,0.000000,paid
87,1,244,62,249,1,1,2023-09-29,2023-09-29,2023-09-29,241.680000,241.680000,0,0,0.000000,paid
88,1,245,7,250,1,1,2023-09-29,2023-09-27,2023-09-27,11612.300000,11612.300000,0,0,0.000000,paid
89,1,248,60,253,0,1,2023-09-29,2023-09-29,2023-09-29,1.000000,1.000000,0,0,0.000000,paid
90,1,166,47,168,1,1,2023-09-21,2023-10-08,2023-09-28,550.000000,550.000000,0,0,0.000000,paid
