code,branch_code,supplier_code,purchase_code,chart_account_code,payment_method_code,issue_date,due_date,settlement_date,original_amount,paid_amount,discount_amount,interest_amount,remaining_amount,status
1,1,21,0,88,,2023-09-13,2023-09-15,,727.000000,727.000000,0,0,0.000000,paid
2,1,12,0,88,,2023-09-13,2023-09-15,,626.220000,626.220000,0,0,0.000000,paid
3,1,11,0,88,,2023-09-13,2023-09-15,,836.370000,836.370000,0,0,0.000000,paid
4,1,21,0,88,,2023-09-13,2023-09-15,,930.800000,930.800000,0,0,0.000000,paid
5,1,11,0,88,,2023-09-13,2023-09-15,,964.920000,964.920000,0,0,0.000000,paid
6,1,19,0,88,,2023-09-13,2023-09-16,,561.800000,561.800000,0,0,0.000000,paid
7,1,11,0,88,,2023-09-13,2023-09-17,,1327.770000,1327.770000,0,0,0.000000,paid
8,1,112,0,88,,2023-09-13,2023-09-18,,229.600000,229.600000,0,0,0.000000,paid
9,1,112,0,88,,2023-09-13,2023-09-20,,338.630000,338.630000,0,0,0.000000,paid
10,1,112,0,88,,2023-09-13,2023-09-20,,627.870000,627.870000,0,0,0.000000,paid
11,1,112,0,88,,2023-09-13,2023-09-14,,919.780000,919.780000,0,0,0.000000,paid
12,1,112,0,88,,2023-09-13,2023-09-25,,464.400000,464.400000,0,0,0.000000,paid
13,1,112,0,88,,2023-09-13,2023-09-25,,539.950000,539.950000,0,0,0.000000,paid
14,1,112,0,88,,2023-09-13,2023-09-25,,390.000000,390.000000,0,0,0.000000,paid
15,1,112,0,88,,2023-09-13,2023-09-27,,1071.550000,1071.550000,0,0,0.000000,paid
16,1,12,0,88,,2023-09-13,2023-09-27,,1252.650000,1252.650000,0,0,0.000000,paid
17,1,112,0,88,,2023-09-13,2023-09-29,,1318.660000,1318.660000,0,0,0.000000,paid
18,1,21,0,88,,2023-09-13,2023-09-30,,930.000000,930.000000,0,0,0.000000,paid
19,1,117,0,89,,2023-09-13,2023-09-20,,106.810000,106.810000,0,0,0.000000,paid
20,1,118,0,5,,2023-09-13,2023-09-20,,822.800000,822.800000,0,0,0.000000,paid
21,1,112,0,88,,2023-09-13,2023-10-03,,702.950000,702.950000,0,0,0.000000,paid
22,1,112,0,88,,2023-09-13,2023-10-06,,663.890000,663.890000,0,0,0.000000,paid
23,1,112,0,88,,2023-09-13,2023-10-11,,522.450000,522.450000,0,0,0.000000,paid
24,1,112,0,88,,2023-09-13,2023-10-12,,919.510000,919.510000,0,0,0.000000,paid
25,1,21,0,88,,2023-09-13,2023-10-15,,929.000000,929.000000,0,0,0.000000,paid
28,1,112,0,88,,2023-09-13,2023-10-18,,627.870000,627.870000,0,0,0.000000,paid
29,1,112,0,88,,2023-09-13,2023-10-18,,338.620000,338.620000,0,0,0.000000,paid
30,1,112,0,88,,2023-09-13,2023-10-23,,464.400000,464.400000,0,0,0.000000,paid
31,1,112,0,88,,2023-09-13,2023-10-25,,1071.230000,1071.230000,0,0,0.000000,paid
32,1,112,0,88,,2023-09-13,2023-10-27,,1318.260000,1318.260000,0,0,0.000000,paid
33,1,112,0,88,,2023-09-13,2023-10-31,,702.950000,702.950000,0,0,0.000000,paid
