code,section_code,group_code,subgroup_code,brand_code,name,unit,cost_price,sale_price,is_active
1,2,,0,0,MAO DE OBRA,UN,0.000000,1.000000,1
2,0,0,0,0,NOTA,UN,0.000000,1.000000,1
5,1,7,0,0,BUCHA DIANTEIRA MERCEDES,UN,17.100000,35.000000,1
8,1,3,0,0,BUCHA TIRANTE CARRETA RANDOM 2000 DELAROSA,UN,22.000000,47.400000,1
11,1,7,0,0,BUCHA TRASEIRA MERCEDES,UN,21.300000,45.000000,1
12,1,7,0,0,"BUCHA AXOR DIANTEIRA MERCEDES (f-24,2M)",UN,70.150000,145.000000,1
13,1,7,0,0,BUCHA DIANTEIRA FORD/VW,UN,35.760000,62.000000,1
14,1,7,0,0,BUCHA ROSQUEADA DIANTEIRA VOLVO FH (105MM),UN,52.950000,95.000000,1
15,1,8,0,0,BUCHA BALANÇA SILENCIOSA RANDOM (MODERNA) ,UN,70.000000,225.000000,1
16,1,3,0,0,BUCHA TIRANTE (TENSOR) RANDOM (MODERNA),UN,66.000000,120.000000,1
17,1,3,0,0,BUCHA TIRANTE (A. GUERRA) COM PINO,UN,56.760000,160.000000,1
18,1,3,0,0,BUCHA TIRANTE SUSPENSY (RANDOM MODERNA) COM PINO,UN,89.000000,136.000000,1
19,1,3,0,0,BUCHA CONICA GALEGO RODOVIARIA (CARRETA GUERRA),UN,10.220000,20.000000,1
20,1,3,0,0,BUCHA TIRANTE RANDOM ANTIGA (BORRACHA) 71Fx35INTx48ALT,UN,17.800000,30.000000,1
21,4,9,0,0,GRAMPO 7/8X92X480 ,UN,59.310000,147.000000,1
22,4,9,0,0,GRAMPO 7/8X92X460,UN,56.000000,142.200000,1
23,4,9,0,0,GRAMPO 7/8X92X440,UN,52.000000,126.400000,1
24,4,9,0,0,GRAMPO 7/8X92X420,UN,49.000000,132.000000,1
25,4,9,0,0,GRAMPO 7/8X92X400,UN,48.000000,120.000000,1
26,4,9,0,0,GRAMPO 7/8X92X380D,UN,43.170000,115.000000,1
27,4,9,0,0,GRAMPO 7/8X92X360D,UN,42.660000,110.000000,1
28,4,9,0,0,GRAMPO 7/8X92X340,UN,42.000000,110.000000,1
29,4,9,0,0,GRAMPO 7/8X92X320,UN,40.500000,110.000000,1
30,4,9,0,0,GRAMPO 7/8X92X300,UN,37.900000,95.260000,1
31,4,9,0,0,GRAMPO 7/8X92X280,UN,36.000000,87.000000,1
32,4,9,0,0,GRAMPO 7/8X92X260,UN,34.000000,87.000000,1
33,4,9,0,0,GRAMPO 7/8X92X240 ,UN,32.000000,85.000000,1
34,4,10,0,0,GRAMPO 18X72X320,UN,29.350000,60.700000,1
35,4,10,0,0,GRAMPO 18X72X300,UN,27.620000,65.000000,1
36,4,10,0,0,GRAMPO 18X72X280,UN,25.500000,61.000000,1
37,4,10,0,0,GRAMPO 18X72X260,UN,22.000000,58.300000,1
38,4,10,0,0,GRAMPO 18X72X240,UN,21.000000,56.000000,1
39,4,10,0,0,GRAMPO 18X72X220,UN,22.930000,56.200000,1
40,4,10,0,0,GRAMPO 18X72X200,UN,21.850000,50.000000,1
41,4,10,0,0,GRAMPO 18X72X180,UN,23.100000,48.300000,1
42,4,9,0,0,GRAMPO 7/8X92X580,UN,78.770000,157.000000,1
43,4,9,0,0,GRAMPO 7/8X92X560,UN,67.820000,155.800000,1
44,4,9,0,0,GRAMPO 7/8X92X540,UN,68.000000,155.000000,1
45,4,9,0,0,GRAMPO 7/8x92x520,UN,54.850000,145.000000,1
46,4,9,0,0,GRAMPO 7/8X92X500,UN,57.690000,150.000000,1
47,4,10,0,0,GRAMPO 18X82X380,UN,31.960000,76.400000,1
48,4,10,0,0,GRAMPO 18X82X400,UN,33.410000,80.000000,1
49,4,10,0,0,GRAMPO 18X82X440,UN,35.400000,60.000000,1
50,4,10,0,0,GRAMPO 18X82X460,UN,38.100000,95.700000,1
51,4,10,0,0,GRAMPO 18X82X500,UN,39.390000,100.000000,1
52,4,10,0,0,GRAMPO 18X82X200,UN,19.510000,52.200000,1
