code,branch_code,purchase_code,product_code,issue_date,quantity,unit_price,discount,fees,total_amount
618,1,12,229,2023-09-21,20.000000,2.150000,0,0,43.000000
619,1,12,169,2023-09-21,20.000000,1.400000,0,0,28.000000
620,1,12,236,2023-09-21,40.000000,0.600000,0,0,24.000000
723,1,13,188,2023-09-22,40.000000,0.500000,0,0,20.000000
797,1,14,356,2023-09-25,2.000000,176.430000,0,0,352.860000
856,1,15,65,2023-09-26,1.000000,115.900000,0,0,115.900000
1008,1,17,395,2023-09-28,4.000000,80.000000,0,0,320.000000
1012,1,17,396,2023-09-28,4.000000,219.630000,0,0,878.520000
1013,1,17,397,2023-09-28,2.000000,75.000000,0,0,150.000000
1031,1,18,403,2023-09-28,10.000000,17.360000,0,0,173.600000
1032,1,18,251,2023-09-28,10.000000,2.430000,0,0,24.300000
1033,1,19,404,2023-09-28,15.000000,0.800000,0,0,12.000000
1034,1,19,248,2023-09-28,15.000000,0.270000,0,0,4.050000
1058,1,20,412,2023-09-28,10.000000,1.980000,0,0,19.750000
1059,1,21,413,2023-09-28,1.000000,190.000000,0,0,190.000000
1061,1,22,414,2023-09-29,1.000000,70.520000,0,0,70.520000
1085,1,24,429,2023-09-29,8.000000,14.850000,0,0,118.770000
1086,1,24,428,2023-09-29,10.000000,12.960000,0,0,129.590000
1092,1,25,430,2023-09-29,1.000000,190.000000,0,0,190.000000
1093,1,26,330,2023-09-29,10.000000,116.000000,0,0,1160.000000
1094,1,26,315,2023-09-29,10.000000,126.000000,0,0,1260.000000
1098,1,27,230,2023-09-29,20.000000,2.500000,0,0,50.000000
1304,1,28,68,2023-10-03,20.000000,10.450000,0,0,209.000000
1305,1,28,70,2023-10-03,3.000000,68.270000,0,0,204.810000
1306,1,28,437,2023-10-03,1.000000,1243.130000,0,0,1243.130000
1308,1,28,438,2023-10-03,2.000000,135.000000,0,0,270.000000
1309,1,29,412,2023-10-03,20.000000,1.850000,0,0,37.000000
1310,1,29,170,2023-10-03,100.000000,2.950000,0,0,295.000000
1343,1,30,442,2023-10-05,6.000000,133.000000,0,0,798.000000
1384,1,33,446,2023-10-05,4.000000,51.200000,0,0,204.800000
1385,1,33,445,2023-10-05,4.000000,65.300000,0,0,261.200000
1386,1,33,447,2023-10-05,4.000000,56.300000,0,0,225.200000
1400,1,34,453,2023-10-05,2.000000,23.500000,0,0,47.000000
1412,1,35,455,2023-10-05,2.000000,17.830000,0,0,35.660000
1413,1,35,253,2023-10-05,2.000000,2.990000,0,0,5.980000
1414,1,35,456,2023-10-05,2.000000,0.780000,0,0,1.560000
1426,1,36,457,2023-10-05,11.000000,4.300000,0,0,47.300000
1451,1,37,460,2023-10-06,20.000000,4.740000,0,0,94.800000
1452,1,37,461,2023-10-06,20.000000,2.380000,0,0,47.600000
1453,1,37,462,2023-10-06,20.000000,2.380000,0,0,47.600000
1454,1,37,463,2023-10-06,20.000000,2.380000,0,0,47.600000
1455,1,37,464,2023-10-06,12.000000,8.010000,0,0,96.120000
1537,1,38,181,2023-10-07,20.000000,12.980000,0,0,259.690000
1538,1,39,237,2023-10-07,50.000000,2.950000,0,0,147.500000
1539,1,39,238,2023-10-07,50.000000,1.610000,0,0,80.480000
1542,1,40,17,2023-10-07,20.000000,52.710000,0,0,1054.200000
1607,1,41,466,2023-10-10,1.000000,156.100000,0,0,156.100000
1622,1,42,435,2023-10-10,10.000000,122.410000,0,0,1224.100000
1623,1,42,467,2023-10-10,1.000000,26.900000,0,0,26.900000
