code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
8,1,18,2023-09-14,0,0,0,0.000000
12,1,21,2023-09-21,0,0,0,95.000000
13,1,21,2023-09-22,0,0,0,20.000000
14,1,18,2023-09-25,0,0,0,352.860000
15,1,112,2023-09-26,0,0,0,115.900000
17,1,112,2023-09-28,0,0,0,1348.520000
18,1,21,2023-09-28,0,0,0,197.900000
19,1,21,2023-09-28,0,0,0,16.050000
20,1,21,2023-09-28,0,0,0,19.750000
21,1,112,2023-09-28,0,0,0,190.000000
22,1,18,2023-09-29,0,0,0,70.520000
24,1,11,2023-09-29,0,0,0,248.360000
25,1,18,2023-09-29,0,0,0,190.000000
26,1,121,2023-09-29,0,0,0,2420.000000
27,1,21,2023-09-29,0,0,0,50.000000
28,1,112,2023-10-03,0,0,0,1926.940000
29,1,112,2023-10-03,0,0,0,332.000000
30,1,112,2023-10-05,0,0,0,798.000000
33,1,112,2023-10-05,0,0,0,691.200000
34,1,25,2023-10-05,0,0,0,47.000000
35,1,21,2023-10-05,0,0,0,43.200000
36,1,25,2023-10-05,0,0,0,47.300000
37,1,11,2023-10-06,0,0,0,333.720000
38,1,11,2023-10-07,0,0,0,259.690000
39,1,21,2023-10-07,0,0,0,227.980000
40,1,112,2023-10-07,0,0,0,1054.200000
41,1,112,2023-10-10,0,0,0,156.100000
42,1,18,2023-10-10,0,0,0,1251.000000
43,1,18,2023-10-10,0,0,0,48.640000
44,1,9,2023-10-10,0,0,0,114.950000
45,1,21,2023-10-10,0,0,0,25.000000
46,1,21,2023-10-10,0,0,0,49.000000
47,1,9,2023-10-11,0,0,0,239.900000
49,1,18,2023-10-11,0,0,0,224.910000
51,1,138,2023-10-13,0,0,0,1120.000000
52,1,18,2023-10-13,0,0,0,129.900000
53,1,112,2023-10-16,0,0,0,0.000000
54,1,112,2023-10-16,0,0,0,2819.660000
55,1,112,2023-10-16,0,0,0,1513.700000
56,1,11,2023-10-16,0,0,0,145.170000
57,1,18,2023-10-16,0,0,0,279.800000
58,1,18,2023-10-16,0,0,0,73.810000
59,1,21,2023-10-16,0,0,0,30.000000
60,1,66,2023-10-16,0,0,0,164.240000
61,1,43,2023-10-17,0,0,0,65.000000
62,1,21,2023-10-17,0,0,0,89.500000
63,1,11,2023-10-17,0,0,0,849.000000
64,1,18,2023-10-18,0,0,0,238.560000
65,1,21,2023-10-18,0,0,0,100.000000
66,1,11,2023-10-18,0,0,0,290.350000
67,1,21,2023-10-18,0,0,0,60.000000
68,1,11,2023-10-18,0,0,0,98.000000
69,1,11,2023-10-19,0,0,0,357.400000
70,1,112,2023-10-20,0,0,0,1480.000000
72,1,148,2023-10-20,0,0,0,1047.000000
73,1,11,2023-10-20,0,0,0,1039.540000
74,1,81,2023-10-20,0,0,0,28.820000
75,1,18,2023-10-21,0,0,0,39.060000
76,1,150,2023-10-21,0,0,0,600.000000
77,1,11,2023-10-21,0,0,0,118.800000
78,1,21,2023-10-21,0,0,0,14.600000
79,1,112,2023-10-21,0,0,0,372.120000
80,1,112,2023-10-21,0,0,0,4646.130000
81,1,21,2023-10-21,0,0,0,29.200000
82,1,21,2023-10-23,0,0,0,18.500000
83,1,21,2023-10-23,0,0,0,15.000000
84,1,12,2023-10-23,0,0,0,2088.800000
86,1,152,2023-10-24,0,0,0,65.000000
87,1,18,2023-10-24,0,0,0,345.370000
88,1,21,2023-10-24,0,0,0,5.100000
89,1,21,2023-10-24,0,0,0,14.000000
90,1,18,2023-10-24,0,0,0,117.180000
91,1,18,2023-10-24,0,0,0,315.790000
92,1,11,2023-10-24,0,0,0,335.470000
94,1,11,2023-10-24,0,0,0,239.650000
95,1,21,2023-10-25,0,0,0,25.000000
96,1,11,2023-10-26,0,0,0,649.210000
97,1,78,2023-10-26,0,0,0,49.950000
98,1,21,2023-10-26,0,0,0,24.280000
99,1,121,2023-10-26,0,0,0,3814.500000
101,1,18,2023-10-26,0,0,0,149.900000
103,1,21,2023-10-26,0,0,0,78.000000
104,1,18,2023-10-26,0,0,0,780.000000
105,1,112,2023-10-26,0,0,0,691.200000
106,1,121,2023-10-27,0,0,0,2736.000000
107,1,21,2023-10-30,0,0,0,126.700000
108,1,21,2023-10-30,0,0,0,34.500000
109,1,18,2023-10-30,0,0,0,90.970000
110,1,148,2023-10-30,0,0,0,808.000000
111,1,11,2023-10-30,0,0,0,319.840000
112,1,112,2023-10-30,0,0,0,2168.350000
113,1,86,2023-10-31,0,0,0,130.000000
114,1,148,2023-10-31,0,0,0,269.420000
115,1,21,2023-10-31,0,0,0,37.000000
116,1,21,2023-10-31,0,0,0,34.300000
117,1,73,2023-11-01,0,0,0,1323.000000
118,1,18,2023-11-01,0,0,0,46.000000
119,1,18,2023-11-03,0,0,0,126.900000
120,1,144,2023-11-03,0,0,0,80.000000
121,1,12,2023-11-03,0,0,0,3750.250000
122,1,25,2023-11-03,0,0,0,26.010000
123,1,21,2023-11-03,0,0,0,14.700000
125,1,159,2023-11-03,0,0,0,520.000000
126,1,112,2023-11-04,0,0,0,456.400000
127,1,18,2023-11-06,0,0,0,98.680000
128,1,18,2023-11-06,0,0,0,0.000000
129,1,18,2023-11-06,0,0,0,181.900000
130,1,11,2023-11-07,0,0,0,416.620000
131,1,21,2023-11-07,0,0,0,3805.000000
132,1,11,2023-11-08,0,0,0,154.480000
133,1,18,2023-11-08,0,0,0,50.700000
134,1,160,2023-11-08,0,0,0,200.000000
135,1,112,2023-11-08,0,0,0,135.000000
136,1,121,2023-11-09,0,0,0,1155.000000
137,1,12,2023-11-09,0,0,0,1629.000000
138,1,18,2023-11-09,0,0,0,296.910000
140,1,112,2023-11-10,0,0,0,1109.400000
141,1,112,2023-11-10,0,0,0,1109.400000
142,1,112,2023-11-10,0,0,0,1064.480000
143,1,104,2023-11-10,0,0,0,662.850000
144,1,74,2023-11-10,0,0,0,100.000000
145,1,144,2023-11-10,0,0,0,155.000000
146,1,18,2023-11-10,0,0,0,91.940000
147,1,21,2023-11-11,0,0,0,21.860000
148,1,18,2023-11-13,0,0,0,695.900000
149,1,112,2023-11-13,0,0,0,872.740000
150,1,119,2023-11-13,0,0,0,235.000000
151,1,25,2023-11-13,0,0,0,90.340000
152,1,18,2023-11-14,0,0,0,351.000000
153,1,21,2023-11-14,0,0,0,34.000000
154,1,112,2023-11-16,0,0,0,0.000000
155,1,11,2023-11-17,0,0,0,239.650000
156,1,11,2023-11-17,0,0,0,298.100000
157,1,11,2023-11-17,0,0,0,523.980000
158,1,21,2023-11-17,0,0,0,28.570000
159,1,18,2023-11-17,0,0,0,65.480000
160,1,11,2023-11-17,0,0,0,477.350000
161,1,12,2023-11-17,0,0,0,355.750000
162,1,112,2023-11-18,0,0,0,4920.800000
164,1,163,2023-11-18,0,0,0,1337.660000
165,1,112,2023-11-18,0,0,0,345.860000
166,1,112,2023-11-18,0,0,0,246.680000
167,1,21,2023-11-18,0,0,0,41.000000
168,1,18,2023-11-21,0,0,0,311.290000
169,1,9,2023-11-22,0,0,0,102.500000
170,1,112,2023-11-22,0,0,0,968.400000
171,1,18,2023-11-22,0,0,0,324.750000
172,1,21,2023-11-23,0,0,0,5450.750000
173,1,18,2023-11-23,0,0,0,235.130000
174,1,18,2023-11-23,0,0,0,119.950000
175,1,112,2023-11-23,0,0,0,144.500000
176,1,112,2023-11-23,0,0,0,495.200000
177,1,21,2023-11-24,0,0,0,32.300000
178,1,112,2023-11-24,0,0,0,484.000000
179,1,112,2023-11-24,0,0,0,7424.480000
180,1,163,2023-11-24,0,0,0,2686.760000
181,1,11,2023-11-24,0,0,0,129.590000
182,1,112,2023-11-25,0,0,0,332.800000
183,1,11,2023-11-27,0,0,0,204.580000
184,1,11,2023-11-27,0,0,0,129.590000
185,1,21,2023-11-27,0,0,0,500.000000
186,1,21,2023-11-27,0,0,0,100.000000
188,1,9,2023-11-27,0,0,0,539.800000
189,1,22,2023-11-27,0,0,0,109.960000
190,1,112,2023-11-28,0,0,0,693.200000
191,1,18,2023-11-28,0,0,0,309.600000
192,1,11,2023-11-28,0,0,0,239.800000
194,1,121,2023-11-28,0,0,0,3295.000000
195,1,112,2023-11-29,0,0,0,1022.400000
196,1,148,2023-11-29,0,0,0,2340.500000
197,1,11,2023-11-29,0,0,0,599.200000
199,1,148,2023-11-29,0,0,0,2340.500000
200,1,11,2023-11-29,0,0,0,499.990000
201,1,11,2023-11-29,0,0,0,119.080000
202,1,112,2023-11-30,0,0,0,508.380000
203,1,112,2023-12-01,0,0,0,253.740000
204,1,25,2023-12-04,0,0,0,107.880000
205,1,81,2023-12-05,0,0,0,244.800000
207,1,112,2023-12-07,0,0,0,1088.000000
208,1,21,2023-12-07,0,0,0,161.000000
209,1,12,2023-12-07,0,0,0,4796.800000
210,1,18,2023-12-07,0,0,0,209.980000
211,1,11,2023-12-08,0,0,0,2100.000000
212,1,11,2023-12-08,0,0,0,185.290000
213,1,18,2023-12-09,0,0,0,157.500000
214,1,18,2023-12-09,0,0,0,69.800000
215,1,112,2023-12-09,0,0,0,2175.600000
216,1,18,2023-12-11,0,0,0,218.460000
217,1,121,2023-12-13,0,0,0,7203.500000
218,1,148,2023-12-13,0,0,0,2792.950000
219,1,18,2023-12-14,0,0,0,6658.000000
220,1,21,2023-12-14,0,0,0,2244.900000
221,1,112,2023-12-14,0,0,0,1312.400000
222,1,112,2023-12-14,0,0,0,1246.700000
223,1,25,2023-12-15,0,0,0,13.520000
224,1,25,2023-12-18,0,0,0,171.000000
225,1,11,2023-12-18,0,0,0,6281.980000
226,1,18,2023-12-18,0,0,0,51.660000
227,1,112,2023-12-19,0,0,0,1293.400000
228,1,112,2023-12-20,0,0,0,603.320000
229,1,12,2023-12-20,0,0,0,3022.490000
230,1,0,2023-12-22,0,0,0,49.000000
231,1,112,2023-12-26,0,0,0,688.950000
232,1,112,2023-12-26,0,0,0,4460.310000
233,1,112,2023-12-27,0,0,0,414.050000
234,1,112,2023-12-29,0,0,0,1325.160000
235,1,21,2024-01-02,0,0,0,46.850000
