code,branch_code,customer_code,sale_code,chart_account_code,payment_method_code,issue_date,due_date,settlement_date,original_amount,paid_amount,discount_amount,interest_amount,remaining_amount,status
1,1,3,2,1,1,2023-08-22,2023-09-19,,2039.000000,2039.000000,0,0,0.000000,paid
2,1,3,3,1,1,2023-08-22,2023-09-21,,240.000000,240.000000,0,0,0.000000,paid
3,1,3,4,1,1,2023-08-22,2023-09-21,,145.000000,145.000000,0,0,0.000000,paid
4,1,3,5,1,1,2023-08-22,2023-09-17,,150.000000,150.000000,0,0,0.000000,paid
5,1,1,6,1,5,2023-08-22,2023-01-08,,1381.200000,1381.200000,0,0,0.000000,paid
6,1,1,7,1,1,2023-08-22,2022-10-26,,890.000000,890.000000,0,0,0.000000,paid
7,1,1,8,1,1,2023-08-22,2022-11-29,,425.000000,425.000000,0,0,0.000000,paid
8,1,1,9,1,1,2023-08-22,2022-12-14,,185.000000,185.000000,0,0,0.000000,paid
9,1,4,10,1,1,2023-08-22,2023-07-21,,1005.000000,1005.000000,0,0,0.000000,paid
10,1,5,11,1,1,2023-08-22,2023-09-12,,4956.000000,4956.000000,0,0,0.000000,paid
11,1,5,12,1,1,2023-08-22,2023-09-12,,9500.000000,9500.000000,0,0,0.000000,paid
12,1,5,13,1,1,2023-08-22,2023-09-12,,1744.000000,1744.000000,0,0,0.000000,paid
13,1,5,14,1,1,2023-08-22,2023-08-28,,3836.000000,3836.000000,0,0,0.000000,paid
14,1,6,15,1,1,2023-08-22,2023-09-17,,1886.000000,1886.000000,0,0,0.000000,paid
15,1,6,16,1,1,2023-08-22,2023-08-14,,780.000000,780.000000,0,0,0.000000,paid
16,1,7,17,1,1,2023-08-22,2023-09-14,,200.000000,200.000000,0,0,0.000000,paid
17,1,7,18,1,1,2023-08-22,2023-09-11,,985.000000,985.000000,0,0,0.000000,paid
18,1,7,19,1,1,2023-08-22,2023-09-21,,620.000000,620.000000,0,0,0.000000,paid
19,1,7,20,1,1,2023-08-22,2023-09-21,,509.600000,509.600000,0,0,0.000000,paid
20,1,7,21,1,1,2023-08-22,2023-09-21,,640.000000,640.000000,0,0,0.000000,paid
21,1,7,22,1,1,2023-08-22,2023-09-18,,1220.000000,1220.000000,0,0,0.000000,paid
22,1,7,23,1,1,2023-08-22,2023-09-21,,704.600000,704.600000,0,0,0.000000,paid
23,1,7,24,1,1,2023-08-22,2023-09-16,,390.000000,390.000000,0,0,0.000000,paid
24,1,7,25,1,1,2023-08-22,2023-09-16,,70.000000,70.000000,0,0,0.000000,paid
25,1,7,26,1,1,2023-08-22,2023-09-01,,60.000000,60.000000,0,0,0.000000,paid
26,1,7,27,1,1,2023-08-22,2023-09-18,,145.000000,145.000000,0,0,0.000000,paid
27,1,7,28,1,1,2023-08-22,2023-09-18,,889.600000,889.600000,0,0,0.000000,paid
30,1,7,31,1,1,2023-08-23,2023-07-22,,2126.000000,2126.000000,0,0,0.000000,paid
36,1,9,37,1,1,2023-08-23,2023-09-22,,1370.000000,1370.000000,0,0,0.000000,paid
37,1,9,38,1,1,2023-08-23,2023-09-02,,185.000000,185.000000,0,0,0.000000,paid
38,1,9,39,1,1,2023-08-23,2023-05-24,,465.000000,465.000000,0,0,0.000000,paid
39,1,10,40,1,1,2023-08-23,2023-08-21,,650.000000,650.000000,0,0,0.000000,paid
40,1,10,41,1,1,2023-08-23,2023-08-25,,639.000000,639.000000,0,0,0.000000,paid
41,1,11,42,1,1,2023-08-23,2023-07-13,,100.000000,100.000000,0,0,0.000000,paid
46,1,9,47,1,1,2023-08-23,2023-05-05,,5796.400000,5796.400000,0,0,0.000000,paid
47,1,13,48,1,1,2023-08-23,2023-07-03,,320.000000,320.000000,0,0,0.000000,paid
48,1,13,49,1,1,2023-08-23,2023-09-03,,200.000000,200.000000,0,0,0.000000,paid
49,1,13,50,1,1,2023-08-23,2023-09-19,,320.000000,320.000000,0,0,0.000000,paid
50,1,13,51,1,1,2023-08-23,2023-09-14,,560.000000,560.000000,0,0,0.000000,paid
51,1,13,52,1,1,2023-08-23,2023-09-14,,360.000000,360.000000,0,0,0.000000,paid
52,1,13,53,1,1,2023-08-23,2023-08-26,,140.000000,140.000000,0,0,0.000000,paid
53,1,14,54,1,1,2023-08-23,2023-07-28,,631.000000,631.000000,0,0,0.000000,paid
54,1,14,55,1,1,2023-08-23,2023-09-16,,248.000000,248.000000,0,0,0.000000,paid
55,1,14,56,1,1,2023-08-23,2023-07-13,,80.000000,80.000000,0,0,0.000000,paid
56,1,15,57,1,1,2023-08-23,2023-05-27,,100.000000,100.000000,0,0,0.000000,paid
57,1,16,58,1,1,2023-08-23,2023-09-22,,1173.000000,1173.000000,0,0,0.000000,paid
58,1,17,59,1,1,2023-08-23,2023-09-10,,720.000000,720.000000,0,0,0.000000,paid
