code,branch_code,customer_code,seller_code,issue_date,total_cost,total_discount,total_fees,total_amount
2,1,3,15,2023-08-22,0.000000,0,0,2039.000000
3,1,3,15,2023-08-22,0.000000,0,0,240.000000
4,1,3,13,2023-08-22,0.000000,0,0,145.000000
5,1,3,3,2023-08-22,0.000000,0,0,150.000000
6,1,1,111,2023-08-22,0.000000,0,0,1381.200000
7,1,1,111,2023-08-22,0.000000,0,0,890.000000
8,1,1,13,2023-08-22,0.000000,0,0,425.000000
9,1,1,13,2023-08-22,0.000000,0,0,430.000000
10,1,4,13,2023-08-22,0.000000,0,0,1005.000000
11,1,5,13,2023-08-22,0.000000,0,0,4956.000000
12,1,5,13,2023-08-22,0.000000,0,0,9500.000000
13,1,5,15,2023-08-22,0.000000,0,0,1744.000000
14,1,5,13,2023-08-22,0.000000,0,0,3836.000000
15,1,6,111,2023-08-22,0.000000,0,0,1886.000000
16,1,6,111,2023-08-22,0.000000,0,0,780.000000
17,1,7,15,2023-08-22,0.000000,0,0,200.000000
18,1,7,111,2023-08-22,0.000000,0,0,985.000000
19,1,7,13,2023-08-22,0.000000,0,0,620.000000
20,1,7,111,2023-08-22,0.000000,0,0,509.600000
21,1,7,13,2023-08-22,0.000000,0,0,640.000000
22,1,7,13,2023-08-22,0.000000,0,0,1220.000000
23,1,7,13,2023-08-22,0.000000,0,0,704.600000
24,1,7,15,2023-08-22,0.000000,0,0,390.000000
25,1,7,15,2023-08-22,0.000000,0,0,70.000000
26,1,7,13,2023-08-22,0.000000,0,0,60.000000
27,1,7,111,2023-08-22,0.000000,0,0,145.000000
28,1,7,13,2023-08-22,0.000000,0,0,889.600000
31,1,7,3,2023-08-23,0.000000,0,0,2126.000000
37,1,9,111,2023-08-23,0.000000,0,0,1370.000000
38,1,9,2,2023-08-23,0.000000,0,0,185.000000
39,1,9,111,2023-08-23,0.000000,0,0,465.000000
40,1,10,3,2023-08-23,0.000000,0,0,650.000000
41,1,10,13,2023-08-23,0.000000,0,0,639.000000
42,1,11,2,2023-08-23,0.000000,0,0,100.000000
47,1,9,2,2023-08-23,0.000000,0,0,5796.400000
48,1,13,3,2023-08-23,0.000000,0,0,320.000000
49,1,13,3,2023-08-23,0.000000,0,0,200.000000
50,1,13,3,2023-08-23,0.000000,0,0,320.000000
51,1,13,3,2023-08-23,0.000000,0,0,560.000000
52,1,13,3,2023-08-23,0.000000,0,0,360.000000
53,1,13,3,2023-08-23,0.000000,0,0,140.000000
54,1,14,13,2023-08-23,0.000000,0,0,631.000000
55,1,14,13,2023-08-23,0.000000,0,0,248.000000
56,1,14,2,2023-08-23,0.000000,0,0,80.000000
57,1,15,2,2023-08-23,0.000000,0,0,100.000000
58,1,16,15,2023-08-23,0.000000,0,0,1173.000000
59,1,17,2,2023-08-23,0.000000,0,0,720.000000
60,1,18,15,2023-08-23,0.000000,0,0,455.000000
61,1,18,111,2023-08-23,0.000000,0,0,200.000000
62,1,18,13,2023-08-23,0.000000,0,0,450.000000
63,1,18,3,2023-08-23,0.000000,0,0,480.000000
65,1,20,111,2023-08-23,0.000000,0,0,950.000000
66,1,20,13,2023-08-23,0.000000,0,0,3252.000000
67,1,20,2,2023-08-23,0.000000,0,0,25.000000
68,1,20,3,2023-08-23,0.000000,0,0,225.000000
70,1,22,3,2023-08-24,0.000000,0,0,420.000000
72,1,23,13,2023-08-24,0.000000,0,0,270.000000
73,1,23,13,2023-08-24,0.000000,0,0,530.000000
74,1,24,13,2023-08-24,0.000000,0,0,3030.000000
75,1,24,13,2023-08-24,0.000000,0,0,1488.000000
77,1,26,3,2023-08-24,0.000000,0,0,1815.000000
78,1,27,13,2023-08-24,0.000000,0,0,1000.000000
79,1,28,3,2023-08-24,0.000000,0,0,280.000000
81,1,30,111,2023-08-24,0.000000,0,0,1660.000000
84,1,34,3,2023-08-24,0.000000,0,0,1569.000000
85,1,34,3,2023-08-24,0.000000,0,0,460.000000
91,1,37,3,2023-08-24,0.000000,0,0,610.000000
92,1,37,13,2023-08-24,0.000000,0,0,500.000000
93,1,37,15,2023-08-24,0.000000,0,0,140.000000
94,1,37,2,2023-08-24,0.000000,0,0,980.000000
95,1,37,3,2023-08-24,0.000000,0,0,945.000000
96,1,38,3,2023-08-24,0.000000,0,0,325.000000
97,1,38,13,2023-08-24,0.000000,0,0,408.000000
98,1,38,111,2023-08-24,0.000000,0,0,2050.000000
99,1,38,3,2023-08-24,0.000000,0,0,414.000000
100,1,38,2,2023-08-24,0.000000,0,0,397.000000
101,1,38,111,2023-08-24,0.000000,0,0,2655.000000
102,1,38,3,2023-08-24,0.000000,0,0,687.000000
103,1,38,13,2023-08-24,0.000000,0,0,2547.400000
104,1,38,3,2023-08-24,0.000000,0,0,3988.910000
105,1,39,111,2023-08-24,0.000000,0,0,1240.000000
106,1,40,3,2023-08-24,0.000000,0,0,2010.000000
107,1,41,3,2023-08-24,0.000000,0,0,255.000000
108,1,42,111,2023-08-24,0.000000,0,0,500.000000
109,1,7,13,2023-08-24,0.000000,0,0,3328.980000
110,1,7,13,2023-08-24,0.000000,0,0,4199.230000
111,1,7,13,2023-08-24,0.000000,0,0,3188.000000
112,1,7,13,2023-08-24,0.000000,0,0,2320.000000
113,1,7,13,2023-08-24,0.000000,0,0,2500.000000
115,1,3,3,2023-08-24,0.000000,0,0,150.000000
116,1,3,15,2023-08-24,0.000000,0,0,236.400000
117,1,3,3,2023-08-24,0.000000,0,0,110.000000
118,1,3,3,2023-08-24,0.000000,0,0,714.700000
119,1,5,13,2023-09-08,0.000000,0,0,3276.000000
120,1,5,13,2023-09-08,0.000000,0,0,2790.000000
121,1,5,3,2023-09-08,0.000000,0,0,240.000000
122,1,5,15,2023-09-08,0.000000,0,0,3360.000000
124,1,7,111,2023-09-11,140.000000,0,0,910.000000
126,1,7,13,2023-09-13,18.500000,0,0,361.000000
129,1,45,13,2023-09-13,640.000000,0,0,1175.000000
130,1,7,14,2023-09-13,10.000000,0,0,184.400000
131,1,20,14,2023-09-13,0.000000,0,0,120.000000
133,1,20,14,2023-09-13,0.000000,0,0,150.000000
134,1,6,13,2023-09-13,0.000000,0,0,720.000000
135,1,7,15,2023-09-13,86.000000,0,0,1074.000000
136,1,42,111,2023-09-14,0.000000,0,0,730.000000
137,1,42,111,2023-09-14,10.000000,0,0,190.000000
138,1,20,14,2023-09-14,0.000000,0,0,150.000000
139,1,7,14,2023-09-14,0.000000,0,0,198.000000
141,1,41,14,2023-09-19,0.000000,0,0,1279.000000
142,1,41,14,2023-09-19,0.000000,0,0,378.000000
143,1,41,14,2023-09-19,0.000000,0,0,1455.000000
145,1,41,14,2023-09-19,0.000000,0,0,938.000000
