branch_code,date,total_cost,total_amount,total_profit,count_sales
1,2023-08-22,0.000000,35841.000000,35841.000000,27
1,2023-08-23,0.000000,22220.400000,22220.400000,28
1,2023-08-24,0.000000,49921.620000,49921.620000,38
1,2023-09-08,0.000000,9666.000000,9666.000000,4
1,2023-09-11,140.000000,910.000000,770.000000,1
1,2023-09-13,754.500000,3784.400000,3029.900000,7
1,2023-09-14,10.000000,1268.000000,1258.000000,4
1,2023-09-19,15.000000,6190.500000,6175.500000,7
1,2023-09-20,207.100000,3408.200000,3201.100000,3
1,2023-09-21,1800.790000,44025.100000,42224.310000,16
1,2023-09-22,1066.130000,11055.960000,9989.830000,9
1,2023-09-23,6.480000,168.900000,162.420000,1
1,2023-09-25,1294.020000,13863.830000,12569.810000,17
1,2023-09-26,502.220000,7237.350000,6735.130000,13
1,2023-09-27,164.390000,2984.400000,2820.010000,10
1,2023-09-28,385.000000,1772.900000,1387.900000,3
1,2023-09-29,80.320000,13133.080000,13052.760000,8
1,2023-09-30,2515.840000,10949.350000,8433.510000,6
1,2023-10-02,643.170000,6915.040000,6271.870000,12
1,2023-10-03,524.490000,3312.950000,2788.460000,4
1,2023-10-04,232.000000,455.000000,223.000000,1
1,2023-10-05,1667.150000,13668.200000,12001.050000,17
1,2023-10-06,3179.960000,17127.960000,13948.000000,12
1,2023-10-07,0.000000,7126.000000,7126.000000,2
1,2023-10-09,392.630000,11807.860000,11415.230000,9
1,2023-10-10,3239.200000,12113.500000,8874.300000,12
1,2023-10-11,1010.360000,7992.400000,6982.040000,9
1,2023-10-13,1119.510000,7102.530000,5983.020000,10
1,2023-10-14,1817.330000,5390.450000,3573.120000,8
1,2023-10-16,624.900000,4189.850000,3564.950000,10
1,2023-10-17,484.090000,6410.200000,5926.110000,12
1,2023-10-18,2129.640000,8943.150000,6813.510000,14
1,2023-10-19,344.790000,9124.400000,8779.610000,7
1,2023-10-20,3778.050000,11938.350000,8160.300000,14
1,2023-10-21,466.530000,2670.100000,2203.570000,5
1,2023-10-23,939.860000,9495.200000,8555.340000,16
1,2023-10-24,3912.360000,14972.820000,11060.460000,18
1,2023-10-25,2881.820000,14885.650000,12003.830000,11
1,2023-10-26,2589.490000,8042.600000,5453.110000,8
1,2023-10-27,497.160000,4672.500000,4175.340000,7
1,2023-10-28,130.000000,2130.000000,2000.000000,5
1,2023-10-30,1941.290000,8134.600000,6193.310000,15
1,2023-10-31,1907.650000,8019.000000,6111.350000,13
1,2023-11-01,2305.010000,4171.910000,1866.900000,12
1,2023-11-02,1633.830000,3381.400000,1747.570000,2
1,2023-11-03,2346.680000,6328.860000,3982.180000,11
1,2023-11-04,1263.840000,8461.750000,7197.910000,9
1,2023-11-06,3842.960000,8467.700000,4624.740000,17
1,2023-11-07,4999.550000,8442.530000,3442.980000,14
1,2023-11-08,291.870000,4750.100000,4458.230000,11
1,2023-11-09,1847.350000,5978.100000,4130.750000,10
1,2023-11-10,1980.310000,7765.950000,5785.640000,12
1,2023-11-11,278.240000,2115.860000,1837.620000,5
1,2023-11-13,5045.280000,15670.830000,10625.550000,13
1,2023-11-14,1487.410000,8345.500000,6858.090000,16
1,2023-11-16,1435.880000,5384.500000,3948.620000,8
1,2023-11-17,2025.880000,4657.000000,2631.120000,8
