branch_code,year,month,total_cost,total_amount,total_profit,count_sales
1,2023,8,0.000000,107983.020000,107983.020000,93
1,2023,9,8941.790000,130417.970000,121476.180000,109
1,2023,10,36453.430000,206640.310000,170186.880000,251
1,2023,11,64321.650000,168144.850000,103823.200000,236
1,2023,12,96943.550000,222384.745000,125441.195000,227
1,2024,1,51940.630000,230520.060000,178579.430000,267
1,2024,2,53135.220000,209959.806000,156824.586000,268
1,2024,3,68467.020000,228226.865000,159759.845000,241
1,2024,4,57979.040000,216654.280000,158675.240000,266
1,2024,5,62377.800000,236851.510000,174473.710000,291
1,2024,6,78172.830000,297769.580000,219596.750000,300
1,2024,7,131583.930000,330382.580000,198798.650000,336
1,2024,8,119665.020000,338056.750000,218391.730000,340
1,2024,9,116972.270000,319177.280000,202205.010000,333
1,2024,10,137905.530000,339478.750000,201573.220000,346
1,2024,11,98745.590000,235819.230000,137073.640000,285
1,2024,12,109876.840000,284906.760000,175029.920000,245
1,2025,1,153838.650000,399689.470000,245850.820000,282
1,2025,2,179188.780000,377572.590000,198383.810000,323
1,2025,3,167380.500000,389534.600000,222154.100000,308
1,2025,4,114540.460000,336760.310000,222219.850000,314
1,2025,5,105664.960000,348626.740000,242961.780000,347
1,2025,6,132839.580000,394185.700000,261346.120000,370
1,2025,7,107490.480000,329861.730000,222371.250000,390
1,2025,8,112688.820000,341981.060000,229292.240000,394
1,2025,9,119827.280000,369534.390000,249707.110000,408
1,2025,10,108000.310000,353174.678000,245174.368000,401
1,2025,11,85742.090000,287293.260000,201551.170000,343
1,2025,12,81267.910000,241859.700000,160591.790000,317
1,2026,1,86852.560000,279118.370000,192265.810000,352
1,2026,2,109238.980000,314397.430000,205158.450000,384
1,2026,3,131890.250000,398354.680000,266464.430000,415
1,2026,4,59455.120000,181817.730000,122362.610000,207
