branch_code,account_code,chart_account_code,supplier_code,year,month,is_reconciled,total_amount
1,1,1,0,2023,10,1,1405.000000
1,1,1,0,2023,11,1,16444.560000
1,1,1,0,2023,12,1,3995.700000
1,1,1,0,2024,1,1,55930.430000
1,1,1,0,2024,2,1,3510.000000
1,1,1,0,2024,3,1,40730.380000
1,1,1,0,2024,4,1,9462.240000
1,1,1,0,2024,5,1,18935.250000
1,1,1,0,2024,6,1,25258.760000
1,1,1,0,2024,7,1,21353.630000
1,1,1,0,2024,8,1,29642.190000
1,1,1,0,2024,9,1,28038.560000
1,1,1,0,2024,10,1,34470.250000
1,1,1,0,2024,11,1,18766.650000
1,1,1,0,2024,12,1,19700.300000
1,1,1,0,2025,1,1,28717.020000
1,1,1,0,2025,2,1,25949.430000
1,1,1,0,2025,3,1,64362.650000
1,1,1,0,2025,4,1,20382.600000
1,1,1,0,2025,5,1,35942.450000
1,1,1,0,2025,6,1,43865.170000
1,1,1,0,2025,7,1,30966.390000
1,1,1,0,2025,8,1,43942.880000
1,1,1,0,2025,9,1,43051.500000
1,1,1,0,2025,10,1,10515.540000
1,1,1,0,2025,11,1,7292.240000
1,1,1,0,2025,12,1,28511.160000
1,1,1,0,2026,1,1,17166.570000
1,1,1,0,2026,2,1,43321.770000
1,1,1,0,2026,3,1,32136.900000
1,1,1,0,2026,4,1,3393.100000
1,1,3,47,2023,12,1,-3250.000000
1,1,3,47,2024,1,1,-2040.000000
1,1,3,47,2024,3,1,-1555.000000
1,1,3,103,2024,1,1,-7510.000000
1,1,3,103,2024,3,1,-4350.000000
1,1,46,0,2023,12,1,88.300000
1,1,46,0,2024,1,1,326.350000
1,1,46,0,2024,5,1,4.660000
1,1,46,0,2024,6,1,1.510000
1,1,46,0,2024,7,1,95.760000
1,1,46,0,2025,6,1,83.000000
1,1,46,0,2025,10,1,3.010000
1,1,46,0,2026,2,1,0.720000
1,1,52,0,2023,10,1,-5.000000
1,1,52,0,2023,11,1,-172.250000
1,1,52,0,2023,12,1,-14.000000
1,1,52,0,2024,1,1,-3985.280000
1,1,52,0,2024,3,1,-7898.380000
1,1,52,0,2024,4,1,-272.160000
1,1,52,0,2024,5,1,-1961.740000
1,1,52,0,2024,6,1,-2646.550000
1,1,52,0,2024,7,1,-1149.130000
1,1,52,0,2024,8,1,-2477.060000
1,1,52,0,2024,9,1,-2435.560000
1,1,52,0,2024,10,1,-4115.250000
1,1,52,0,2024,11,1,-2580.300000
1,1,52,0,2024,12,1,-64.070000
1,1,52,0,2025,1,1,-3915.420000
1,1,52,0,2025,2,1,-4179.480000
1,1,52,0,2025,3,1,-8998.650000
1,1,52,0,2025,4,1,-917.600000
1,1,52,0,2025,5,1,-4937.050000
1,1,52,0,2025,6,1,-431.800000
1,1,52,0,2025,7,1,-1968.450000
1,1,52,0,2025,8,1,-4135.600000
1,1,52,0,2025,10,1,-818.550000
1,1,52,0,2025,11,1,-998.800000
1,1,52,0,2025,12,1,-1992.700000
1,1,52,0,2026,1,1,-1114.300000
1,1,52,0,2026,2,1,-2157.570000
1,1,52,0,2026,3,1,-56.900000
1,1,52,0,2026,4,1,-176.000000
1,1,52,74,2024,12,1,-46.230000
1,1,52,74,2025,12,1,-29.300000
1,1,59,21,2024,3,1,-10.000000
1,1,59,187,2024,6,1,-1306.000000
1,1,59,194,2024,5,1,-9500.000000
1,1,63,129,2023,11,1,-5300.000000
1,1,65,0,2023,12,1,-1762.500000
1,1,65,0,2024,1,1,-364.000000
1,1,65,0,2024,2,1,-447.400000
1,1,65,0,2024,4,1,-209.010000
1,1,65,0,2024,6,1,-93.710000
1,1,65,0,2024,7,1,-262.400000
1,1,65,0,2024,8,1,-13.450000
1,1,65,0,2024,9,1,-9008.050000
1,1,65,0,2024,10,1,-715.000000
1,1,65,0,2025,7,1,-1122.400000
1,1,65,0,2025,8,1,-2741.570000
1,1,65,0,2025,12,1,-1093.000000
1,1,66,0,2023,12,1,4023.690000
1,1,66,0,2024,1,1,170.000000
1,1,66,0,2024,3,1,4186.980000
1,1,66,0,2024,4,1,2045.240000
1,1,66,0,2024,5,1,19.800000
1,1,66,0,2024,6,1,1008.100000
1,1,66,0,2024,7,1,12589.350000
1,1,66,0,2024,8,1,1200.000000
1,1,66,0,2024,9,1,8526.900000
1,1,66,0,2024,10,1,5647.450000
1,1,66,0,2024,11,1,470.000000
