code,branch_code,receivable_code,customer_code,sale_code,chart_account_code,payment_method_code,issue_date,due_date,settlement_date,original_amount,paid_amount,discount_amount,interest_amount,remaining_amount,status
2,1,270,92,277,,1,2008-12-16,2008-12-12,2009-02-09,235.000000,235.000000,0,0,0.000000,paid
5,1,418,194,422,,1,2008-12-18,2009-01-17,2008-12-18,1.000000,1.000000,0,0,0.000000,paid
6,1,350,154,356,,1,2008-12-17,2008-01-06,2009-01-01,65.000000,65.000000,0,0,0.000000,paid
7,1,351,154,357,,1,2008-12-17,2008-12-30,2009-01-01,56.000000,56.000000,0,0,0.000000,paid
8,1,116,38,119,,1,2008-12-16,2007-02-26,2008-12-12,13800.000000,13800.000000,0,0,0.000000,paid
9,1,570,269,498,,1,2009-02-13,2009-02-13,2009-02-13,690.000000,690.000000,0,0,0.000000,paid
10,1,513,39,456,,1,2009-01-01,2009-03-03,2009-02-16,1096.000000,1096.000000,0,0,0.000000,paid
11,1,514,39,456,,1,2009-01-01,2009-04-03,2009-02-16,1096.000000,1096.000000,0,0,0.000000,paid
12,1,515,39,456,,1,2009-01-01,2009-05-03,2009-02-16,1096.000000,1096.000000,0,0,0.000000,paid
13,1,516,39,456,,1,2009-01-01,2009-06-03,2009-02-16,1096.000000,1096.000000,0,0,0.000000,paid
14,1,517,39,456,,1,2009-01-01,2009-07-03,2009-02-16,1096.000000,1096.000000,0,0,0.000000,paid
15,1,574,269,502,,1,2009-02-16,2009-02-16,2009-02-16,1.000000,1.000000,0,0,0.000000,paid
16,1,553,157,490,,1,2009-02-12,2009-02-14,2009-02-16,3000.000000,3000.000000,0,0,0.000000,paid
17,1,558,41,494,,1,2009-02-12,2009-03-14,2009-02-16,1162.000000,1162.000000,0,0,0.000000,paid
18,1,576,269,505,,1,2009-02-17,2009-02-17,2009-02-17,144.000000,144.000000,0,0,0.000000,paid
19,1,577,269,506,,1,2009-02-17,2009-02-17,2009-02-17,15.000000,15.000000,0,0,0.000000,paid
20,1,581,269,511,,1,2009-02-17,2009-02-17,2009-02-17,10.000000,10.000000,0,0,0.000000,paid
