code,section_code,group_code,subgroup_code,brand_code,name,unit,cost_price,sale_price,is_active
1,2,,0,137,"JG BRONZINA MANCAL 0,75 AP 1.6 SINTERMENTAL",UN,70.039500,120.000000,1
2,1,1,0,0,RETIFICAR VIRABREQUIM L LEVE D,UN,50.000000,200.000000,1
3,1,1,0,0,RETIFICAR VIRABREQUIM L PESADA 4 CIL,UN,0.000000,550.000000,1
4,1,1,0,0,RETIFICAR VIRABREQUIM L PESADA 6 CIL,UN,0.000000,650.000000,1
5,1,1,0,0,RETIFICAR CILINDRO L LEVE,UN,75.000000,300.000000,1
6,1,1,0,0,RETIFICAR/ENCAMISAR CIL L PESADA 4 CIL,UN,175.000000,700.000000,1
7,1,1,0,0,RETIFICAR CILINDRO L PESADA 6 CIL,UN,250.000000,1000.000000,1
8,1,1,0,0,ENCAMISAR CIL L LEVE ,UN,100.000000,400.000000,1
9,1,1,0,0,BRUNIR CILINDRO L LEVE F,UN,37.500000,150.000000,1
10,1,1,0,0,BRUNIR CILINDRO L LEVE D,UN,30.000000,120.000000,1
11,1,1,0,0,BRUNIR CIL L PESADA 4 CIL,UN,0.000000,40.000000,1
12,1,1,0,0,BRUNIR CIL L PESADA 6 CIL,UN,0.000000,60.000000,1
13,1,1,0,0,PLAINAR BLOCO L LEVE,UN,0.000000,180.000000,1
14,1,1,0,0,PLAINAR BLOCO L PESADA 4 CIL,UN,0.000000,300.000000,1
15,1,1,0,0,PLAINAR BLOCO L PESADA 6 CIL,UN,0.000000,350.000000,1
16,1,1,0,0,RETIFICAR BIELA L LEVE,UN,0.000000,25.000000,1
17,1,1,0,0,RETIFICAR BIELA L PESADA,UN,0.000000,40.000000,1
18,1,1,0,0,EMBUCHAR BIELA L LEVE,UN,0.000000,5.000000,1
19,1,1,0,0,EMBUCHAR BIELA L PESADA,UN,0.000000,10.000000,1
20,1,1,0,0,RETIFICAR COMANDO ,UN,0.000000,35.000000,1
21,1,1,0,0,POLIR COMANDO,UN,0.000000,15.000000,1
22,1,1,0,0,BALANCEAR CONJUNTO 4 CIL,UN,0.000000,250.000000,1
23,1,1,0,0,BALANCEAR CONJUNTO 6 CIL,UN,0.000000,300.000000,1
24,1,1,0,0,BALANCEAR CONJUNTO SCANIA,UN,0.000000,450.000000,1
25,1,1,0,0,POLIR VIRABREQUIM L LEVE,UN,0.000000,15.000000,1
26,1,1,0,0,POLIR VIRABREQUIM L PESADA,UN,0.000000,35.000000,1
27,1,1,0,0,EMBUCHAR E MANDRILHAR BLOCO 4 CIL,UN,0.000000,80.000000,1
28,1,1,0,0,EMBUCHAR E MANDRILHAR BLOCO 6 CIL,UN,0.000000,140.000000,1
29,1,1,0,0,MANDRILHAR MANCAL 4 CIL,UN,0.000000,100.000000,1
30,1,1,0,0,MANDRILHAR MANCAL 6 CIL,UN,0.000000,140.000000,1
31,1,1,0,0,TESTAR CABEÇOTE L LEVE F,UN,0.000000,45.000000,1
32,1,1,0,0,TESTAR CABEÇOTE L LEVE D,UN,0.000000,40.000000,1
33,1,1,0,0,TESTAR CABEÇOTE L PESADA 4 CIL,UN,0.000000,60.000000,1
34,1,1,0,0,TESTAR CABEÇOTE L PESADA 6 CIL,UN,0.000000,80.000000,1
35,1,1,0,0,PLAINAR CABEÇOTE L LEVE F,UN,0.000000,150.000000,1
36,1,1,0,0,PLAINAR CABEÇOTE L LEVE D,UN,0.000000,150.000000,1
37,1,1,0,0,PLAINAR CABEÇOTE L PESADA 4 CIL,UN,0.000000,250.000000,1
38,1,1,0,0,PLAINAR CABEÇOTE L PESADA 6 CIL,UN,0.000000,300.000000,1
39,1,1,0,0,DESCARBONIZAR CABEÇOTE G,UN,0.000000,10.000000,1
40,1,1,0,0,DESCARBONIZAR CABEÇOTE L LEVE F,UN,0.000000,30.000000,1
41,1,1,0,0,DESCARBONIZAR CABEÇOTE L LEVE D,UN,0.000000,20.000000,1
42,1,1,0,0,DESCARBONIZAR CABEÇOTE L PESADA 4 CIL,UN,0.000000,30.000000,1
43,1,1,0,0,DESCARBONIZAR CABEÇOTE L PESADA 6 CIL,UN,0.000000,40.000000,1
44,1,1,0,0,RETIFICAR SEDE L LEVE F,UN,0.000000,3.750000,1
45,1,1,0,0,RETIFICAR SEDE L LEVE D,UN,0.000000,3.750000,1
46,1,1,0,0,RETIFICAR SEDE L PESADA,UN,0.000000,12.000000,1
47,1,1,0,0,TROCAR SEDE L LEVE,UN,0.000000,8.250000,1
48,1,1,0,0,RETIFICAR VÁLVULA L LEVE F,UN,0.000000,3.750000,1
49,1,1,0,0,RETIFICAR VÁLVULA L LEVE D,UN,0.000000,3.750000,1
50,1,1,0,0,RETIFICAR VÁLVULA L PESADA ,UN,0.000000,12.000000,1
51,1,1,0,0,TROCAR SEDE L PESADA,UN,0.000000,15.000000,1
52,1,1,0,0,TROCAR GUIA L LEVE,UN,0.000000,8.250000,1
53,1,1,0,0,TROCAR GUIA L PESADA,UN,0.000000,15.000000,1
54,1,1,0,0,ESMERILAR E MONTAR L LEVE F,UN,0.000000,3.750000,1
55,1,1,0,0,ESMERILAR E MONTAR L LEVE D,UN,0.000000,2.500000,1
56,1,1,0,0,ESMERILAR E MONTAR L PESADA ,UN,0.000000,5.000000,1
57,1,1,0,0,LAVAGEM QUÍMICA L LEVE,UN,0.000000,40.000000,1
58,1,1,0,0,LAVAGEM QUÍMICA L PESADA,UN,0.000000,60.000000,1
59,1,1,0,0,AJUSTAR MOTOR E CORTAR PISTÃO 4 CIL,UN,0.000000,80.000000,1
60,1,1,0,0,AJUSTAR MOTOR E CORTAR PISTÃO 6 CIL,UN,0.000000,120.000000,1
61,1,1,0,0,MONTAGEM MOTOR G,UN,0.000000,180.000000,1
62,1,1,0,0,MONTAGEM MOTOR L LEVE F,UN,0.000000,300.000000,1
63,1,1,0,0,MONTAGEM MOTOR L LEVE D,UN,0.000000,250.000000,1
64,1,1,0,0,MONTAGEM MOTOR L PESADA 4 CIL,UN,0.000000,600.000000,1
65,1,1,0,0,MONTAGEM MOTOR L PESADA 6 CIL,UN,0.000000,800.000000,1
66,1,1,0,0,TIRAR E COLOCAR MOTOR L PESADA 4 CIL,UN,0.000000,150.000000,1
67,1,1,0,0,TIRAR E COLOCAR MOTOR L PESADA 6 CIL,UN,0.000000,200.000000,1
68,1,1,0,0,TIRAR CABEÇOTE L LEVE G,UN,0.000000,60.000000,1
69,1,1,0,0,TIRAR CABEÇOTE L LEVE,UN,130.540000,80.000000,1
70,1,1,0,0,TIRAR CABEÇOTE L PESADA 4 CIL,UN,0.000000,120.000000,1
71,1,1,0,0,TIRAR CABEÇOTE L PESADA 6 CIL,UN,0.000000,180.000000,1
72,1,1,0,0,MONTAGEM PARCIAL L LEVE,UN,0.000000,60.000000,1
73,1,1,0,0,LIMPEZA DE BICO L LEVE,UN,0.000000,15.000000,1
74,1,1,0,0,REGULAGEM DE BICO INJETOR,UN,40.000000,10.000000,1
75,1,1,0,0,REGULAGEM CABEÇOTE AP/FIAT,UN,0.000000,40.000000,1
76,1,1,0,0,SERVIÇOS TERCEIROS VÁRIOS,UN,0.000000,0.000000,1
77,1,1,0,0,MANDRILHAR BIELA,UN,0.000000,15.000000,1
78,1,1,0,0,ABRIR ROSCA HELICOIL,UN,0.000000,15.000000,1
79,1,1,0,0,ENCHER COLO DO VIRABREQUIM,UN,0.000000,100.000000,1
80,1,1,0,0,FAZER RISCO NO CABEÇOTE,UN,0.000000,20.000000,1
81,2,,0,147,JG JUNTAS CPT S/RET  MAXION S4/S4T  SPAAL,UN,323.975800,583.156400,1
82,1,1,0,0,TROCAR RETENTOR DE VÁLVULAS L LEVE,UN,0.000000,10.000000,1
83,1,1,0,0,PRODUTO DIVERSO,UN,33.200000,0.016300,1
84,0,0,0,0,1,UN,96.372000,1.000000,1
85,1,1,0,0,FURAR ESGUINCHO,UN,0.000000,120.000000,1
86,1,1,0,0,FURAR ESGUINCHO,UN,0.000000,120.000000,1
87,1,1,0,0,RETIFICAR CARCAÇA,UN,0.000000,65.000000,1
88,1,,0,0,AJUSTAR MOTOR E EMBIELAR,UN,0.000000,60.000000,1
89,1,,0,0,mao de obra,UN,0.000000,1.000000,1
90,1,1,0,0,FAZER PROJEÇÃO MWM 4CIL,UN,0.000000,40.000000,1
91,1,1,0,0,FAZER PROJEÇÃO MWM 4 CIL,UN,40.000000,66.666700,1
92,1,1,0,0,SER. CABEC;,UN,0.000000,120.000000,1
93,1,1,0,0,SERVIÇO DE CABEÇOTE,UN,0.000000,120.000000,1
94,1,1,0,0,FAZER PROJEÇÃO MWM 6 CIL,UN,40.000000,40.000000,1
95,1,1,0,0,RETIFICAR CILINDRO DE MOTO,UN,20.000000,40.000000,1
96,1,1,0,0,RETIFICAR VIRABREQUIM 3 CIL,UN,60.000000,300.000000,1
97,1,1,0,0,RETIFICAR E ENCAMISAR BLOCO 3 CIL,UN,150.000000,150.000000,1
98,1,1,0,0,PLAINAR BLOCO 3 CIL,UN,60.000000,250.000000,1
99,1,1,0,0,EMBIELAR MOTOR,UN,40.000000,40.000000,1
100,1,1,0,0,plainar tampa de valvula,UN,60.000000,150.000000,1
101,1,1,0,0,TROCAR SELO CABEÇOTE,UN,1.000000,1.010000,1
102,1,1,0,0,RASTER,UN,0.010000,100.000000,1
103,1,1,0,0,RETIFICAR CILINDRO COMPRESSOR,UN,0.000000,30.000000,1
104,1,1,0,0,EMBUCHAR E MANDRILHAR BUCHA COMANDO,UN,200.000000,240.000000,1
105,1,1,0,0,ADAPTAR GUIA,UN,10.000000,10.000000,1
106,1,1,0,0,BALANCEAR ROTOR DE BOMBA,UN,0.000000,80.000000,1
107,1,1,0,0,ajustar motor e embielar,UN,60.000000,60.000000,1
108,2,,0,70,JG BRONZINA MANCAL STDXSTD FUSCA BC254,UN,35.500000,56.800000,1
109,2,,0,134,"JG BRONZINA MANCAL STDX0,25 VW STDX0,25",UN,35.500000,165.000000,1
110,,,0,0,"JG BRONZINA MANCAL STDX0,50",UN,35.500000,66.000000,1
111,2,,0,134,"JG BRONZINA MANCAL STDX0,75VW STDX0,75",UN,35.500000,165.000000,1
112,2,,0,0,"JG BRONZINA MANCAL STDX1,00 VW STDX1,00",UN,92.630000,148.208000,1
113,,,0,0,"JG BRONZINA MANCAL 0,25XSTD",UN,35.500000,66.000000,1
114,2,,0,0,"JG BRONZINA MANCAL 0,25X0,25 VW 0,25X0,25",UN,9.600000,15.360000,1
115,0,0,0,0,"JG BRONZINA MANCAL 0,25X0,50",UN,35.500000,66.000000,1
116,2,,0,0,"JG BRONZINA MANCAL 0,25X0,75 VW 0,25X0,75",UN,9.600000,15.360000,1
117,2,,0,134,"JG BRONZINA MANCAL 0,25X1,00 VW BC214",UN,9.600000,15.360000,1
118,2,,0,134,"JG BRONZINA MANCAL 0,50XSTD VW 0,50XSTD",UN,35.500000,56.800000,1
119,2,,0,0,"JG BRONZINA MANCAL 0,50X0,25",UN,35.500000,66.000000,1
120,2,,0,0,"JG BRONZINA MANCAL 0,50X0,50",UN,35.500000,66.000000,1
121,2,,0,0,"JG BRONZINA MANCAL 0,50X0,75 VW 0,50X0,75",UN,35.500000,66.000000,1
122,2,,0,135,"JG BRONZINA MANCAL 0,50X1,00 VW/FUSCA BC234",UN,9.600000,15.360000,1
123,2,,0,0,"JG BRONZINA MANCAL 1,00XSTD",UN,49.390000,79.024000,1
124,2,,0,0,"JG BRONZINA MANCAL 1,00X0,25",UN,49.390000,66.000000,1
125,2,,0,134,"JG BRONZINA MANCAL 1,50X0,50 VW",UN,84.230000,134.768000,1
126,2,,0,0,"JG BRONZINA MANCAL 1,00X0,75 VW 1,00X0,75",UN,82.330000,131.728000,1
127,2,,0,134,"JG BRONZINA MANCAL 1,00X1,00 VW BC254",UN,29.350000,46.960000,1
128,2,,0,89,"JG BRONZINA MANCAL 1,50XSTD VW BC174",UN,35.500000,56.800000,1
129,2,,0,89,"JG BRONZINA MANCAL 1,50X0,25 VW BC1,50X0,25",UN,0.000000,154.064000,1
130,2,,0,0,PARAFUSO C/FLANGE 8X25MM,UN,1.000000,3.000000,1
131,2,,0,134,"JG BRONZINA MANCAL 1,50X0,75 VW 1,50X0,75",UN,80.130000,128.208000,1
132,2,,0,134,"JG BRONZINA MANCAL 1,50X1,00",UN,92.630000,148.208000,1
133,2,,0,89,"JG BRONZINA MANCAL 2,00XSTD",UN,35.500000,66.000000,1
134,2,,0,136,"JG BRONZINA MANCAL 2,00X0,25 VW BC184",UN,35.500000,56.800000,1
135,2,,0,134,"JG BRONZINA MANCAL 2,00X0,50 VW 2,00X0,50",UN,64.130000,102.608000,1
136,2,,0,134,"JG BRONZINA MANCAL 2,00X0,75 VW 2,00X0,75",UN,80.130000,128.208000,1
137,2,,0,134,"JG BRONZINA MANCAL 2,00X1,00 VW 2,00X1,00",UN,35.500000,56.800000,1
138,2,,0,134,"JG BRONZINA MANCAL 2,50XSTD VW BC264",UN,35.500000,56.800000,1
139,2,,0,134,"JG BRONZINA MANCAL 2,50X0,25 VW 2,50X0,25",UN,29.600000,47.360000,1
140,2,,0,134,"JG BRONZINA MANCAL 2,50X0,50 VW 2,50X0,50",UN,58.880000,94.208000,1
141,2,,0,134,"JG BRONZINA MANCAL 2,50X0,75 VW 2,50X0,75",UN,92.630000,148.208000,1
142,2,,0,134,"JG BRONZINA MANCAL 2,50X1,00 VW 2,50X1,00",UN,92.630000,148.208000,1
143,2,,0,134,"JG BRONZINA MANCAL 3,00XSTD",UN,92.630000,175.997000,1
144,2,,0,134,"JG BRONZINA MANCAL 3,00X0,25 VW 3,00X0,25",UN,35.500000,56.800000,1
145,2,,0,134,"JG BRONZINA MANCAL 3,00X0,50 BC264",UN,25.240000,66.000000,1
146,2,,0,134,"JG BRONZINA MANCAL 3,00X0,75",UN,28.700000,66.000000,1
147,2,,0,134,"JG BRONZINA MANCAL 3,00X1,00",UN,28.700000,66.000000,1
148,2,,0,89,"JG BRONZINA MANCAL 3,50XSTD",UN,35.500000,66.000000,1
149,2,,0,134,"JG BRONZINA MANCAL 3,50X0,25 VW BC284",UN,35.500000,56.800000,1
150,2,,0,134,"JG BRONZINA MANCAL 3,50X0,50 VW BC284",UN,89.230000,142.768000,1
