code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
2,1,868,2009-04-16,0,0,0,1762.540000
3,1,61,2009-04-16,0,0,0,4.000000
4,1,61,2009-04-16,0,0,0,4.000000
6,1,61,2009-04-18,0,0,0,0.000000
7,1,21,2009-04-18,0,0,0,299.320000
8,1,113,2009-04-20,0,0,0,15.000000
10,1,42,2009-04-20,0,0,0,9.000000
12,1,113,2009-04-20,0,0,0,45.000000
13,1,61,2009-04-20,0,0,0,27.000000
14,1,108,2009-04-22,0,0,0,10.000000
15,1,154,2009-04-23,0,0,0,0.000000
16,1,164,2009-04-23,0,0,0,127.770000
17,1,61,2009-04-23,0,0,0,20.000000
18,1,28,2009-04-23,0,0,0,6.000000
19,1,165,2009-04-23,0,0,0,699.370000
21,1,42,2009-04-24,0,0,0,0.000000
22,1,166,2009-04-24,0,0,0,605.460000
23,1,61,2009-04-24,0,0,0,9.050000
24,1,81,2009-04-24,0,0,0,22.000000
25,1,42,2009-04-24,0,0,0,22.000000
26,1,61,2009-04-24,0,0,0,19.000000
27,1,85,2009-04-24,0,0,0,30.000000
28,1,61,2009-04-24,0,0,0,12.000000
29,1,61,2009-04-24,0,0,0,24.000000
30,1,108,2009-04-25,0,0,0,10.000000
31,1,114,2009-04-25,0,0,0,12.500000
32,1,61,2009-04-25,0,0,0,96.000000
33,1,151,2009-04-25,0,0,0,0.000000
34,1,169,2009-04-25,0,0,0,45.000000
35,1,61,2009-04-27,0,0,0,173.000000
36,1,61,2009-04-27,0,0,0,5.040000
38,1,61,2009-04-27,0,0,0,6.500000
39,1,31,2009-04-28,0,0,0,14.550000
40,1,61,2009-04-28,0,0,0,9.500000
41,1,42,2009-04-28,0,0,0,108.000000
42,1,42,2009-04-28,0,0,0,11.000000
43,1,23,2009-04-28,0,0,0,337.920000
44,1,61,2009-04-28,0,0,0,43.260000
45,1,162,2009-04-28,0,0,0,0.000000
46,1,172,2009-04-28,0,0,0,100.000000
47,1,61,2009-04-28,0,0,0,9.000000
48,1,61,2009-04-29,0,0,0,35.000000
49,1,28,2009-04-29,0,0,0,40.000000
50,1,42,2009-04-29,0,0,0,9.000000
51,1,81,2009-04-29,0,0,0,226.000000
52,1,81,2009-04-29,0,0,0,313.500000
