branch_code,payment_method_code,date,total_issued,total_paid
1,1,2008-12-15,2329.000000,0.000000
1,1,2008-12-16,139031.340000,0.000000
1,1,2008-12-17,26710.250000,0.000000
1,1,2008-12-18,1177.000000,0.000000
1,1,2009-01-01,37096.850000,0.000000
1,1,2009-01-02,2757.000000,0.000000
1,1,2009-01-10,2500.000000,0.000000
1,1,2009-01-12,7897.100000,0.000000
1,1,2009-01-17,1772.000000,0.000000
1,1,2009-02-12,12948.340000,0.000000
1,1,2009-02-13,10282.460000,0.000000
1,1,2009-02-14,120.000000,0.000000
1,1,2009-02-16,963.000000,0.000000
1,1,2009-02-17,4261.930000,0.000000
1,1,2009-02-18,613.100000,0.000000
1,1,2009-02-19,2355.000000,0.000000
1,1,2009-02-20,1608.500000,0.000000
1,1,2009-02-21,16943.690000,0.000000
1,1,2009-02-23,12380.160000,0.000000
1,1,2009-02-24,1517.000000,0.000000
1,1,2009-02-25,352.000000,0.000000
1,1,2009-02-26,971.500000,0.000000
1,1,2009-02-27,4020.000000,0.000000
1,1,2009-02-28,6777.000000,0.000000
1,1,2009-03-02,8455.000000,0.000000
1,1,2009-03-03,1676.100000,0.000000
1,1,2009-03-04,3308.000000,0.000000
1,1,2009-03-05,384.000000,0.000000
1,1,2009-03-06,1819.000000,0.000000
1,1,2009-03-07,7465.000000,0.000000
1,1,2009-03-09,2103.500000,0.000000
1,1,2009-03-10,1036.000000,0.000000
1,1,2009-03-11,3403.000000,0.000000
1,1,2009-03-12,7619.000000,0.000000
1,1,2009-03-13,5902.200000,0.000000
1,1,2009-03-14,5079.000000,0.000000
1,1,2009-03-16,766.000000,0.000000
1,1,2009-03-17,65.000000,0.000000
1,1,2009-03-18,5729.600000,0.000000
1,1,2009-03-19,300.000000,0.000000
1,1,2009-03-20,4464.500000,0.000000
1,1,2009-03-21,78.000000,0.000000
1,1,2009-03-23,3751.000000,0.000000
1,1,2009-03-24,371.400000,0.000000
1,1,2009-03-25,85.000000,0.000000
1,1,2009-03-26,2143.000000,0.000000
1,1,2009-03-27,3196.500000,0.000000
1,1,2009-03-28,2668.000000,0.000000
1,1,2009-03-30,837.000000,0.000000
1,1,2009-03-31,3900.000000,0.000000
1,1,2009-04-01,3295.000000,0.000000
1,1,2009-04-02,1679.000000,0.000000
1,1,2009-04-03,1413.000000,0.000000
1,1,2009-04-04,2508.500000,0.000000
1,1,2009-04-06,390.600000,0.000000
1,1,2009-04-07,2038.000000,0.000000
1,1,2009-04-08,1290.000000,0.000000
1,1,2009-04-09,8341.000000,0.000000
1,1,2009-04-13,20.000000,0.000000
1,1,2009-04-14,1657.000000,0.000000
1,1,2009-04-15,2297.000000,0.000000
1,1,2009-04-16,1881.000000,0.000000
1,1,2009-04-17,1024.000000,0.000000
1,1,2009-04-18,539.200000,0.000000
1,1,2009-04-20,1188.500000,0.000000
1,1,2009-04-22,3918.000000,0.000000
1,1,2009-04-24,7845.050000,0.000000
1,1,2009-04-25,2085.000000,0.000000
1,1,2009-04-28,5502.000000,0.000000
1,1,2009-04-29,4009.000000,0.000000
1,1,2009-04-30,4233.000000,0.000000
1,1,2009-05-02,3003.000000,0.000000
1,1,2009-05-04,988.000000,0.000000
1,1,2009-05-05,1370.500000,0.000000
1,1,2009-05-06,2456.000000,0.000000
1,1,2009-05-07,2992.000000,0.000000
1,1,2009-05-08,12761.000000,0.000000
1,1,2009-05-09,5452.000000,0.000000
1,1,2009-05-11,3047.000000,0.000000
1,1,2009-05-12,965.000000,0.000000
