branch_code,payment_method_code,year,month,total_issued,total_paid
1,1,2008,12,169247.590000,0.000000
1,1,2009,1,52022.950000,0.000000
1,1,2009,2,76113.680000,0.000000
1,1,2009,3,76604.800000,0.000000
1,1,2009,4,57153.850000,0.000000
1,1,2009,5,95311.950000,0.000000
1,1,2009,6,108324.940000,0.000000
1,1,2009,7,85127.000000,0.000000
1,1,2009,8,70432.260000,0.000000
1,1,2009,9,105345.950000,0.000000
1,1,2009,10,102715.580000,0.000000
1,1,2009,11,63538.900000,0.000000
1,1,2009,12,101876.800000,0.000000
1,1,2010,1,76949.320000,0.000000
1,1,2010,2,90152.290000,0.000000
1,1,2010,3,130752.100000,0.000000
1,1,2010,4,84020.970000,0.000000
1,1,2010,5,113928.700000,0.000000
1,1,2010,6,70867.800000,0.000000
1,1,2010,7,120839.000000,0.000000
1,1,2010,8,133325.860000,0.000000
1,1,2010,9,101189.740000,0.000000
1,1,2010,10,86252.910000,0.000000
1,1,2010,11,87239.050000,0.000000
1,1,2010,12,119706.120000,0.000000
1,1,2011,1,79852.980000,0.000000
1,1,2011,2,108936.540000,0.000000
1,1,2011,3,137538.070000,0.000000
1,1,2011,4,87686.400000,0.000000
1,1,2011,5,117421.320000,0.000000
1,1,2011,6,175070.390000,0.000000
1,1,2011,7,111201.530000,0.000000
1,1,2011,8,113675.550000,0.000000
1,1,2011,9,119095.090000,0.000000
1,1,2011,10,141482.430000,0.000000
1,1,2011,11,77726.180000,0.000000
1,1,2011,12,73726.680000,0.000000
1,1,2012,1,104023.770000,0.000000
1,1,2012,2,95612.080000,0.000000
1,1,2012,3,116411.860000,0.000000
1,1,2012,4,84186.500000,0.000000
1,1,2012,5,125311.430000,0.000000
1,1,2012,6,128390.830000,0.000000
1,1,2012,7,116485.530000,0.000000
1,1,2012,8,115789.630000,0.000000
1,1,2012,9,111617.100000,0.000000
1,1,2012,10,117928.540000,0.000000
1,1,2012,11,114062.280000,0.000000
1,1,2012,12,82170.530000,0.000000
1,1,2013,1,99615.340000,0.000000
1,1,2013,2,87778.600000,0.000000
1,1,2013,3,106157.260000,0.000000
1,1,2013,4,122313.930000,0.000000
1,1,2013,5,160472.230000,0.000000
1,1,2013,6,142420.870000,0.000000
1,1,2013,7,118324.260000,0.000000
1,1,2013,8,119405.160000,0.000000
1,1,2013,9,131072.130000,0.000000
1,1,2013,10,101277.740000,0.000000
1,1,2013,11,88922.460000,0.000000
1,1,2013,12,111784.680000,0.000000
1,1,2014,1,86010.300000,0.000000
1,1,2014,2,107337.760000,0.000000
1,1,2014,3,85483.480000,0.000000
1,1,2014,4,86137.890000,0.000000
1,1,2014,5,106187.650000,0.000000
1,1,2014,6,106756.270000,0.000000
1,1,2014,7,107241.550000,0.000000
