code,branch_code,sale_code,product_code,issue_date,quantity,unit_cost,unit_price,total_cost,discount,fees,total_amount
222233,1,21627,1194,2023-05-28,8,1.420000,4.250000,11.360000,0,0,34.000000
222234,1,21627,1228,2023-05-28,1,6.840000,35.000000,6.840000,0,0,35.000000
222235,1,21627,9193,2023-05-28,1,10.740000,20.000000,10.740000,0,0,20.000000
222236,1,21627,10916,2023-05-28,1,27.690000,68.000000,27.690000,0,0,68.000000
222237,1,21627,1948,2023-05-28,4,21.920000,35.080000,87.680000,0,0,140.320000
222238,1,21627,7348,2023-05-28,1,37.710000,78.000000,37.710000,0,0,78.000000
222239,1,21627,1608,2023-05-28,4,1.810000,10.000000,5.430000,0,0,40.000000
222240,1,21627,10517,2023-05-28,1,29.400000,47.040000,29.400000,0,0,47.040000
222241,1,21627,49,2023-05-28,8,0.000000,5.000000,0.000000,0,0,40.000000
222242,1,21627,45,2023-05-28,8,0.000000,5.000000,0.000000,0,0,40.000000
222243,1,21627,36,2023-05-28,1,0.000000,150.000000,0.000000,0,0,150.000000
222244,1,21627,41,2023-05-28,1,0.000000,40.000000,0.000000,0,0,40.000000
222245,1,21627,55,2023-05-28,8,0.000000,5.000000,0.000000,0,0,40.000000
222246,1,21627,2283,2023-05-28,1,0.000000,40.000000,0.000000,0,0,40.000000
222247,1,21627,3862,2023-05-28,8,0.000000,10.000000,0.000000,0,0,80.000000
222248,1,21627,3843,2023-05-28,4,2.090000,10.000000,8.360000,0,0,40.000000
222249,1,21627,9308,2023-05-28,1,60.690000,125.000000,60.690000,0,0,125.000000
223720,1,21783,5,2023-05-25,1,60.000000,60.000000,60.000000,0,0,60.000000
223726,1,21785,100,2023-05-25,1,60.000000,150.000000,60.000000,0,0,150.000000
223728,1,21786,53,2023-05-25,4,0.000000,20.000000,0.000000,0,0,80.000000
223729,1,21786,51,2023-05-25,2,0.000000,20.000000,0.000000,0,0,40.000000
223730,1,21786,46,2023-05-25,2,0.000000,15.000000,0.000000,0,0,30.000000
223731,1,21786,50,2023-05-25,2,0.000000,15.000000,0.000000,0,0,30.000000
223732,1,21786,56,2023-05-25,2,0.000000,20.000000,0.000000,0,0,40.000000
223733,1,21786,37,2023-05-25,1,0.000000,80.000000,0.000000,0,0,80.000000
223734,1,21786,42,2023-05-25,1,0.000000,40.000000,0.000000,0,0,40.000000
223735,1,21786,1705,2023-05-25,4,12.310000,32.000000,24.620000,0,0,128.000000
223736,1,21786,10982,2023-05-25,2,16.850000,35.890000,33.700000,0,0,71.780000
223737,1,21786,4900,2023-05-25,4,2.030000,13.600000,8.120000,0,0,54.400000
223738,1,21786,5041,2023-05-25,1,284.000000,454.400000,284.000000,0,0,454.400000
223739,1,21786,83,2023-05-25,2,42.000000,130.980000,84.000000,0,0,261.960000
223740,1,21786,3903,2023-05-25,1,2.630000,5.780000,2.630000,0,0,5.780000
223741,1,21787,83,2023-05-25,1,980.000000,1688.000000,980.000000,0,0,1688.000000
223742,1,21787,89,2023-05-25,1,0.000000,180.000000,0.000000,0,0,180.000000
223758,1,21789,45,2023-05-26,8,0.000000,5.000000,0.000000,0,0,40.000000
223759,1,21789,55,2023-05-26,8,0.000000,5.000000,0.000000,0,0,40.000000
223760,1,21789,41,2023-05-26,1,0.000000,40.000000,0.000000,0,0,40.000000
223761,1,21789,2283,2023-05-26,1,0.000000,40.000000,0.000000,0,0,40.000000
223762,1,21789,3862,2023-05-26,8,0.000000,12.500000,0.000000,0,0,100.000000
223763,1,21789,52,2023-05-26,8,0.000000,5.000000,0.000000,0,0,40.000000
223764,1,21789,7375,2023-05-26,1,5.000000,30.000000,5.000000,0,0,30.000000
223765,1,21789,7410,2023-05-26,4,31.890000,51.020000,127.560000,0,0,204.090000
223766,1,21789,8154,2023-05-26,4,25.270000,40.440000,101.080000,0,0,161.750000
223767,1,21789,5595,2023-05-26,8,9.310000,15.900000,74.480000,0,0,127.200000
223768,1,21789,2417,2023-05-26,8,1.670000,7.000000,13.360000,0,0,56.000000
223769,1,21789,3843,2023-05-26,1,2.090000,10.000000,2.090000,0,0,10.000000
223770,1,21789,10909,2023-05-26,1,23.540000,37.670000,23.540000,0,0,37.670000
223771,1,21789,36,2023-05-26,1,0.000000,150.000000,0.000000,0,0,150.000000
223772,1,21790,83,2023-05-26,2,40.000000,40.000000,80.000000,0,0,80.000000
