code,branch_code,customer_code,seller_code,issue_date,total_cost,total_discount,total_fees,total_amount
21627,1,3534,946,2023-05-28,285.900000,0,0,952.000000
21783,1,3194,872,2023-05-25,60.000000,0,0,60.000000
21785,1,441,872,2023-05-25,60.000000,0,0,135.000000
21786,1,7312,946,2023-05-25,437.070000,0,0,1295.000000
21787,1,6229,946,2023-05-25,980.000000,0,0,1868.000000
21789,1,7306,872,2023-05-26,347.110000,0,0,1000.000000
21790,1,269,872,2023-05-26,80.000000,0,0,80.000000
21791,1,7305,946,2023-05-26,20.000000,0,0,160.000000
21792,1,7288,946,2023-05-26,1602.650000,0,0,4175.490000
21793,1,7270,872,2023-05-26,109.230000,0,0,375.000000
21794,1,4891,946,2023-05-27,20.000000,0,0,261.000000
21795,1,6148,1,2023-05-27,191.400000,0,0,284.620000
21796,1,1364,872,2023-05-27,3.420000,0,0,459.000000
21797,1,2573,895,2023-05-27,309.000000,0,0,950.400000
21798,1,2573,872,2023-05-27,69.020000,0,0,129.600000
21799,1,316,946,2023-05-27,109.420000,0,0,247.150000
21800,1,5006,946,2023-05-27,1456.770000,0,0,3263.550000
21801,1,506,946,2023-05-27,40.590000,0,0,174.240000
21802,1,506,946,2023-05-27,301.560000,0,0,815.060000
21805,1,7213,946,2023-05-30,40.730000,0,0,121.980000
21806,1,6353,895,2023-05-30,0.000000,0,0,135.000000
21807,1,81,946,2023-05-30,6.400000,0,0,30.600000
21809,1,3534,946,2023-05-30,680.860000,0,0,1594.000000
21810,1,6743,946,2023-05-30,299.530000,0,0,640.000000
21811,1,91,1,2023-05-30,492.980000,0,0,853.200000
21812,1,91,1,2023-05-30,78.970000,0,0,988.200000
21813,1,269,1,2023-05-30,12.000000,0,0,36.000000
21814,1,1364,1,2023-05-30,1012.000000,0,0,1927.600000
21815,1,269,1,2023-05-30,131.350000,0,0,458.230000
21816,1,255,946,2023-05-30,2.280000,0,0,57.000000
21817,1,6674,946,2023-05-31,3959.730000,0,0,7000.000000
21818,1,682,895,2023-05-31,918.920000,0,0,1494.940000
21819,1,255,872,2023-05-31,57.080000,0,0,580.000000
21820,1,5857,895,2023-05-31,601.480000,0,0,1412.370000
21821,1,5736,946,2023-05-31,117.420000,0,0,180.000000
21822,1,630,872,2023-05-31,19.830000,0,0,120.340000
21823,1,269,946,2023-05-31,158.200000,0,0,1140.800000
21824,1,7186,895,2023-05-31,218.300000,0,0,485.680000
21825,1,506,872,2023-05-31,0.000000,0,0,100.000000
21826,1,5006,872,2023-05-31,505.500000,0,0,800.000000
21827,1,1135,946,2023-05-31,3.760000,0,0,20.000000
21828,1,630,872,2023-05-31,21.010000,0,0,70.000000
21829,1,6782,895,2023-05-31,251.650000,0,0,522.490000
21830,1,6782,895,2023-05-31,0.010000,0,0,290.000000
21831,1,269,872,2023-05-31,39.000000,0,0,124.400000
21832,1,5806,946,2023-05-30,1134.220000,0,0,2463.650000
21833,1,5806,946,2023-05-30,102.020000,0,0,292.800000
21834,1,5736,1,2023-06-01,500.000000,0,0,1000.000000
21835,1,7321,872,2023-06-01,199.990000,0,0,1000.000000
21836,1,5806,872,2023-05-31,0.000000,0,0,405.000000
21837,1,160,872,2023-06-01,54.060000,0,0,90.000000
21838,1,371,946,2023-05-31,2.090000,0,0,140.000000
21839,1,371,895,2023-05-31,0.000000,0,0,850.000000
21841,1,4624,872,2023-06-02,477.160000,0,0,1400.000000
21842,1,630,946,2023-06-02,65.520000,0,0,171.000000
21843,1,269,872,2023-06-02,0.000000,0,0,60.000000
21845,1,1079,946,2023-06-02,42.600000,0,0,100.000000
21848,1,5140,872,2023-05-30,21.860000,0,0,960.000000
21850,1,7325,946,2023-06-03,2487.700000,0,0,5464.050000
21852,1,269,946,2023-06-03,20.530000,0,0,48.000000
21853,1,311,872,2023-06-03,156.010000,0,0,222.610000
21854,1,7321,872,2023-06-03,37.240000,0,0,625.000000
21855,1,269,872,2023-06-05,4.360000,0,0,28.000000
21856,1,6563,946,2023-05-31,745.060000,0,0,11570.570000
21857,1,6563,946,2023-05-31,1441.870000,0,0,2679.430000
21858,1,2214,872,2023-05-31,712.930000,0,0,4841.180000
21859,1,2214,895,2023-05-31,7127.280000,0,0,17331.900000
21860,1,2214,895,2023-05-31,2117.750000,0,0,3404.980000
21862,1,4428,1,2023-05-30,1787.260000,0,0,7449.870000
21863,1,6934,946,2023-05-31,1422.260000,0,0,4751.280000
21865,1,7286,895,2023-05-31,156.650000,0,0,1833.250000
21866,1,5169,895,2023-05-31,557.150000,0,0,8476.470000
21867,1,1198,946,2023-05-31,11632.510000,0,0,27466.350000
21868,1,7252,895,2023-05-31,1891.070000,0,0,5837.270000
21870,1,5177,895,2023-05-31,507.800000,0,0,1383.150000
21871,1,5177,895,2023-05-31,2666.660000,0,0,15456.630000
21872,1,7325,872,2023-06-06,21.900000,0,0,33.000000
21873,1,5560,1,2023-06-06,718.100000,0,0,1440.000000
21874,1,5560,1,2023-06-06,35.840000,0,0,64.310000
21875,1,7141,946,2023-06-06,536.490000,0,0,900.000000
21876,1,1996,895,2023-06-07,300.000000,0,0,350.000000
21877,1,7315,946,2023-06-07,2344.880000,0,0,6233.540000
21878,1,6148,872,2023-06-07,72.460000,0,0,118.790000
21879,1,4416,895,2023-06-07,645.960000,0,0,3074.600000
21880,1,7141,872,2023-06-07,40.000000,0,0,40.000000
21881,1,5638,946,2023-06-07,182.460000,0,0,456.270000
21882,1,7327,946,2023-06-07,520.000000,0,0,1425.000000
21883,1,5726,946,2023-06-07,43.500000,0,0,230.000000
21884,1,3586,872,2023-06-07,60.030000,0,0,105.000000
21885,1,269,872,2023-06-07,11.340000,0,0,18.140000
21886,1,4891,872,2023-06-07,170.410000,0,0,256.500000
21887,1,5939,946,2023-06-09,393.570000,0,0,800.000000
21888,1,5939,946,2023-06-09,5.000000,0,0,250.000000
21889,1,6762,872,2023-06-09,119.190000,0,0,193.000000
21890,1,5492,946,2023-06-10,1301.150000,0,0,5000.000000
21893,1,1169,872,2023-06-10,98.280000,0,0,287.250000
21894,1,7330,946,2023-06-10,21.900000,0,0,270.000000
21895,1,269,872,2023-06-10,66.600000,0,0,150.000000
21896,1,7302,946,2023-06-12,533.320000,0,0,1500.000000
21897,1,5560,895,2023-06-12,59.980000,0,0,125.100000
21898,1,6878,872,2023-06-12,119.190000,0,0,193.000000
21899,1,7110,946,2023-06-13,118.230000,0,0,189.000000
21900,1,5806,946,2023-06-14,0.010000,0,0,340.000000
21901,1,269,946,2023-06-14,3.000000,0,0,40.000000
21902,1,7290,946,2023-06-14,71.640000,0,0,125.000000
21903,1,5965,1,2023-06-14,31.860000,0,0,637.970000
21904,1,5560,946,2023-06-14,72.000000,0,0,108.000000
21905,1,538,946,2023-06-14,200.000000,0,0,400.000000
21906,1,4891,872,2023-06-14,24.000000,0,0,103.500000
21907,1,7326,946,2023-06-14,6.050000,0,0,30.000000
21908,1,269,895,2023-06-14,262.580000,0,0,600.000000
21909,1,2568,872,2023-06-14,7.600000,0,0,70.000000
21910,1,6148,946,2023-06-14,199.680000,0,0,309.960000
21911,1,269,946,2023-06-14,0.000000,0,0,50.000000
21912,1,7214,872,2023-06-14,122.530000,0,0,182.400000
21913,1,269,872,2023-06-15,132.210000,0,0,198.480000
21915,1,7332,872,2023-06-16,49.000000,0,0,1160.000000
21919,1,4729,946,2023-06-16,695.000000,0,0,1254.000000
21920,1,2243,895,2023-06-16,0.000000,0,0,225.000000
21921,1,7209,872,2023-06-16,166.410000,0,0,398.800000
21922,1,7141,946,2023-06-16,25.000000,0,0,200.000000
21923,1,7339,895,2023-06-16,406.100000,0,0,780.000000
21924,1,6728,1,2023-06-16,33.980000,0,0,62.780000
21925,1,5178,895,2023-06-16,415.320000,0,0,1121.000000
21926,1,1364,1,2023-06-16,213.000000,0,0,500.000000
21927,1,1217,895,2023-06-17,49.000000,0,0,400.000000
21930,1,269,872,2023-06-17,70.420000,0,0,240.000000
