branch_code,date,total_cost,total_amount,total_profit,count_sales
1,2023-05-25,1537.070000,3358.000000,1820.930000,4
1,2023-05-26,2158.990000,5790.490000,3631.500000,5
1,2023-05-27,2501.180000,6584.620000,4083.440000,9
1,2023-05-28,285.900000,952.000000,666.100000,1
1,2023-05-30,5802.460000,18008.130000,12205.670000,15
1,2023-05-31,37852.970000,120768.480000,82915.510000,30
1,2023-06-01,754.050000,2090.000000,1335.950000,3
1,2023-06-02,585.280000,1731.000000,1145.720000,4
1,2023-06-03,2701.480000,6359.660000,3658.180000,4
1,2023-06-05,4.360000,28.000000,23.640000,1
1,2023-06-06,1312.330000,2437.310000,1124.980000,4
1,2023-06-07,4391.040000,12307.840000,7916.800000,11
1,2023-06-09,517.760000,1243.000000,725.240000,3
1,2023-06-10,1487.930000,5707.250000,4219.320000,4
1,2023-06-12,712.490000,1818.100000,1105.610000,3
1,2023-06-13,118.230000,189.000000,70.770000,1
1,2023-06-14,1000.950000,2996.830000,1995.880000,13
1,2023-06-15,132.210000,198.480000,66.270000,1
1,2023-06-16,2003.810000,5701.580000,3697.770000,9
1,2023-06-17,7271.160000,24780.270000,17509.110000,5
1,2023-06-19,1592.780000,3100.640000,1507.860000,5
1,2023-06-20,1091.480000,2474.260000,1382.780000,6
1,2023-06-21,944.640000,2490.000000,1545.360000,4
1,2023-06-22,5551.540000,16694.998000,11143.458000,2
1,2023-06-23,392.870000,1122.730000,729.860000,3
1,2023-06-24,9881.430000,22387.500000,12506.070000,19
1,2023-06-26,796.620000,1749.660000,953.040000,6
1,2023-06-27,2628.710000,8641.760000,6013.050000,11
1,2023-06-28,1029.810000,5296.570000,4266.760000,3
1,2023-06-29,3738.230000,10687.860000,6949.630000,5
1,2023-06-30,54455.530000,150996.070000,96540.540000,49
1,2023-07-01,179.190000,583.130000,403.940000,3
1,2023-07-03,958.640000,2207.190000,1248.550000,2
1,2023-07-04,1501.520000,2418.350000,916.830000,6
1,2023-07-05,1228.030000,4126.550000,2898.520000,13
1,2023-07-06,1981.430000,3884.570000,1903.140000,4
