branch_code,year,month,total_cost,total_amount,total_profit,count_sales
1,2008,12,0.000000,169247.590000,169247.590000,352
1,2009,1,0.420000,52172.950000,52172.530000,53
1,2009,2,21707.850000,76169.680000,54461.830000,82
1,2009,3,29164.550000,78029.800000,48865.250000,147
1,2009,4,21760.160000,57153.850000,35393.690000,95
1,2009,5,37713.250000,97301.950000,59588.700000,138
1,2009,6,43677.480000,108581.940000,64904.460000,141
1,2009,7,33234.450000,86370.000000,53135.550000,146
1,2009,8,29733.670000,76589.260000,46855.590000,123
1,2009,9,39266.460000,105425.950000,66159.490000,131
1,2009,10,40006.850000,102751.580000,62744.730000,128
1,2009,11,22532.680000,63538.900000,41006.220000,84
1,2009,12,36217.550000,105354.800000,69137.250000,125
1,2010,1,28890.790000,76949.320000,48058.530000,112
1,2010,2,32990.680000,90224.290000,57233.610000,105
1,2010,3,53771.600000,132318.600000,78547.000000,127
1,2010,4,30049.360000,84142.970000,54093.610000,92
1,2010,5,48947.300000,114436.700000,65489.400000,108
1,2010,6,31306.620000,74280.800000,42974.180000,106
1,2010,7,52405.830000,123170.800000,70764.970000,118
1,2010,8,64197.610000,141221.260000,77023.650000,109
1,2010,9,39738.100000,101432.740000,61694.640000,111
1,2010,10,40230.280000,87702.910000,47472.630000,79
1,2010,11,36921.820000,87347.050000,50425.230000,87
1,2010,12,52551.710000,122067.670000,69515.960000,123
1,2011,1,35364.730000,81220.980000,45856.250000,99
1,2011,2,48405.620000,110196.540000,61790.920000,87
1,2011,3,61509.740000,139425.070000,77915.330000,95
1,2011,4,34286.810000,91441.520000,57154.710000,89
1,2011,5,52497.350000,125076.820000,72579.470000,100
1,2011,6,79648.210000,175985.390000,96337.180000,115
1,2011,7,49010.950000,111520.530000,62509.580000,79
1,2011,8,62331.770000,129311.220000,66979.450000,103
1,2011,9,50661.750000,127748.090000,77086.340000,112
1,2011,10,60723.640000,149893.070000,89169.430000,127
1,2011,11,38578.240000,92140.180000,53561.940000,97
1,2011,12,31292.020000,82616.180000,51324.160000,99
1,2012,1,46369.960000,113189.770000,66819.810000,123
1,2012,2,43008.660000,109780.080000,66771.420000,91
1,2012,3,65976.430000,162746.730000,96770.300000,109
1,2012,4,38590.450000,91301.860000,52711.410000,99
1,2012,5,64942.600000,146615.030000,81672.430000,136
1,2012,6,62073.470000,153444.330000,91370.860000,108
1,2012,7,54282.890000,127176.540000,72893.650000,101
1,2012,8,55594.700000,146359.550000,90764.850000,136
1,2012,9,52747.640000,128012.400000,75264.760000,115
1,2012,10,62466.250000,153696.000000,91229.750000,130
1,2012,11,43541.460000,123957.880000,80416.420000,126
1,2012,12,44068.180000,115325.790000,71257.610000,106
1,2013,1,59591.410000,133870.380000,74278.970000,115
1,2013,2,35969.730000,100671.440000,64701.710000,78
1,2013,3,53026.170000,135639.550000,82613.380000,76
1,2013,4,56906.880000,139367.020000,82460.140000,103
1,2013,5,78732.150000,186341.690000,107609.540000,121
1,2013,6,64092.450000,151437.870000,87345.420000,102
1,2013,7,47678.210000,130860.950000,83182.740000,78
1,2013,8,58103.770000,138910.360000,80806.590000,118
1,2013,9,57279.510000,143697.570000,86418.060000,99
1,2013,10,44471.000000,120642.760000,76171.760000,102
1,2013,11,37130.590000,94703.180000,57572.590000,80
1,2013,12,75095.850000,120936.880000,45841.030000,104
1,2014,1,40577.640000,108859.920000,68282.280000,73
1,2014,2,48631.290000,120898.370000,72267.080000,74
1,2014,3,37876.850000,103655.900000,65779.050000,81
1,2014,4,36230.720000,95674.690000,59443.970000,89
1,2014,5,45875.790000,124473.910000,78598.120000,136
1,2014,6,51947.110000,122752.830000,70805.720000,76
1,2014,7,43231.350000,120807.550000,77576.200000,89
1,2014,8,47361.880000,115562.380000,68200.500000,94
1,2014,9,39090.870000,101511.300000,62420.430000,109
1,2014,10,46644.180000,132531.360000,85887.180000,102
1,2014,11,38860.020000,108354.680000,69494.660000,92
1,2014,12,37562.310000,108906.391000,71344.081000,86
1,2015,1,55106.140000,139213.690000,84107.550000,91
1,2015,2,52173.510000,128188.640000,76015.130000,85
1,2015,3,39474.830000,114332.310000,74857.480000,84
1,2015,4,29832.100000,84498.740000,54666.640000,88
1,2015,5,33283.750000,110566.690000,77282.940000,107
1,2015,6,43055.150000,109599.020000,66543.870000,88
1,2015,7,61433.220000,154499.340000,93066.120000,88
1,2015,8,51009.110000,132738.310000,81729.200000,103
1,2015,9,48889.310000,114397.980000,65508.670000,97
