branch_code,year,total_cost,total_amount,total_profit,count_sales
1,2008,0.000000,169247.590000,169247.590000,352
1,2009,355015.370000,1009440.660000,654425.290000,1393
1,2010,512001.700000,1235295.110000,723293.410000,1277
1,2011,604310.830000,1416575.590000,812264.760000,1202
1,2012,633662.690000,1571605.960000,937943.270000,1380
1,2013,668077.720000,1597079.650000,929001.930000,1176
1,2014,513890.010000,1363989.281000,850099.271000,1101
1,2015,529965.150000,1410055.480000,880090.330000,1095
1,2016,483528.410000,1345361.715000,861833.305000,976
1,2017,528727.360000,1490191.867000,961464.507000,985
1,2018,648772.280000,1729915.514000,1081143.234000,1242
1,2019,630784.770000,1723978.447000,1093193.677000,1574
1,2020,481701.760000,1244460.520500,762758.760500,1037
1,2021,1270901.800000,3293792.377800,2022890.577800,2183
1,2022,1362373.080000,3536697.043800,2174323.963800,2203
1,2023,1407220.880000,3836472.478700,2429251.598700,2167
1,2024,1261784.330000,3525804.125800,2264019.795800,2139
1,2025,1351185.270000,3653230.096800,2302044.826800,2141
1,2026,444607.270000,1359372.898500,914765.628500,758
