code,name,city,state
0000001,COCA COLA - 0000001,FRUTAL,MG
0000002,EDITORA ATLAS - 0000002,RIBEIRAO PRETO,SP
0000003,FRUGETAL - 0000003,SAO JOSE DO RIO PRETO,SP
0000004,SUPERPEDIDO - 0000004,CAJAMAR,SP
0000005,TILIBRA - 0000005,BAURU,SP
0000006,SARAIVA - 0000006,RIBEIRAO PRETO,SP
0000007,PADARIA CENTRAL - 0000007,FRUTAL,MG
0000008,ACAIACA - 0000008,BELO HORIZONTE,MG
0000009,FIMAC - 0000009,UBERLANDIA,MG
0000010,PAULO DE TARSO - 0000010,UBERLANDIA,MG
0000011,RIO FRUTY - 0000011,SAO JOSE DO RIO PRETO,SP
0000013,FRIOS E CIA - 0000013,FRUTAL,MG
0000014,COMERCIAL CAF - 0000014,FRUTAL,MG
0000015,BARREPEL - 0000015,FRUTAL,MG
0000016,RAVENA DOCES - 0000016,FRUTAL,MG
0000017,SO GELO - 0000017,FRUTAL,MG
0000018,MANTEIGA - 0000018,FRUTAL,MG
0000019,ESFIRRA DA VILA - 0000019,FRUTAL,MG
0000020,ERRADO - 0000020,FRUTAL,MG
0000021,SUPERMERCADO JB - 0000021,FRUTAL,MG
0000022,M BOOKS - 0000022,SAO PAULO,SP
0000023,DIVERSOS - 0000023,FRUTAL,MG
0000024,MUNDO CAFE - 0000024,UBERLANDIA,MG
0000025,CAFE TRES CORACOES - 0000025,SANTA LUZIA,MG
0000026,DOCE BRINQUEDO - 0000026,SAO JOSE DO RIO PRETO,SP
0000027,COCA CAFE - 0000027,FRUTAL,MG
0000028,DISAL - 0000028,RIBEIRAO PRETO,SP
0000029,BOOK BRASIL DISTRIBUIDORA E COMERCIO LTDA - 0000029,BELO HORIZONTE,MG
0000030,NESTLE - 0000030,UBERLANDIA,MG
0000031,UNIVERSO DOS LIVROS EDITORES LTDA - 0000031,COTIA,SP
0000032,MUNDO CRISTAO - 0000032,BARUERI,SP
0000033,EXTRAMAX - 0000033,UBERLANDIA,MG
0000034,BOA VIAGEM - 0000034,BELO HORIZONTE,MG
0000035,CLASSICA - 0000035,BELO HORIZONTE,MG
0000036,PANDA BOOKS - 0000036,SAO PAULO,SP
0000037,OI BRASIL - TAMBASA - 0000037,CONTAGEM,MG
0000038,RODONAVES TRANSP E ENCOMENDAS - 0000038,UBERABA,MG
0000039,VERGARA & RIBA EDITORAS S/A - 0000039,COTIA,SP
0000040,ABC PRESS - 0000040,SAO PAULO,SP
0000041,"BARROS, FISCHER & ASSOCIADOS - 0000041",SAO PAULO,SP
0000042,EDITORA LEITURA - 0000042,BELO HORIZONTE,MG
0000043,SBS - 0000043,UBERLANDIA,MG
0000044,BV FILMS - 0000044,NITEROI,RJ
0000045,OFICINA DO CROISSANT - 0000045,SAO JOSE DO RIO PRETO,SP
0000046,SORVETERIA PINGO DE MEL - 0000046,FRUTAL,MG
0000047,ATACADAO - 0000047,SAO JOSE DO RIO PRETO,SP
0000048,CAFE KAMARO - 0000048,FRUTAL,MG
0000049,SELUCAN - 0000049,SAO JOSE DO RIO PRETO,SP
0000050,EDICOES SM - 0000050,BELO HORIZONTE,MG
0000051,ARCOM - 0000051,UBERLANDIA,MG
0000052,REVAL ATACADO DE PAPELARIA LTDA - 0000052,ITAPUI,SP
0000053,ETIENE MARIA BOSCO BREVIGLIERI - 0000053,FRUTAL,MG
0000054,COMERCIAL MIZIARA E MIZIARA LTDA - 0000054,FRUTAL,MG
0000055,BANCA ESPIRITA - 0000055,FRUTAL,MG
0000057,FTD - 0000057,RIBEIRAO PRETO,SP
0000058,DANIELA (LIVROS USADOS) - 0000058,FRUTAL,MG
0000059,SORAYA - 0000059,FRUTAL,MG
0000060,HERBERT MARCEL - 0000060,FRUTAL,MG
0000061,REJANE - 0000061,FRUTAL,MG
