code,name
1,ENTRADAS - 1
1.01,RECEBIMENTOS - 1.01
1.01.01,VENDAS A VISTA - 1.01.01
1.01.02,VENDAS A PRAZO - 1.01.02
1.01.03,JUROS RBTO - 1.01.03
1.01.04,DESCONTOS RBTO ( - ) - 1.01.04
1.01.05,DEVOLUCOES VENDAS ( - ) - 1.01.05
1.01.06,ADIANTAMENTO - 1.01.06
1.01.07,NAO OPERACIONAL - 1.01.07
1.01.07.01,FRETE - 1.01.07.01
1.01.07.02,ENTREGA - 1.01.07.02
1.02,RECEITAS FINANCEIRAS - 1.02
1.02.01,JUROS SOBRE APLICACOES - 1.02.01
1.02.02,MULTA RECEBIDA - 1.02.02
1.03,ENTRADAS DE CAPITAL - 1.03
1.03.01,ENTRADAS CAPITAL - 1.03.01
1.03.02,DEVOLUCAO DE PRO-LABORE SOCIO - 1.03.02
1.04,RECEITAS EMPRESTIMOS - 1.04
1.04.01,EMPRESTIMOS - 1.04.01
1.04.02,ADIANTAMENTO DESCONTO TITULOS - 1.04.02
1.05,RECEITAS EXTRAS - 1.05
1.05.01,ESTORNOS ( + ) - 1.05.01
1.05.02,DIFERENCA DE CAIXA-MAIOR - 1.05.02
1.05.03,ACERTO FINANCEIRO DE CONTAS - 1.05.03
1.05.04,SALDO INICIAL - 1.05.04
1.06,VENDA DE ATIVOS - 1.06
1.06.01,VENDA DE VEICULOS - 1.06.01
2,SAIDAS - 2
2.01,COLABORADORES - 2.01
2.01.01,SALARIOS - 2.01.01
2.01.02,COMISSOES - 2.01.02
2.01.03,EXAMES ADM/DEM - 2.01.03
2.01.04,FERIAS - 2.01.04
2.01.05,13º SALARIO - 2.01.05
2.01.06,TREINAMENTOS - 2.01.06
2.01.07,UNIFORMES - 2.01.07
2.01.08,FGTS - 2.01.08
2.01.09,INSS - 2.01.09
2.01.10,SINDICATOS - 2.01.10
2.01.11,FAXINAS - 2.01.11
2.01.12,PREMIAÇOES - 2.01.12
2.01.13,HORA EXTRAS - 2.01.13
2.01.14,ENTREGADOR - 2.01.14
2.01.15,SALARIO FAMILIA - 2.01.15
2.02,FORNECEDORES - 2.02
2.02.01,CAFETERIA - 2.02.01
2.02.02,PAPELARIA - 2.02.02
2.02.03,CREDITO - 2.02.03
2.02.04,LIVRARIA - 2.02.04
2.02.05,BRINQUEDO - 2.02.05
2.02.06,REVISTAS - 2.02.06
2.02.07,EMBALAGENS - 2.02.07
2.03,ADMINISTRATIVAS - 2.03
2.03.01,ALUGUEL - 2.03.01
2.03.02,AGUA - 2.03.02
2.03.03,TELEFONE - 2.03.03
2.03.04,ENERGIA - 2.03.04
2.03.05,ALIMENTACAO - 2.03.05
2.03.07,MANUTENCAO SOFTWARE - 2.03.07
2.03.09,MATERIAL PARA ESCRITORIO - 2.03.09
2.03.11,CORREIOS/CARTORIOS/FOTOCOPIAS - 2.03.11
2.03.12,FRETES - 2.03.12
2.03.13,CONTABILIDADE - 2.03.13
2.03.15,MATERIAL DE LIMPEZA - 2.03.15
2.03.16,CONSULTORIA - 2.03.16
2.04,FINANCEIRAS - 2.04
2.04.01,JUROS PGTO - 2.04.01
2.04.02,ENCARGOS CARTOES CRED/DEB - 2.04.02
2.04.03,TARIFAS BANCARIAS - 2.04.03
2.04.04,IOF - 2.04.04
2.04.06,ALUGUEL MAQUINA DE CARTAO - 2.04.06
2.05,TRIBUTARIAS - 2.05
2.05.01,TAXAS MUNICIPAIS - 2.05.01
2.05.02,TAXAS ESTADUAIS - 2.05.02
2.05.03,TAXAS FEDERAIS - 2.05.03
2.05.04,IPVA/LICENCIAMENTO/TAXAS - 2.05.04
2.05.05,IPTU - 2.05.05
2.05.06,SIMPLES - 2.05.06
2.06,MANUTENCOES - 2.06
2.06.01,MANUTENCAO PREDIAL - 2.06.01
2.06.02,MANUTENCAO VEICULOS - 2.06.02
2.06.03,MANUTENCAO MOTOS - 2.06.03
2.06.04,MANUTENCAO MOVEIS/INSTALACOES - 2.06.04
