code,name
1,BUCHA - 1
2,MAO DE OBRA - 2
3,PINOS - 3
4,GRAMPO - 4
5,ARRUELA PNEUMÁTICA - 5
6,SUPORTE - 6
7,BALANÇA - 7
8,MOLA - 8
9,ALGEMA - 9
10,FREIO - 10
11,MANCAL - 11
12,TRAVA - 12
13,PORCA - 13
14,GUIA - 14
15,ABRAÇADEIRA - 15
16,PARAFUSOS - 16
17,LAMEIRO - 17
18,COLA - 18
19,MANGUEIRA - 19
20,COXIM - 20
21,BOMBA - 21
22,DESLIZANTE - 22
23,REBITI - 23
24,CALÇO - 24
25,ARRUELA - 25
26,TIRANTE (TENSOR) - 26
27,CANECA - 27
28,LATA DE TINTA - 28
29,BATENTE - 29
30,CHAPA - 30
31,SEPARADOR - 31
32,ASSENTO - 32
33,SAPATA - 33
34,GRACHA - 34
35,RETENTOR - 35
36,ROLETE - 36
37,JUNTA - 37
38,ÓLEO - 38
39,CUNHA - 39
40,PARALAMA - 40
41,TAMPA - 41
42,AMORTECEDOR - 42
43,KARDAN - 43
44,"EIXO ""S"" - 44"
45,ROLAMENTO - 45
46,CABO - 46
47,ANT-FERRUGEM - 47
48,ENGRAXADEIRA - 48
49,SERVICO DE SOLDA - 49
50,CAMPANA - 50
