code,name
1,VENDAS RECEBIDAS - 1
2,PEÇAS/ACESSÓRIOS - 2
3,OUTROS - 3
4,DAS - 4
5,INSS - 5
6,FGTS - 6
7,ÁGUA - 7
8,ENERGIA - 8
9,TELEFONE - 9
10,CONTADOR - 10
11,ALIMENTAÇÃO - 11
12,ALUGUEL - 12
13,MAT P/ ESCRITORIO - 13
14,VEÍCULOS - 14
15,EQUIP. INFORMÁTICA - 15
16,MÓVEIS - 16
17,BENFEIT. E INSTALAÇÕES - 17
18,FUNCIONÁRIOS - 18
19,GASTOS JOSAINE/DAMIAO - 19
20,MOTO - 20
21,INFORMATICA - 21
22,VEÍCULOS - 22
23,MOVEIS P/ ESCRITÓRIO - 23
27,ENTRADA CAPITAL - 27
29,GPS - 29
30,DAE - 30
31,B. BRASIL - 31
32,BRADESCO - 32
34,D 20 - 34
35,INTERNET - 35
36,MOTO - 36
37,DOAÇAO - 37
38,ASSESSORIAS - 38
39,INADIMPLENCIA - 39
40,DESC.EM TIT.A REC - 40
41,JUROS - 41
42,TARIFAS - 42
43,CPMF - 43
44,BANCARIOS/PESSOAIS - 44
46,JUROS RECEBIDOS - 46
47,IPVA/DPVAT/LINCENC - 47
49,TITULOS CAPITALIZ. - 49
50,COMISSAO DE 3º - 50
52,DESC. EM TIT. CR - 52
54,MARKETING - 54
55,D 10 - 55
56,FIORINO - 56
57,SAVEIRO - 57
58,COMISAO - 58
59,B. REAL - 59
60,FRETE - 60
61,BRASIL - 61
62,BRADESCO - 62
63,MAQUINAS - 63
64,IMOVEL - 64
65,OUTROS - 65
66,13º SALARIO - 66
67,FERIAS - 67
68,HSBC - 68
69,B.HSBC - 69
70,OUTROS - 70
71,PAGTO CHQ DEVOLVIDOS - 71
72,EMPRESTIMOS - 72
73,FINANCIAMENTOS - 73
74,ADIANT - 74
75,ADIANT S - 75
76,TRANSF - 76
77,TRANSF S - 77
78,TAXA CARTAO - 78
79,ALUGUEL MAQUINA - 79
80,GASTOS COM FILHOS - 80
81,INVESTIMENTOS - 81
82,GASTOS COM CHACARA - 82
