code,name
1.01.01,VENDAS A VISTA
1.01.02,VENDAS A PRAZO
1.01.05,DEVOLUCOES VENDAS ( - )
1.06,VENDA DE ATIVOS
1.06.01,VENDA DE VEICULOS
3.01.01.01,A VISTA
3.01.01.02,A PRAZO
3.01.01.03,DEVOLUCAO
3.01.02.01,CHEQUE BOM
3.01.02.02,CHEQUE PRE
3.01.03.01,BOLETO A
3.01.03.02,BOLETO B
3.01.04.07,SIPAG DEBITO
3.01.04.08,SIPAG CREDITO
3.01.04.09,SIPAG PARCELADO ATE 6
3.01.04.10,SIPAG ELO DEBITO
3.01.04.11,SIPAG ELO CREDITO
3.01.04.12,SIPAG ELO PARCELADO ATE 6
3.01.04.13,STONE DEBITO
3.01.04.14,STONE CREDITO
3.01.04.15,STONE PARCELADO ATE 6X
3.01.04.16,STONE ELO DEBITO
3.01.04.17,STONE ELO CREDITO
3.01.04.18,STONE ELO PARCELADO 6X
3.01.04.19,PIX STONE
3.01.05.01,CONVENIO A
3.01.05.02,CONVENIO B
3.01.06.01,PIX SICOOB CNPJ
3.01.06.02,PIX BANCO DIGITAL
