code,name
1,MÃO-DE-OBRA - 1
2,PRODUTO - 2
3,TERCERIZADO - 3
4,PNEUS - 4
5,INATIVO - 5
6,AMORTECEDORES - 6
7,EMBREAGENS - 7
8,FREIOS - 8
9,MOTOR - 9
10,ABRACADEIRAS - 10
11,ACESSORIOS - 11
12,ACOPLAMENTO - 12
13,ADAPTADORES - 13
14,ADESIVOS - 14
15,ADITIVOS - 15
16,AGULHAS - 16
17,ALARMES - 17
18,ALAVANCAS - 18
19,ALTERNADORES - 19
20,ANEIS - 20
21,ARREBITES - 21
22,ARREFECIMENTO - 22
23,ARRUELAS - 23
24,ARTICULADORES - 24
25,AUTOMATICOS - 25
26,BALANCIM - 26
27,BANDEJA - 27
28,BARRAS - 28
29,BATENTES - 29
30,BATERIAS - 30
31,BENDIX - 31
32,BICOS - 32
33,BIELAS - 33
34,BIELETAS - 34
35,BLOCOS - 35
36,BLOQUEADORES - 36
37,BOBINAS - 37
38,BOCAL - 38
39,BOIAS - 39
40,BOLACHAS - 40
41,BOMBAS - 41
42,BORRACHAS - 42
43,BRACOS - 43
44,BRONZINAS - 44
45,BUCHAS - 45
46,BUJOES - 46
47,BUZINAS - 47
48,CABECOTE - 48
49,CABOS - 49
50,CAIXAS - 50
51,CALCOS - 51
52,CALIBRADORES - 52
53,CAMARAS - 53
54,CAMBAGENS - 54
55,CAMBIO - 55
56,CAMBIOS - 56
57,CAMERAS - 57
58,CAMISAS - 58
59,CANOS - 59
60,CANTONEIRAS - 60
61,CAPAS - 61
62,CAPOS - 62
63,CARBURADORES - 63
64,CARCACAS - 64
65,CARRETEIS - 65
66,CARTER - 66
67,CATALIZADORES - 67
68,CATRACAS - 68
69,CAVALETES - 69
70,CENTRAIS - 70
71,CHAPAS - 71
72,CHAVES - 72
73,CHAVETA - 73
74,CHICOTES - 74
75,CHIPS - 75
76,CILINDROS - 76
77,CINTAS - 77
78,CIRCUITOS - 78
79,COBERTURAS - 79
80,COIFAS - 80
81,COLAS - 81
82,COLETORES - 82
83,COLUNAS - 83
84,COMANDOS - 84
85,COMBUSTIVEL - 85
86,COMPRESSORES - 86
87,COMPUTADORES - 87
88,CONDENSADORES - 88
89,CONDUITES - 89
90,CONECTORES - 90
91,CONEXOES - 91
92,COPOS - 92
93,CORDOALHAS - 93
94,COROAS - 94
95,CORPOS - 95
96,CORREIAS - 96
97,COTOVELOS - 97
98,COXIM - 98
99,CRUZETAS - 99
100,CUBOS - 100
101,CUPULA - 101
102,CUPULAS - 102
103,DEFLETORES - 103
104,DESENGRIPANTES - 104
105,DIAFRAGMAS - 105
106,DIFUSORES - 106
107,DISCOS - 107
108,DISTRIBUIDORES - 108
109,DIVERSOS - 109
110,EIXOS - 110
111,ELETRICA - 111
112,ELETROVENTILADOR - 112
113,EMBUCHAMENTOS - 113
114,EMENDAS - 114
115,ENGRAXADEIRAS - 115
116,ENGRENAGENS - 116
117,EPIS - 117
118,ESCAPAMENTOS - 118
119,ESCOVAS - 119
120,ESPAGUETES - 120
121,ESTABILIZADORES - 121
122,ESTATOR - 122
123,ESTOPAS - 123
124,ESTOQUE - 124
125,EXTINTORES - 125
126,FACAO - 126
127,FAROIS - 127
128,FECHADURAS - 128
129,FERRAMENTAS - 129
130,FILTROS - 130
131,FIOS - 131
132,FIXADORES - 132
133,FLANGES - 133
134,FLAUTAS - 134
135,FLEXIVEIS - 135
136,FRISOS - 136
137,FUSEVEIS - 137
138,GARFOS - 138
139,GRADES - 139
140,GRAMPOS - 140
141,GUARDA PO - 141
142,GUARNICAO - 142
143,GUIAS - 143
144,HASTES - 144
145,HELICES - 145
146,IMPULSOR - 146
147,INJECAO - 147
148,INJETORES - 148
149,INTERRUPTORES - 149
150,ISOLADORES - 150
151,JUNTAS - 151
152,LAMPADAS - 152
153,LANTERNAS - 153
154,LATAS - 154
155,LENTES - 155
156,LIAMES - 156
157,LIMITADOR - 157
158,LIMPADORES - 158
159,LIXAS - 159
160,LOCALIZADORES - 160
161,LONAS - 161
162,LUBRIFICANTES - 162
163,LUVAS - 163
164,M - 164
165,MACANETA - 165
166,MALHAS - 166
167,MANCAIS - 167
168,MANGUEIRAS - 168
169,MANIVELAS - 169
170,MANOPLAS - 170
171,MEDIDORES - 171
172,MIOLOS - 172
173,MODULOS - 173
174,MOLAS - 174
175,MOLDURAS - 175
176,OLEOS - 176
177,PAINEIS - 177
178,PALHETAS - 178
