code,name
1,COLA JUNTA - 1
2,COLA JUNTA - 2
3,BUCHA PARA TIRANTE (TENSOR) - 3
4,BUCHA DE ENCOSTO - 4
6,PINO DO MERCEDES - 6
7,BUCHA PARA OLHAL DA MOLA - 7
8,BUCHA DA BALANÇA - 8
9,GRAMPO 7/8 - 9
10,GRAMPO 18 - 10
11,ARRUELA PARA SUSPENSÃO PNEUMÁTICA - 11
12,BUCHA SUSPENSÃO A AR - 12
13,PINO DA SUSPENSÃO PNEUMÁTICA - 13
14,SUPORTE PARA BUCHA PNEUMÁTICA - 14
15,SUPORTE PARA FEIXE DE MOLA - 15
16,BALANÇA RECUPERADA - 16
17,PINO DE CENTRO - 17
18,MOLA PNEUMÁTICA - 18
19,PINO OLHAL DA MOLA - 19
20,PINO TIRANTE (TENSOR) - 20
21,PINO DO TIRANTE (TENSOR) - 21
22,SUPORTE DESLISANTE DO FEIXE DE MOLA - 22
23,ALGEMA DO FEIXE DE MOLA - 23
24,ALGEMA DO FEIXE DE MOLA - 24
25,LONA DE FREIO - 25
26,MANCAL PINO DA BALANÇA - 26
27,PINO DA BALANÇA - 27
28,TRAVA DO PINO BALANÇA - 28
29,PORCA DA BALANÇA - 29
30,GUIA PARA GRAMPOS - 30
31,MOLA PARA FEIXE - 31
32,PORCA PARAFUSO - 32
33,PORCA PARAFUSO - 33
34,PORCA PINO DE CENTRO - 34
35,COLA PARA FREIO - 35
36,MANGUEIRA VINIL - 36
37,PORCA GRAMPO - 37
38,COXIM RESERVATÓRIO - 38
39,BOMBA MANUAL - 39
40,MOLA PATINHO - 40
41,REBITI PEQUENO - 41
42,CALÇO FEIXE MOLA - 42
43,ARRUELA PARAFUSO - 43
44,PARAFUSO ARRUELADO - 44
45,ARRUELA CÔNICA - 45
46,ARRUELA PARA OLHAL DA MOLA - 46
47,ARRUELA PARA OLHAL DA MOLA - 47
48,PARAFUSO TIRANTE - 48
49,PARAFUSO MADEIRA - 49
50,ARRUELA BALANÇA - 50
51,MANCAL TIRANTE (TENSOR) - 51
52,CANECA TIRANTE - 52
53,SUPORTE PARALAMA - 53
54,"BUCHA DO EIXO ""S"" - 54"
55,PARAFUSO ALLI - 55
56,BATENTE CONTRA FEIXE - 56
57,CHAPA DO SUPORTE DA LANTERNA - 57
58,SUPORTE DA LANTERNA - 58
59,SEPARADOR DE FEIXE - 59
60,ASSENTO PARA FEIXE - 60
61,SAPATA TIRANTE - 61
62,RETENTOR CARRETA - 62
63,ROLETE DO PATINHO - 63
64,TRAVA DO ROLETE - 64
65,JUNTA PARA TAMPA DO CUBO - 65
66,SUPORTE ESTABILIZADOR - 66
67,SUPORTE ESTABILIZADOR - 67
68,SAPATA GRAMPO - 68
69,PINO DO PATINHO - 69
70,CUNHA PARA FEIXE - 70
71,CHAPA APARABARRO - 71
72,APARABARRO - 72
73,"ARRUELA FURO ""S"" - 73"
74,TRAVA ELASTICA - 74
75,GRAMPO 3/4 - 75
76,COLA SILICONE - 76
77,TAMPA CUBO - 77
78,CALÇO MOTOR - 78
79,BUCHA PINO DO PATINHO - 79
80,ARRUELA DE ALINHAMENTO - 80
81,GRAMPO 24 - 81
82,GRAMPO 22 - 82
83,COXIM GABINE - 83
84,"EIXO ""S"" - 84"
85,PATIM - 85
86,CATRACA - 86
