code,name
1,ROLTENS - 1
2,CINDUMEL - 2
3,NAKATA - 3
4,AXIOS - 4
5,PARALELO - 5
6,LONAFLEX - 6
7,DELTON - 7
8,EAGLE - 8
9,ESSO - 9
10,FLEETGUARD - 10
11,FRAM - 11
12,GENERICO - 12
13,GRANDPRIX - 13
14,INGRAX - 14
15,IPIRANGA - 15
16,LUBRAX - 16
17,LUCHETTI - 17
18,MANN - 18
19,MAXIMUS - 19
20,MOBIL - 20
21,PETROL - 21
22,PRESTONE - 22
23,QUALITY - 23
24,RACOR - 24
25,RAD-VEDA - 25
26,REPSOL - 26
27,RICA-OIL - 27
28,RODABRIL - 28
29,SELENIA - 29
30,SHELL - 30
31,TECBRIL - 31
32,TECFIL - 32
33,TEXACO - 33
34,TURBO - 34
35,VARGA - 35
36,ESTRELA - 36
37,TUTELA - 37
38,ESTOPA - 38
39,QUEROSENE - 39
40,SPICER - 40
41,CORTECO - 41
42,VETOR - 42
43,MDS - 43
44,SAMBEL - 44
45,AJE - 45
46,ORBI - 46
47,GOODYEAR - 47
48,FLORIO - 48
49,REI - 49
50,HIPER FREIOS - 50
51,CONTINENTAL - 51
52,URBA - 52
53,VALEO - 53
54,LUK - 54
55,SACHS - 55
56,TEM-THOMSON - 56
57,SPICER - 57
58,WEGA - 58
59,COBREQ - 59
60,FAG - 60
61,BROSOL - 61
62,KPS - 62
63,SABO - 63
64,MENZOIL - 64
65,BOSCH - 65
66,MDS - 66
67,INA - 67
68,FRAS-LE - 68
69,ECLASS - 69
70,ORIGINAL - 70
71,SYL - 71
72,BASTOS - 72
73,COFAP - 73
74,IGASA - 74
75,MDS - 75
76,ATE - 76
77,CONTROIL - 77
78,BRASFREIOS - 78
79,WILLTEC - 79
80,FEM - 80
81,TRW - 81
82,FREMAX - 82
83,LUBRAX - 83
84,BRASILUX - 84
85,MWM - 85
86,LOCTITE - 86
87,NGK - 87
88,CYCLO - 88
89,METAL LEVE - 89
90,DAYCO - 90
91,PERFECT - 91
92,DE-SIL - 92
93,AHS - 93
94,SCHADEK - 94
95,ANROI - 95
96,KS - 96
97,SBALL - 97
98,VALCLEI - 98
99,LA FERRERA - 99
100,TUTELA - 100
101,BORTEC - 101
102,SACHS - 102
103,NEW HOLLAND - 103
104,EATON - 104
105,JAHU - 105
106,CARTER - 106
107,SELENIA - 107
108,TAKAO - 108
109,MTE - 109
110,CLICK - 110
