code,name
1,HELLA - 1
2,SAMPEL - 2
3,LUK - 3
4,BOSCH - 4
5,SKF - 5
6,INA - 6
7,NAKATA - 7
8,ATE - 8
9,TRW - 9
10,LONAFLEX - 10
11,FRASLE - 11
13,SPICER - 13
14,CONTINENTAL - 14
15,GOODYEAR - 15
16,COFAP - 16
17,AXIOS - 17
18,VALEO - 18
19,SABO - 19
20,FRAM - 20
22,URBA - 22
23,GATES - 23
25,WIX - 25
26,TSA - 26
27,MAZZICAR - 27
29,PERFECT - 29
30,WAHLER - 30
32,DAYCO - 32
33,ZEN - 33
34,MTE - 34
35,MTE - 35
36,DELPHI - 36
37,TC - 37
38,HIPPER FREIOS - 38
39,MAGNETI MARELLI - 39
40,VDO - 40
41,VTO - 41
42,IKS - 42
43,CLICK - 43
44,DS - 44
45,3RHO - 45
46,DFB - 46
47,SYL - 47
48,NYTRON - 48
49,AJE - 49
50,VISCONDE - 50
51,KITCIA - 51
52,FANIA - 52
53,MANN - 53
54,NTK - 54
55,SACHS - 55
56,TECFIL - 56
57,FAG - 57
58,WEBER - 58
59,MAHLE - 59
60,WEGA - 60
61,GENERAL MOTORS - 61
62,VOLKSWAGEN - 62
63,VOLKSWAGEN - 63
64,NKT - 64
65,NEOLUX - 65
66,DAISHIN - 66
67,LUCAS - 67
68,PUROLATOR - 68
69,IMA - 69
70,CONTROIL - 70
71,EURO - 71
72,SCHADEK - 72
73,VIEMAR - 73
74,3RHO - 74
75,MARFLEX - 75
76,COBREQ - 76
77,PHILIPS - 77
78,JURUNA - 78
79,OSRAM - 79
80,FREMAX - 80
81,NGK - 81
82,METALSYSTEM - 82
83,RHO - 83
84,JAHU - 84
85,ECKO PARTS - 85
86,MDS - 86
87,MECPAR - 87
88,RAINHADASSETE - 88
89,DNI - 89
90,VETORE - 90
91,MOLD MIX - 91
92,UNIFAP - 92
93,VP - 93
94,DRIVEWAY - 94
95,RENAULT PIECES - 95
96,LOCTITE - 96
97,METAL LEVE - 97
98,NTK - 98
99,GONEL - 99
100,EFRARI - 100
101,WILLTEC - 101
102,PEUGEOT - 102
103,APLIC - 103
104,DSC - 104
105,FLORIO - 105
106,KIDDE - 106
107,MARILIA - 107
108,AUTOPOLI - 108
109,LEMFORDER - 109
110,TIMKEN - 110
111,CORTECO - 111
112,AMS - 112
113,FIAT - 113
114,GOLD - 114
115,KOSTAL - 115
116,ORION - 116
117,FABRAÇO - 117
118,IGUAÇU - 118
119,GAUSS - 119
120,IMCE - 120
121,TALIFAMA - 121
122,SAMKIT - 122
123,FURACÃO - 123
124,EATON - 124
125,APX - 125
126,TOTAL QUARTZ - 126
127,SCHUCK - 127
128,TESLLA - 128
129,REMAPE - 129
130,FORD - 130
131,GUEPARTS - 131
132,MONROE - 132
133,VETOR - 133
134,BRASIL IMPORT - 134
135,SUN - 135
136,WB - 136
137,RWR - 137
138,VALCLEI - 138
139,FILTROS BRASIL - 139
140,BORFLEX - 140
141,REJUNTA - 141
142,SUGI E YAMA - 142
143,INDEBRÁS - 143
144,VETORE - 144
145,BARUM - 145
146,LUBRAX - 146
147,DYNA - 147
148,INDISA - 148
149,ECO - 149
150,JURID - 150
151,AUTO STAR - 151
152,TUBA - 152
153,JUNTA LIMA - 153
154,TOYOTA - 154
155,HYUNDAI - 155
156,SBAL - 156
157,BUTUEM - 157
158,BFS - 158
159,OLIMPIC - 159
160,MOBENSANI - 160
161,SENSORAUTO - 161
162,MOURA - 162
163,SAMBEL - 163
164,DEKKO - 164
165,BORTEC - 165
166,NOTUS - 166
167,FABRINII - 167
168,MODEFER - 168
169,HONDA - 169
170,CHERY - 170
171,MITSUBISHI - 171
172,KS - 172
173,PIONEER - 173
174,ZM - 174
175,KIA - 175
176,BROSOL - 176
177,FURACAO - 177
178,PETRONAS - 178
179,VEDAMOTORS - 179
180,IGASA - 180
181,MGFREIOS - 181
182,FTE - 182
183,SANDEN - 183
184,NTN - 184
185,ALBARUS - 185
186,MOTO PEÇAS - 186
187,POWERSTOP - 187
188,TAKAO - 188
189,VETOR. - 189
190,BROKITS - 190
191,ORGUS - 191
192,RIOSULENCE - 192
193,TARANTO - 193
194,VETOR - 194
195,ORING - 195
196,NINO - 196
197,VETORR - 197
198,AUTOTEC - 198
199,TOYOTA - 199
200,E-KLASS - 200
201,KAYABA - 201
202,4X4 - 202
203,SKY - 203
204,COLUMBIA - 204
205,SHOCKBRAS - 205
206,HIPARTS - 206
207,D'PAULA - 207
208,ELRING - 208
209,UNICK - 209
210,3BBB - 210
211,IVECO - 211
212,BLACK BRASIL - 212
213,MANDO - 213
214,ARIEL - 214
215,G-BUSCH - 215
216,NSK - 216
217,BFX - 217
218,GETOFLEX - 218
219,KOPLA - 219
220,GAPE - 220
221,YMAX - 221
222,BROKITS - 222
223,ALIPERT - 223
224,EKLASS - 224
225,FORTEC - 225
226,BAUEN - 226
227,AUTHOMIX - 227
228,AMEFIL - 228
229,NAPA - 229
230,ELAION - 230
231,NORFLEX - 231
232,FIAMM - 232
233,FORI - 233
234,BASTOS - 234
235,PRADOLUX - 235
236,RACE - 236
237,PIRELLI - 237
238,KICTECH - 238
239,TUPER - 239
240,OSPINA - 240
241,RHOPEM - 241
242,BRIDGESTONE - 242
243,ZAP - 243
244,ONYX - 244
245,RADIEX - 245
246,FATE - 246
247,BRILLANTIS - 247
248,ENERGY - 248
249,FIRESTONE - 249
250,CONFORSER - 250
251,ROYAL BLACK - 251
252,FALKEN - 252
253,TRIANGLE - 253
254,ZETA - 254
255,MICHELIN - 255
256,AUSTONE - 256
257,BRAVURIS - 257
258,TRAZANO - 258
259,MASTERCRAFT - 259
260,COMFORSER - 260
261,GENESIO PEÇAS - 261
262,AMPRI - 262
263,MAXAUTO - 263
264,DHB - 264
265,ECOPADS - 265
266,FORTLUZ - 266
267,SUPRA - 267
268,SINTECH - 268
269,ROC - 269
270,HALOWAY - 270
271,SUPRA - 271
272,CITROEN - 272
273,VETOR - 273
274,USADO - 274
275,CHEVROLET - 275
276,RIOSULENSE - 276
277,MULTIQUALITA - 277
278,VETOR - 278
279,GATE - 279
280,APOLLO - 280
281,SNR - 281
282,GULF - 282
283,WURTH - 283
284,SHANA - 284
285,ARIELO - 285
286,AUSTONE - 286
287,IKRO - 287
