code,name
1,VENDA - 1
2,PEÇAS/ACESSÓRIOS - 2
3,SERVICOS/OUTROS - 3
4,DAS/SIMPLES - 4
5,IRPF SOBRE PROLABORE - 5
6,FGTS - 6
7,ÁGUA - 7
8,ENERGIA - 8
9,TELEFONE - 9
10,CONTADOR/ASSESSORIA - 10
11,ALIMENTAÇÃO/LIMPEZA - 11
12,ALUGUEL/IPTU - 12
13,MAT P/ ESCRITORIO - 13
14,MANUT. VEÍCULOS - 14
15,MANUT. EQUIP. INFORMÁTICA - 15
16,MANUT MÓVEIS/EQUIPAMENTOS - 16
17,MANUT. BENFEIT. E INSTALAÇÕES - 17
18,FUNCIONÁRIOS - 18
20,COMBUST. VEICULOS - 20
21,AQUISIÇÃO EQUIP INFORMATICA - 21
22,AQUISIÇÃO VEÍCULOS - 22
23,AQUISIÇÃO  MOVEIS P/ ESCRITÓRIO - 23
27,ENTRADA CAPITAL - 27
29,GPS\INSS - 29
30,DIFERENÇA DE ALÍQUOTA - 30
33,B. BRASIL FRUTAL - 33
34,COMBUST. MOTO - 34
35,INTERNET - 35
36,MANUT. MOTO - 36
39,INADIMPLENCIA - 39
40,DESCONTO POS FATURAMENTO - 40
41,JUROS PAGOS - 41
42,TARIFAS - 42
43,CPMF - 43
44,PGTO EMPREST. BANCARIOS/PESSOAIS - 44
46,JUROS RECEBIDOS - 46
47,IPVA/DPVAT/LINCENC - 47
49,AQUISIÇÃO TITULOS CAPITALIZ. - 49
50,13º SALARIO - 50
54,CEF - 54
55,BRASIL - 55
56,DENIS - 56
57,DISTRIBUICAO LUCROS - 57
58,FERRAMENTAS - 58
59,PEÇAS P/ USO E CONSUMO - 59
60,SERVIÇOS TERCEIROS - 60
61,AQUISIÇÃO FERRAMENTAS DE ALTO VALOR - 61
63,CHEQUE SEM FUNDO - 63
64,AQUISIÇÃO IMOVEIS - 64
65,ADIANTAMENTO - 65
66,ADIANTAMENTO - 66
67,REGINALDO - 67
68,PAMFLETO - 68
69,ANUNCIO - 69
70,PATROCINIO/BRINDES/DOAÇÕE - 70
71,MERC. ESTRAVIADA - 71
72,AQUISIÇÃO QUOTAS DE COOP. - 72
73,AQUISIÇÃO PREVIDENCIA - 73
74,TRANSFERENCIA - 74
75,TRANSFERENCIA - 75
76,EMPRESTIMO - 76
77,FRETE - 77
78,ASSOCIACAO DE CLASSE - 78
79,BONIFICACAO - 79
80,AQUISIÇÃO/CONSTRUÇÃO BARRACAO - 80
81,EXAMES - 81
82,TAXAS / ALVARÁS / ITBI - 82
83,MULTAS DE TRANSITO - 83
84,SEGURO PREDIAL - 84
