code,name
1,ALINHAMENTO - 1
2,INJEÇAO - 2
3,INJEÇAO - 3
4,CILINDROS - 4
5,LONAS - 5
6,PARAFUSOS - 6
7,PASTILHAS - 7
8,SAPATAS - 8
9,SERVICOS - 9
10,CILINDROS - 10
11,CORREIAS - 11
12,ABRACADEIRAS - 12
13,ABRACADEIRAS - 13
14,ACESSORIOS - 14
15,ACOPLAMENTO - 15
16,ADAPTADORES - 16
17,ADESIVOS - 17
18,ADITIVOS - 18
19,AGULHAS - 19
20,ALARMES - 20
21,ALAVANCAS - 21
22,ALTERNADORES - 22
23,AMORTECEDORES - 23
24,AMORTECEDORES - 24
25,ANEIS - 25
26,ANEIS - 26
27,ARREBITES - 27
28,ARREFECIMENTO - 28
29,ARRUELAS - 29
30,ARTICULADORES - 30
31,AUTOMATICOS - 31
32,BALANCIM - 32
33,BANDEJA - 33
34,BARRAS - 34
35,BATENTES - 35
36,BATERIAS - 36
37,BENDIX - 37
38,BICOS - 38
39,BIELAS - 39
40,BIELETAS - 40
41,BLOCOS - 41
42,BLOQUEADORES - 42
43,BOBINAS - 43
44,BOCAL - 44
45,BOIAS - 45
46,BOLACHAS - 46
47,BOMBAS - 47
48,BORRACHAS - 48
49,BRACOS - 49
50,BRONZINAS - 50
51,BUCHAS - 51
52,BUCHAS - 52
53,BUJOES - 53
54,BUZINAS - 54
55,CABECOTE - 55
56,CABOS - 56
57,CABOS - 57
58,CAIXAS - 58
59,CAIXAS - 59
60,CALCOS - 60
61,CALIBRADORES - 61
62,CAMARAS - 62
63,CAMBAGENS - 63
64,CAMBIO - 64
65,CAMBIOS - 65
66,CAMERAS - 66
67,CAMISAS - 67
68,CANOS - 68
69,CANTONEIRAS - 69
70,CAPAS - 70
71,CAPOS - 71
72,CARBURADORES - 72
73,CARCACAS - 73
74,CARRETEIS - 74
75,CARTER - 75
76,CATALIZADORES - 76
77,CATRACAS - 77
78,CAVALETES - 78
79,CENTRAIS - 79
80,CHAPAS - 80
81,CHAPAS - 81
82,CHAVES - 82
83,CHAVETA - 83
84,CHICOTES - 84
85,CHICOTES - 85
86,CHIPS - 86
87,CILINDROS - 87
88,CINTAS - 88
89,CIRCUITOS - 89
90,COBERTURAS - 90
91,COIFAS - 91
92,COIFAS - 92
93,COLAS - 93
94,COLETORES - 94
95,COLUNAS - 95
96,COMANDOS - 96
97,COMBUSTIVEL - 97
98,COMPRESSORES - 98
99,COMPUTADORES - 99
100,CONDENSADORES - 100
101,CONDUITES - 101
102,CONECTORES - 102
103,CONEXOES - 103
104,COPOS - 104
105,CORDOALHAS - 105
106,COROAS - 106
107,CORPOS - 107
108,CORREIAS - 108
109,CORREIAS - 109
110,COTOVELOS - 110
111,COXIM - 111
112,COXIM - 112
113,CRUZETAS - 113
114,CUBOS - 114
115,CUPULA - 115
116,CUPULAS - 116
117,DEFLETORES - 117
118,DESENGRIPANTES - 118
119,DIAFRAGMAS - 119
120,DIFUSORES - 120
121,DISCOS - 121
122,DISTRIBUIDORES - 122
123,DIVERSOS - 123
124,EIXOS - 124
125,ELETRICA - 125
126,ELETROVENTILADOR - 126
127,EMBREAGENS - 127
128,EMBUCHAMENTOS - 128
129,EMENDAS - 129
130,ENGRAXADEIRAS - 130
131,ENGRENAGENS - 131
132,EPIS - 132
133,ESCAPAMENTOS - 133
134,ESCOVAS - 134
135,ESPAGUETES - 135
136,ESTABILIZADORES - 136
137,ESTATOR - 137
138,ESTOPAS - 138
139,EXTINTORES - 139
140,FACAO - 140
141,FACAO - 141
142,FAROIS - 142
143,FECHADURAS - 143
144,FERRAMENTAS - 144
145,FILTROS - 145
146,FILTROS - 146
147,FIOS - 147
148,FIXADORES - 148
149,FLANGES - 149
